well_id,scale_km2,cell_id,assignment_method,assignment_distance_m,boundary_candidates_n
3500065054,100,SCALE-100-O00-00504,POINT_IN_POLYGON_WGS84,0.0,1
3500053084,100,SCALE-100-O00-01947,POINT_IN_POLYGON_WGS84,0.0,1
3500027119,100,SCALE-100-O00-00287,POINT_IN_POLYGON_WGS84,0.0,1
3500026917,100,SCALE-100-O00-01337,POINT_IN_POLYGON_WGS84,0.0,1
3500027282,100,SCALE-100-O00-03047,POINT_IN_POLYGON_WGS84,0.0,1
3500045668,100,SCALE-100-O00-02375,POINT_IN_POLYGON_WGS84,0.0,1
3500045682,100,SCALE-100-O00-00059,POINT_IN_POLYGON_WGS84,0.0,1
3500053090,100,SCALE-100-O00-00892,POINT_IN_POLYGON_WGS84,0.0,1
3500065040,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500065045,100,SCALE-100-O00-01687,POINT_IN_POLYGON_WGS84,0.0,1
3500065046,100,SCALE-100-O00-01754,POINT_IN_POLYGON_WGS84,0.0,1
3500065047,100,SCALE-100-O00-01687,POINT_IN_POLYGON_WGS84,0.0,1
3500065060,100,SCALE-100-O00-00414,POINT_IN_POLYGON_WGS84,0.0,1
3500065072,100,SCALE-100-O00-01786,POINT_IN_POLYGON_WGS84,0.0,1
3500023027,100,SCALE-100-O00-03138,POINT_IN_POLYGON_WGS84,0.0,1
3500065009,100,SCALE-100-O00-00212,POINT_IN_POLYGON_WGS84,0.0,1
3500068739,100,SCALE-100-O00-02113,POINT_IN_POLYGON_WGS84,0.0,1
3500071611,100,SCALE-100-O00-00319,POINT_IN_POLYGON_WGS84,0.0,1
3500071605,100,SCALE-100-O00-00014,POINT_IN_POLYGON_WGS84,0.0,1
3500071514,100,SCALE-100-O00-01462,POINT_IN_POLYGON_WGS84,0.0,1
3500070919,100,SCALE-100-O00-00096,POINT_IN_POLYGON_WGS84,0.0,1
3500070840,100,SCALE-100-O00-01180,POINT_IN_POLYGON_WGS84,0.0,1
3500069727,100,SCALE-100-O00-00558,POINT_IN_POLYGON_WGS84,0.0,1
3500026934,100,SCALE-100-O00-00375,POINT_IN_POLYGON_WGS84,0.0,1
3500026935,100,SCALE-100-O00-00464,POINT_IN_POLYGON_WGS84,0.0,1
3500026939,100,SCALE-100-O00-00464,POINT_IN_POLYGON_WGS84,0.0,1
3500026957,100,SCALE-100-O00-00314,POINT_IN_POLYGON_WGS84,0.0,1
3500026979,100,SCALE-100-O00-00672,POINT_IN_POLYGON_WGS84,0.0,1
3500026997,100,SCALE-100-O00-02343,POINT_IN_POLYGON_WGS84,0.0,1
3500027019,100,SCALE-100-O00-01016,POINT_IN_POLYGON_WGS84,0.0,1
3500027044,100,SCALE-100-O00-01463,POINT_IN_POLYGON_WGS84,0.0,1
3500027149,100,SCALE-100-O00-00836,POINT_IN_POLYGON_WGS84,0.0,1
3500027154,100,SCALE-100-O00-02526,POINT_IN_POLYGON_WGS84,0.0,1
3500027162,100,SCALE-100-O00-00727,POINT_IN_POLYGON_WGS84,0.0,1
3500027173,100,SCALE-100-O00-01463,POINT_IN_POLYGON_WGS84,0.0,1
3500027176,100,SCALE-100-O00-01462,POINT_IN_POLYGON_WGS84,0.0,1
3500027212,100,SCALE-100-O00-00212,POINT_IN_POLYGON_WGS84,0.0,1
3500027286,100,SCALE-100-O00-02064,POINT_IN_POLYGON_WGS84,0.0,1
3500027294,100,SCALE-100-O00-01462,POINT_IN_POLYGON_WGS84,0.0,1
3500045287,100,SCALE-100-O00-01589,POINT_IN_POLYGON_WGS84,0.0,1
3500045398,100,SCALE-100-O00-00892,POINT_IN_POLYGON_WGS84,0.0,1
3500045626,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500023356,100,SCALE-100-O00-00014,POINT_IN_POLYGON_WGS84,0.0,1
3500023368,100,SCALE-100-O00-00314,POINT_IN_POLYGON_WGS84,0.0,1
3500045694,100,SCALE-100-O00-01623,POINT_IN_POLYGON_WGS84,0.0,1
3500045414,100,SCALE-100-O00-01067,POINT_IN_POLYGON_WGS84,0.0,1
3500045544,100,SCALE-100-O00-02658,POINT_IN_POLYGON_WGS84,0.0,1
3500045560,100,SCALE-100-O00-00558,POINT_IN_POLYGON_WGS84,0.0,1
3500045370,100,SCALE-100-O00-02062,POINT_IN_POLYGON_WGS84,0.0,1
3500045556,100,SCALE-100-O00-02590,POINT_IN_POLYGON_WGS84,0.0,1
3500045201,100,SCALE-100-O00-01769,POINT_IN_POLYGON_WGS84,0.0,1
3500045533,100,SCALE-100-O00-00243,POINT_IN_POLYGON_WGS84,0.0,1
3500045335,100,SCALE-100-O00-03047,POINT_IN_POLYGON_WGS84,0.0,1
3500045517,100,SCALE-100-O00-02658,POINT_IN_POLYGON_WGS84,0.0,1
3500045584,100,SCALE-100-O00-01524,POINT_IN_POLYGON_WGS84,0.0,1
3500045537,100,SCALE-100-O00-00563,POINT_IN_POLYGON_WGS84,0.0,1
3500045194,100,SCALE-100-O00-00204,POINT_IN_POLYGON_WGS84,0.0,1
3500045139,100,SCALE-100-O00-00262,POINT_IN_POLYGON_WGS84,0.0,1
3500045293,100,SCALE-100-O00-01173,POINT_IN_POLYGON_WGS84,0.0,1
3500045213,100,SCALE-100-O00-01192,POINT_IN_POLYGON_WGS84,0.0,1
3500045450,100,SCALE-100-O00-01495,POINT_IN_POLYGON_WGS84,0.0,1
3500045493,100,SCALE-100-O00-01560,POINT_IN_POLYGON_WGS84,0.0,1
3500045431,100,SCALE-100-O00-02590,POINT_IN_POLYGON_WGS84,0.0,1
3500045555,100,SCALE-100-O00-02658,POINT_IN_POLYGON_WGS84,0.0,1
3500045473,100,SCALE-100-O00-01071,POINT_IN_POLYGON_WGS84,0.0,1
3500045332,100,SCALE-100-O00-02590,POINT_IN_POLYGON_WGS84,0.0,1
3500045311,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500045246,100,SCALE-100-O00-01192,POINT_IN_POLYGON_WGS84,0.0,1
3500045295,100,SCALE-100-O00-00727,POINT_IN_POLYGON_WGS84,0.0,1
3500045475,100,SCALE-100-O00-01434,POINT_IN_POLYGON_WGS84,0.0,1
3500045274,100,SCALE-100-O00-01131,POINT_IN_POLYGON_WGS84,0.0,1
3500045248,100,SCALE-100-O00-00786,POINT_IN_POLYGON_WGS84,0.0,1
3500045507,100,SCALE-100-O00-01653,POINT_IN_POLYGON_WGS84,0.0,1
3500045558,100,SCALE-100-O00-00897,POINT_IN_POLYGON_WGS84,0.0,1
3500045371,100,SCALE-100-O00-01624,POINT_IN_POLYGON_WGS84,0.0,1
3500045309,100,SCALE-100-O00-00833,POINT_IN_POLYGON_WGS84,0.0,1
3500045304,100,SCALE-100-O00-00447,POINT_IN_POLYGON_WGS84,0.0,1
3500045174,100,SCALE-100-O00-00784,POINT_IN_POLYGON_WGS84,0.0,1
3500045574,100,SCALE-100-O00-03233,POINT_IN_POLYGON_WGS84,0.0,1
3500045589,100,SCALE-100-O00-01462,POINT_IN_POLYGON_WGS84,0.0,1
