well_id,municipality,aquifer,depth_m,source,evidence_code,latitude,longitude
3500065054,Dourados,Guarani,600.0,SIAGAS_MS_20260814,E02,-22.19166699999994,-54.69222199999996
3500053084,Miranda,Coluvionar,30.0,SIAGAS_MS_20260814,E02,-20.143332999999927,-56.28333299999997
3500027119,Caarapó,Serra geral,150.0,SIAGAS_MS_20260814,E02,-22.642499999999927,-54.82416699999993
3500026917,Três Lagoas,Serra geral,34.0,SIAGAS_MS_20260814,E02,-20.97083299999997,-51.839166999999975
3500027282,Chapadão do Sul,Bauru,100.0,SIAGAS_MS_20260814,E02,-18.807777999999928,-52.62555599999996
3500045668,Corguinho,Aquidauana,90.0,SIAGAS_MS_20260814,E02,-19.677221999999972,-55.08277799999996
3500045682,Iguatemi,Caiua,160.0,SIAGAS_MS_20260814,E02,-23.67972199999997,-54.57472199999995
3500053090,Maracaju,Guarani,105.0,SIAGAS_MS_20260814,E02,-21.613888999999972,-55.194999999999936
3500065040,Campo Grande,Serra geral,96.0,SIAGAS_MS_20260814,E02,-20.46222199999994,-54.61638899999997
3500065045,Campo Grande,Serra geral,48.0,SIAGAS_MS_20260814,E02,-20.468610999999953,-54.716388999999936
3500065046,Campo Grande,Serra geral,90.0,SIAGAS_MS_20260814,E02,-20.44222199999996,-54.67277799999994
3500065047,Campo Grande,Serra geral,100.0,SIAGAS_MS_20260814,E02,-20.484166999999957,-54.74916699999994
3500065060,Ivinhema,Caiua,100.0,SIAGAS_MS_20260814,E02,-22.338888999999938,-53.84249999999997
3500065072,Selvíria,Serra geral,96.0,SIAGAS_MS_20260814,E02,-20.361943999999937,-51.426943999999935
3500023027,Coxim,Guarani,78.5,SIAGAS_MS_20260814,E02,-18.64027699999997,-54.35972199999998
3500065009,Aral Moreira,Serra geral,130.0,SIAGAS_MS_20260814,E02,-22.944166999999936,-55.634721999999954
3500068739,Ribas do Rio Pardo,Bauru,74.0,SIAGAS_MS_20260814,E02,-20.012241999999958,-53.29814399999998
3500071611,Jateí,Bauru_Caiua,70.0,SIAGAS_MS_20260814,E02,-22.542666999999938,-54.306221999999934
3500071605,Sete Quedas,Bauru_Caiua,100.0,SIAGAS_MS_20260814,E02,-23.967555999999945,-55.01655599999998
3500071514,Três Lagoas,Bauru_Caiua,100.0,SIAGAS_MS_20260814,E02,-20.84818299999995,-51.74865599999998
3500070919,Itaquiraí,Bauru_Caiua,80.0,SIAGAS_MS_20260814,E02,-23.53314699999993,-54.06936699999994
3500070840,Nioaque,Guarani,60.0,SIAGAS_MS_20260814,E02,-21.15839699999998,-55.828307999999936
3500069727,Itaporã,Bauru_Caiua,46.0,SIAGAS_MS_20260814,E02,-22.08438899999993,-54.83758299999994
3500026934,Glória de Dourados,Caiua,60.0,SIAGAS_MS_20260814,E02,-22.464721999999938,-54.17444399999994
3500026935,Nova Andradina,Caiua,75.0,SIAGAS_MS_20260814,E02,-22.277221999999938,-53.371110999999985
3500026939,Nova Andradina,Serra geral,120.0,SIAGAS_MS_20260814,E02,-22.284999999999968,-53.37944399999998
3500026957,Caarapó,Serra geral,150.0,SIAGAS_MS_20260814,E02,-22.59555599999993,-54.81555599999996
3500026979,Dourados,Serra geral,50.0,SIAGAS_MS_20260814,E02,-21.94805599999995,-54.36694399999993
3500026997,Paranaíba,Bauru,58.0,SIAGAS_MS_20260814,E02,-19.700832999999932,-51.16999999999996
3500027019,Nova Alvorada do Sul,Serra geral,110.0,SIAGAS_MS_20260814,E02,-21.452777999999967,-54.381110999999976
3500027044,Três Lagoas,Caiua,32.0,SIAGAS_MS_20260814,E02,-20.765555999999947,-51.66555599999998
3500027149,Maracaju,Serra geral,85.0,SIAGAS_MS_20260814,E02,-21.654166999999973,-55.100832999999966
3500027154,Camapuã,Guarani,160.0,SIAGAS_MS_20260814,E02,-19.513332999999932,-54.04833299999996
3500027162,Rio Brilhante,Serra geral,95.0,SIAGAS_MS_20260814,E02,-21.807777999999928,-54.549721999999974
3500027173,Três Lagoas,Bauru,91.5,SIAGAS_MS_20260814,E02,-20.776943999999958,-51.66416699999996
3500027176,Três Lagoas,Bauru,180.0,SIAGAS_MS_20260814,E02,-20.77249999999998,-51.737499999999955
3500027212,Aral Moreira,Serra geral,213.0,SIAGAS_MS_20260814,E02,-22.94888899999995,-55.622221999999965
3500027286,Aparecida do Taboado,Caiua,82.0,SIAGAS_MS_20260814,E02,-20.088610999999958,-51.299721999999974
3500027294,Três Lagoas,Bauru,120.0,SIAGAS_MS_20260814,E02,-20.797221999999977,-51.71138899999994
3500045287,Três Lagoas,Caiua,50.0,SIAGAS_MS_20260814,E02,-20.65861099999995,-51.66555599999998
3500045398,Maracaju,Serra geral,130.0,SIAGAS_MS_20260814,E02,-21.578055999999947,-55.17944399999993
3500045626,Campo Grande,Serra geral,120.0,SIAGAS_MS_20260814,E02,-20.44972199999995,-54.59249999999997
3500023356,Sete Quedas,Serra geral,150.0,SIAGAS_MS_20260814,E02,-23.968332999999973,-55.05638799999997
3500023368,Caarapó,Serra geral,150.0,SIAGAS_MS_20260814,E02,-22.641943999999967,-54.81583299999994
3500045694,Campo Grande,Serra geral,116.0,SIAGAS_MS_20260814,E02,-20.534999999999968,-54.670555999999976
3500023202,Anastácio,Guarani,100.0,SIAGAS_MS_20260814,E02,-20.744721999999967,-55.51444399999997
3500023355,Sete Quedas,Bauru,150.0,SIAGAS_MS_20260814,E02,-23.97388799999993,-55.03499999999997
3500026962,Aral Moreira,Serra geral,50.0,SIAGAS_MS_20260814,E02,-22.946110999999974,-55.61638899999997
3500027045,Aparecida do Taboado,Bauru,120.0,SIAGAS_MS_20260814,E02,-20.04166699999996,-51.11472199999997
3500027050,Água Clara,Bauru,57.5,SIAGAS_MS_20260814,E02,-20.445832999999936,-52.871388999999965
3500023312,Inocência,Bauru,115.0,SIAGAS_MS_20260814,E02,-19.73166599999996,-51.864443999999935
3500022928,Campo Grande,Guarani,606.22,SIAGAS_MS_20260814,E02,-20.42083299999996,-54.64694399999996
3500045646,Três Lagoas,Serra geral,100.0,SIAGAS_MS_20260814,E02,-20.97888899999998,-51.77472199999994
3500022824,Terenos,Guarani,181.5,SIAGAS_MS_20260814,E02,-20.48444399999994,-54.86777699999993
3500022816,Sidrolândia,Guarani,440.0,SIAGAS_MS_20260814,E02,-20.923054999999977,-54.96361099999996
3500022567,Costa Rica,Guarani,93.0,SIAGAS_MS_20260814,E02,-18.54472199999998,-53.13972199999995
3500022930,Campo Grande,Guarani,501.0,SIAGAS_MS_20260814,E02,-20.558887999999968,-54.65111099999996
3500071764,Ribas do Rio Pardo,Bauru_Caiua,80.0,SIAGAS_MS_20260814,E02,-21.165246999999965,-53.17158299999994
3500071752,Caarapó,Bauru_Caiua,100.0,SIAGAS_MS_20260814,E02,-22.63704699999994,-54.947405999999944
3500071581,Ivinhema,Bauru_Caiua,117.0,SIAGAS_MS_20260814,E02,-22.285852999999975,-53.95501699999994
3500071535,Anaurilândia,Bauru_Caiua,100.0,SIAGAS_MS_20260814,E02,-22.165832999999964,-52.68083299999995
3500071489,Sidrolândia,Serra geral,76.0,SIAGAS_MS_20260814,E02,-21.17269399999998,-55.30008299999997
3500071469,Cassilândia,Guarani,185.5,SIAGAS_MS_20260814,E02,-19.111802999999952,-51.729071999999974
3500071450,Glória de Dourados,Serra geral,70.0,SIAGAS_MS_20260814,E02,-22.396755999999982,-54.22765799999996
3500071440,São Gabriel do Oeste,Guarani,120.0,SIAGAS_MS_20260814,E02,-19.440966999999944,-54.53443899999996
3500071332,Caarapó,Bauru_Caiua,125.0,SIAGAS_MS_20260814,E02,-22.646977999999933,-54.810532999999964
3500071321,Água Clara,Bauru_Caiua,50.0,SIAGAS_MS_20260814,E02,-20.444974999999943,-52.86348099999998
3500071286,São Gabriel do Oeste,Guarani,100.0,SIAGAS_MS_20260814,E02,-19.281596999999977,-54.62409999999994
3500071055,Chapadão do Sul,Bauru_Caiua,100.0,SIAGAS_MS_20260814,E02,-18.797221999999977,-52.602499999999964
3500071039,São Gabriel do Oeste,Guarani,100.0,SIAGAS_MS_20260814,E02,-19.321241999999927,-54.68636399999997
3500070991,Campo Grande,Serra geral,108.0,SIAGAS_MS_20260814,E02,-20.562216999999976,-54.581857999999954
3500070764,Glória de Dourados,Bauru_Caiua,44.0,SIAGAS_MS_20260814,E02,-22.41408299999995,-54.30566699999997
3500070725,São Gabriel do Oeste,Guarani,35.0,SIAGAS_MS_20260814,E02,-19.400224999999978,-54.56240299999996
3500070687,Campo Grande,Serra geral,150.0,SIAGAS_MS_20260814,E02,-20.51222199999995,-54.610555999999974
3500070672,Novo Horizonte do Sul,Bauru_Caiua,60.0,SIAGAS_MS_20260814,E02,-22.656796999999983,-53.85980299999994
3500070593,Itaporã,Serra geral,100.0,SIAGAS_MS_20260814,E02,-21.894263999999964,-54.727063999999984
3500070472,Itaporã,Serra geral,90.0,SIAGAS_MS_20260814,E02,-22.093666999999982,-54.71802799999995
3500069979,São Gabriel do Oeste,Guarani,88.0,SIAGAS_MS_20260814,E02,-19.367999999999938,-54.60469399999994
3500045612,Três Lagoas,Bauru,130.0,SIAGAS_MS_20260814,E02,-20.79416699999996,-51.72249999999997
3500045709,Três Lagoas,Serra geral,139.0,SIAGAS_MS_20260814,E02,-20.994721999999967,-51.839999999999975
3500045635,Campo Grande,,138.0,SIAGAS_MS_20260814,E02,-20.485832999999957,-54.67277799999994
3500026937,Jateí,,80.0,SIAGAS_MS_20260814,E02,-22.54222199999998,-54.143055999999945
3500045640,Nova Andradina,,80.0,SIAGAS_MS_20260814,E02,-22.29499999999996,-53.389999999999986
3500045639,Três Lagoas,,180.0,SIAGAS_MS_20260814,E02,-20.797499999999957,-51.643888999999945
3500027253,Amambai,Guarani,160.0,SIAGAS_MS_20260814,E02,-23.096666999999968,-55.23583299999996
3500072013,Aquidauana,,461.0,SIAGAS_MS_20260814,E02,-20.45897199999996,-55.791499999999985
3500072071,Aparecida do Taboado,,289.0,SIAGAS_MS_20260814,E02,-20.078363999999965,-51.099580999999944
3500072823,Bonito,,125.0,SIAGAS_MS_20260814,E02,-20.710774999999956,-56.128585999999984
3500045662,Três Lagoas,Serra geral,200.0,SIAGAS_MS_20260814,E02,-20.797499999999957,-51.87805599999996
3500073735,Dourados,,72.0,SIAGAS_MS_20260814,E02,-22.29989699999993,-54.66577499999994
3500045671,Miranda,,70.0,SIAGAS_MS_20260814,E02,-19.97277799999995,-56.30611099999999
3500072514,Rio Brilhante,,150.0,SIAGAS_MS_20260814,E02,-21.863871999999958,-54.52881099999996
3500072669,Jardim,,140.0,SIAGAS_MS_20260814,E02,-21.297635999999954,-56.22779399999996
3500072874,Jardim,,120.0,SIAGAS_MS_20260814,E02,-21.456282999999928,-56.44563299999999
3500072417,Miranda,,160.0,SIAGAS_MS_20260814,E02,-20.025027999999963,-56.81236099999995
3500072847,Bonito,,120.7,SIAGAS_MS_20260814,E02,-21.11648299999996,-56.50929699999995
