well_id,municipality,aquifer,test_type,test_date,static_level_m,dynamic_level_m,stabilized_yield,interpretation_method,source,evidence_code,latitude,longitude
3500065054,Dourados,Guarani,Continuo,2014-09-29,67.0,166.56,42.58,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.19166699999994,-54.69222199999996
3500053084,Miranda,Coluvionar,Rebaixamento,2009-01-01,12.0,22.0,3.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.143332999999927,-56.28333299999997
3500027119,Caarapó,Serra geral,Rebaixamento,2009-08-27,23.0,99.0,13.4,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.642499999999927,-54.82416699999993
3500026917,Três Lagoas,Serra geral,Rebaixamento,2008-01-01,7.0,9.0,0.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.97083299999997,-51.839166999999975
3500027282,Chapadão do Sul,Bauru,Rebaixamento,2009-10-06,57.0,71.0,17.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.807777999999928,-52.62555599999996
3500045668,Corguinho,Aquidauana,Rebaixamento,2010-09-18,54.0,70.0,8.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.677221999999972,-55.08277799999996
3500045682,Iguatemi,Caiua,Rebaixamento,2008-01-01,6.5,144.0,24.2,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.67972199999997,-54.57472199999995
3500053090,Maracaju,Guarani,Rebaixamento,2008-01-01,17.0,20.0,10.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.613888999999972,-55.194999999999936
3500065040,Campo Grande,Serra geral,Rebaixamento,2014-11-12,7.0,51.0,22.63,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.46222199999994,-54.61638899999997
3500065045,Campo Grande,Serra geral,Rebaixamento,2016-01-22,15.0,28.0,5.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.468610999999953,-54.716388999999936
3500065046,Campo Grande,Serra geral,Rebaixamento,2016-04-14,26.3,32.27,5.91,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.44222199999996,-54.67277799999994
3500065047,Campo Grande,Serra geral,Rebaixamento,2016-06-10,12.8,84.0,15.23,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.484166999999957,-54.74916699999994
3500065060,Ivinhema,Caiua,Rebaixamento,2016-07-09,12.75,58.08,17.36,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.338888999999938,-53.84249999999997
3500065072,Selvíria,Serra geral,Rebaixamento,2016-02-02,18.0,64.0,56.5,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.361943999999937,-51.426943999999935
3500023027,Coxim,Guarani,Rebaixamento,1990-02-10,12.0,25.0,18.9,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.64027699999997,-54.35972199999998
3500065009,Aral Moreira,Serra geral,Continuo,1980-07-07,3.65,22.26,46.65,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.944166999999936,-55.634721999999954
3500068739,Ribas do Rio Pardo,Bauru,Rebaixamento,2023-04-26,34.23,49.18,6.32,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.012241999999958,-53.29814399999998
3500026934,Glória de Dourados,Caiua,Rebaixamento,2008-10-02,10.0,30.0,10.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.464721999999938,-54.17444399999994
3500026935,Nova Andradina,Caiua,Rebaixamento,2006-09-29,39.0,52.0,6.1,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.277221999999938,-53.371110999999985
3500026939,Nova Andradina,Serra geral,Rebaixamento,2008-09-22,20.0,45.0,10.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.284999999999968,-53.37944399999998
3500026957,Caarapó,Serra geral,Rebaixamento,2009-02-12,19.0,44.6,45.18,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.59555599999993,-54.81555599999996
3500026979,Dourados,Serra geral,Rebaixamento,2009-02-16,12.0,19.0,5.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.94805599999995,-54.36694399999993
3500023356,Sete Quedas,Serra geral,Escalonado,1981-03-18,6.46,41.46,50.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.968332999999973,-55.05638799999997
3500023368,Caarapó,Serra geral,Escalonado,1980-12-02,19.5,29.82,21.82,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.641943999999967,-54.81583299999994
3500023355,Sete Quedas,Bauru,Rebaixamento,1987-02-26,11.2,97.29,3.6,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.97388799999993,-55.03499999999997
3500023312,Inocência,Bauru,Rebaixamento,1985-05-22,62.9,105.0,3.4,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.73166599999996,-51.864443999999935
3500022928,Campo Grande,Guarani,Rebaixamento,2003-08-20,172.0,285.0,132.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.42083299999996,-54.64694399999996
3500045646,Três Lagoas,Serra geral,Continuo,2010-12-27,18.5,77.5,23.29,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.97888899999998,-51.77472199999994
3500022824,Terenos,Guarani,Rebaixamento,1992-08-16,124.6,139.58,29.3,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.48444399999994,-54.86777699999993
3500022816,Sidrolândia,Guarani,Rebaixamento,2004-12-01,100.0,250.0,200.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.923054999999977,-54.96361099999996
3500022567,Costa Rica,Guarani,Rebaixamento,1991-02-02,36.0,42.7,88.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.54472199999998,-53.13972199999995
3500022930,Campo Grande,Guarani,Rebaixamento,2003-08-20,132.0,190.0,315.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.558887999999968,-54.65111099999996
3500026937,Jateí,,Rebaixamento,2008-10-14,20.0,45.0,12.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.54222199999998,-54.143055999999945
3500045662,Três Lagoas,Serra geral,Rebaixamento,2010-09-10,34.28,44.55,38.135,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.797499999999957,-51.87805599999996
3500045671,Miranda,,Rebaixamento,2009-01-01,5.0,14.0,4.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.97277799999995,-56.30611099999999
3500065031,Campo Grande,Serra geral,Rebaixamento,2016-03-22,17.59,21.82,5.28,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.45333299999993,-54.60583299999996
3500065039,Campo Grande,Serra geral,Continuo,2016-07-03,65.17,172.1,153.72,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.554443999999933,-54.67277799999994
3500045691,Sidrolândia,Guarani,Rebaixamento,2009-01-01,31.0,34.2,14.6,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.74166699999995,-55.11916699999995
3500053083,Miranda,Coluvionar,Rebaixamento,2009-01-01,9.0,13.0,4.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.955832999999927,-56.35305599999998
3500053086,Miranda,Coluvionar,Rebaixamento,2010-01-01,4.0,10.0,10.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.869166999999948,-56.52111099999996
3500027077,Caarapó,Serra geral,Rebaixamento,2007-08-29,11.0,17.0,41.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.621666999999945,-54.82583299999993
3500045670,Batayporã,Caiua,Rebaixamento,2009-01-01,50.0,65.0,83.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.284166999999968,-53.268055999999945
3500045703,Três Lagoas,Bauru,Rebaixamento,2012-07-26,57.78,76.55,117.3,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.64666699999998,-51.830555999999945
3500045711,Três Lagoas,Bauru,Rebaixamento,2012-02-24,62.7,77.43,139.3,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.984166999999957,-51.87527799999998
3500065044,Campo Grande,Serra geral,Continuo,1999-01-01,11.42,12.58,2.76,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.53527799999995,-54.56166699999994
3500065070,Rio Verde de Mato Grosso,Furnas,Continuo,1984-08-13,15.0,49.0,36.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.92805599999997,-54.853332999999964
3500065082,Três Lagoas,Caiua,Rebaixamento,2016-10-13,19.2,24.19,6.69,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.788888999999926,-51.66861099999994
3500065013,Bataguassu,Bauru,Rebaixamento,1986-07-07,3.5,39.75,8.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.72388899999993,-52.25166699999994
3500065016,Bataguassu,Caiua,Rebaixamento,1984-07-24,37.8,49.95,34.43,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.718610999999953,-52.41833299999996
3500065018,Bodoquena,Cuiaba,Rebaixamento,2008-04-11,1.0,6.92,192.32,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.556388999999967,-56.67361099999994
3500065068,Rio Brilhante,Serra geral,Continuo,1995-06-10,0.0,10.15,113.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.789721999999927,-54.55666699999995
3500068743,Paranaíba,Bauru,Rebaixamento,2023-05-29,16.86,53.63,1.52,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.325046999999927,-51.689952999999946
3500068742,Três Lagoas,Bauru,Rebaixamento,2023-05-19,37.6,45.71,6.59,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.99198599999994,-52.28885299999996
3500022591,Coxim,Furnas,Rebaixamento,1999-05-08,15.0,40.0,52.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.50583299999994,-54.75527699999998
3500026944,Ivinhema,Caiua,Rebaixamento,2008-11-28,15.0,50.0,12.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.28388899999993,-53.80555599999997
3500026950,Naviraí,Caiua,Rebaixamento,2009-01-09,15.0,45.0,10.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.099999999999966,-54.19083299999994
3500026951,Glória de Dourados,Caiua,Rebaixamento,2004-07-03,10.0,30.0,10.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.459443999999962,-54.29527799999994
3500023386,Nova Andradina,Caiua,Rebaixamento,1995-11-30,29.0,40.0,25.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.246665999999948,-53.35027699999995
3500045692,Ponta Porã,Serra geral,Rebaixamento,2009-01-01,5.2,21.0,21.76,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.622777999999983,-55.62277799999998
3500023143,Amambai,Guarani,Escalonado,1987-07-03,34.7,98.51,39.6,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.09972199999993,-55.230276999999944
3500023279,Bataguassu,Caiua,Rebaixamento,1993-07-26,37.5,67.7,13.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.716943999999955,-52.41749999999996
3500023327,Chapadão do Sul,Bauru,Escalonado,1985-05-25,68.0,70.3,6.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.803332999999952,-52.622776999999985
3500023357,Sete Quedas,Serra geral,Escalonado,1981-08-31,22.16,38.52,50.76,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.97444399999995,-55.059443999999985
3500023307,Inocência,Serra geral,Rebaixamento,1978-08-08,54.0,71.5,10.56,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.728610999999944,-51.92944399999993
