well_id,municipality,aquifer,available_fields,available_count,pH,electrical_conductivity,temperature,chemical_parameter,chemical_concentration,source,evidence_code,latitude,longitude
3500065054,Dourados,Guarani,pH | Solidos dissolvidos totais,2,8.19999981,,,Solidos dissolvidos totais,151.4,SIAGAS_MS_20260814,E10,-22.19166699999994,-54.69222199999996
3500053084,Miranda,Coluvionar,pH | TEMPERATURA | TURBIDEZ,3,7.25,,23.0,,,SIAGAS_MS_20260814,E10,-20.143332999999927,-56.28333299999997
3500027119,Caarapó,Serra geral,pH | TEMPERATURA | TURBIDEZ,3,7.88999987,,13.3000002,,,SIAGAS_MS_20260814,E10,-22.642499999999927,-54.82416699999993
3500026917,Três Lagoas,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | TURBIDEZ,4,6.51000023,70.0,31.0,,,SIAGAS_MS_20260814,E10,-20.97083299999997,-51.839166999999975
3500027282,Chapadão do Sul,Bauru,pH | TEMPERATURA | TURBIDEZ,3,4.48000002,,2.70000005,,,SIAGAS_MS_20260814,E10,-18.807777999999928,-52.62555599999996
3500045668,Corguinho,Aquidauana,pH | TURBIDEZ,2,5.78999996,,,,,SIAGAS_MS_20260814,E10,-19.677221999999972,-55.08277799999996
3500045682,Iguatemi,Caiua,pH | TEMPERATURA | TURBIDEZ,3,5.80000019,,6.0,,,SIAGAS_MS_20260814,E10,-23.67972199999997,-54.57472199999995
3500053090,Maracaju,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | TURBIDEZ,4,7.01999998,5.02,24.0,,,SIAGAS_MS_20260814,E10,-21.613888999999972,-55.194999999999936
3500065040,Campo Grande,Serra geral,pH | TEMPERATURA | Solidos dissolvidos totais,3,7.32000017,,23.6000004,Solidos dissolvidos totais,81.0,SIAGAS_MS_20260814,E10,-20.46222199999994,-54.61638899999997
3500065045,Campo Grande,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.59000015,22.2,24.0,Solidos dissolvidos totais,117.0,SIAGAS_MS_20260814,E10,-20.468610999999953,-54.716388999999936
3500065046,Campo Grande,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.46000004,12.82,23.3999996,Solidos dissolvidos totais,71.0,SIAGAS_MS_20260814,E10,-20.44222199999996,-54.67277799999994
3500065047,Campo Grande,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,6.0999999,19.35,25.0,Solidos dissolvidos totais,240.0,SIAGAS_MS_20260814,E10,-20.484166999999957,-54.74916699999994
3500065060,Ivinhema,Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,5.69999981,22.7,14.0,Solidos dissolvidos totais,155.0,SIAGAS_MS_20260814,E10,-22.338888999999938,-53.84249999999997
3500065072,Selvíria,Serra geral,pH | TEMPERATURA | Solidos dissolvidos totais,3,7.80000019,,11.1000004,Solidos dissolvidos totais,138.0,SIAGAS_MS_20260814,E10,-20.361943999999937,-51.426943999999935
3500023027,Coxim,Guarani,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | Solidos dissolvidos totais,4,7.42000008,289.0,27.3999996,Solidos dissolvidos totais,259.32,SIAGAS_MS_20260814,E10,-18.64027699999997,-54.35972199999998
3500065009,Aral Moreira,Serra geral,pH | Solidos dissolvidos totais,2,7.0999999,,,Solidos dissolvidos totais,84.9,SIAGAS_MS_20260814,E10,-22.944166999999936,-55.634721999999954
3500068739,Ribas do Rio Pardo,Bauru,pH | CONDUTIVIDADE_ELETRICA | TURBIDEZ,3,6.38999987,73.0,,,,SIAGAS_MS_20260814,E10,-20.012241999999958,-53.29814399999998
3500071611,Jateí,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,5.36000013,19.66,24.1000004,,,SIAGAS_MS_20260814,E10,-22.542666999999938,-54.306221999999934
3500071605,Sete Quedas,Bauru_Caiua,pH | TEMPERATURA,2,6.69999981,,16.0,,,SIAGAS_MS_20260814,E10,-23.967555999999945,-55.01655599999998
3500071514,Três Lagoas,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,6.01000023,19.18,25.3999996,,,SIAGAS_MS_20260814,E10,-20.84818299999995,-51.74865599999998
3500070919,Itaquiraí,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,6.69999981,35.03,23.7000008,,,SIAGAS_MS_20260814,E10,-23.53314699999993,-54.06936699999994
3500070840,Nioaque,Guarani,pH | TEMPERATURA,2,6.71999979,,30.1000004,,,SIAGAS_MS_20260814,E10,-21.15839699999998,-55.828307999999936
3500069727,Itaporã,Bauru_Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA,3,5.5999999,82.7,23.0,,,SIAGAS_MS_20260814,E10,-22.08438899999993,-54.83758299999994
3500026934,Glória de Dourados,Caiua,pH | TEMPERATURA | TURBIDEZ,3,6.0999999,,24.0,,,SIAGAS_MS_20260814,E10,-22.464721999999938,-54.17444399999994
3500026935,Nova Andradina,Caiua,pH | TEMPERATURA | TURBIDEZ,3,5.0999999,,24.0,,,SIAGAS_MS_20260814,E10,-22.277221999999938,-53.371110999999985
3500026939,Nova Andradina,Serra geral,pH | TEMPERATURA | TURBIDEZ,3,5.80999994,,26.0,,,SIAGAS_MS_20260814,E10,-22.284999999999968,-53.37944399999998
3500026957,Caarapó,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TURBIDEZ,3,8.60000038,142.0,,,,SIAGAS_MS_20260814,E10,-22.59555599999993,-54.81555599999996
3500026979,Dourados,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TURBIDEZ,3,8.19999981,122.0,,,,SIAGAS_MS_20260814,E10,-21.94805599999995,-54.36694399999993
3500026997,Paranaíba,Bauru,pH | TURBIDEZ,2,6.36999989,,,,,SIAGAS_MS_20260814,E10,-19.700832999999932,-51.16999999999996
3500027019,Nova Alvorada do Sul,Serra geral,pH | CONDUTIVIDADE_ELETRICA | TURBIDEZ,3,7.5,117.8,,,,SIAGAS_MS_20260814,E10,-21.452777999999967,-54.381110999999976
3500027044,Três Lagoas,Caiua,pH | CONDUTIVIDADE_ELETRICA | TEMPERATURA | TURBIDEZ,4,5.15999985,1.6,26.0,,,SIAGAS_MS_20260814,E10,-20.765555999999947,-51.66555599999998
