well_id,municipality,siagas_aquifer,sgb2024_unit_aflorante,sgb2024_unit_subjacente,comparison_status,comparison_reason,source,evidence_code,latitude,longitude
3500053084,Miranda,Coluvionar,Grupo Cuiaba,,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.143332999999927,-56.28333299999997
3500027119,Caarapó,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.642499999999927,-54.82416699999993
3500026917,Três Lagoas,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.97083299999997,-51.839166999999975
3500027282,Chapadão do Sul,Bauru,Formação Cachoeirinha,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-18.807777999999928,-52.62555599999996
3500065072,Selvíria,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.361943999999937,-51.426943999999935
3500023027,Coxim,Guarani,Formação Palermo,,NÃO COMPARÁVEL DIRETAMENTE,Guarani é nome de sistema aquífero e não tem correspondência direta demonstrada com a unidade cartográfica neste ponto,AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-18.64027699999997,-54.35972199999998
3500068739,Ribas do Rio Pardo,Bauru,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.012241999999958,-53.29814399999998
3500069727,Itaporã,Bauru_Caiua,Formação Serra Geral,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"Bauru_Caiuá não coincide com a unidade explicitada no mapa, mas a captação pode ser mais profunda",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.08438899999993,-54.83758299999994
3500026939,Nova Andradina,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.284999999999968,-53.37944399999998
3500026957,Caarapó,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.59555599999993,-54.81555599999996
3500027044,Três Lagoas,Caiua,Formação Serra Geral,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.765555999999947,-51.66555599999998
3500027173,Três Lagoas,Bauru,Formação Serra Geral,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.776943999999958,-51.66416699999996
3500027176,Três Lagoas,Bauru,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.77249999999998,-51.737499999999955
3500027294,Três Lagoas,Bauru,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.797221999999977,-51.71138899999994
3500045287,Três Lagoas,Caiua,Formação Serra Geral,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.65861099999995,-51.66555599999998
3500023356,Sete Quedas,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-23.968332999999973,-55.05638799999997
3500023368,Caarapó,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.641943999999967,-54.81583299999994
3500045414,Sidrolândia,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.334721999999942,-55.226943999999946
3500045544,São Gabriel do Oeste,,Grupo Bauru,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-19.277499999999975,-54.63611099999997
3500045560,Itaporã,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.067777999999976,-54.841110999999955
3500045370,Aparecida do Taboado,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.071943999999974,-51.53583299999997
3500045556,São Gabriel do Oeste,,Grupo Bauru,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-19.372499999999945,-54.611388999999974
3500045201,Ribas do Rio Pardo,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.41027799999995,-53.18083299999995
3500045533,Juti,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.85722199999998,-54.630277999999976
3500045335,Chapadão do Sul,,Formação Cachoeirinha,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-18.802221999999972,-52.62555599999996
3500045517,São Gabriel do Oeste,,Grupo Bauru,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-19.284999999999968,-54.61888899999997
3500045584,Três Lagoas,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.73333299999996,-51.78333299999997
3500045537,Dourados,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.08611099999996,-54.25444399999998
3500045194,Naviraí,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.99138899999997,-54.39027799999997
3500045139,Laguna Carapã,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.738055999999972,-55.077499999999986
3500045293,Bonito,,Grupo Cuiaba,,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.109721999999977,-56.48194399999994
3500045213,Nova Alvorada do Sul,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.170555999999976,-54.50388899999996
3500045450,Campo Grande,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.712499999999977,-54.819999999999936
3500045493,Campo Grande,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.63638899999995,-54.66305599999998
3500045431,São Gabriel do Oeste,,Grupo Bauru,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-19.371943999999928,-54.60777799999994
3500045555,São Gabriel do Oeste,,Grupo Bauru,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-19.278610999999955,-54.612777999999935
3500045473,Sidrolândia,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.29694399999994,-54.83611099999996
3500045332,São Gabriel do Oeste,,Grupo Bauru,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-19.38555599999995,-54.56749999999994
3500045311,Campo Grande,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.394443999999964,-54.55388899999997
3500045246,Nova Alvorada do Sul,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.18777799999998,-54.52194399999996
3500045295,Rio Brilhante,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.796666999999957,-54.52694399999996
3500045475,Campo Grande,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.786666999999966,-54.65999999999997
3500045274,Sidrolândia,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.214443999999958,-54.70055599999995
3500045248,Rio Brilhante,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.770277999999962,-54.24166699999995
3500045507,Três Lagoas,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.54444399999994,-51.64999999999998
3500045558,Rio Brilhante,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.601666999999964,-54.71222199999994
3500045371,Campo Grande,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.560832999999946,-54.57111099999997
3500045309,Maracaju,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.628055999999958,-55.41111099999995
3500045304,Dourados,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.23055599999998,-55.07888899999995
3500045174,Rio Brilhante,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.78333299999997,-54.53111099999995
3500045574,Coxim,,Formação Ponta Grossa,Formação Furnas,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-18.429443999999933,-54.64972199999994
3500045589,Três Lagoas,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.779721999999936,-51.71972199999993
3500045341,Campo Grande,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.457221999999945,-54.63555599999995
3500045328,Campo Grande,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.50166699999994,-54.59444399999995
3500045298,Santa Rita do Pardo,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.644721999999945,-52.808055999999965
3500045539,São Gabriel do Oeste,,Formação Botucatu,,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-19.123888999999963,-54.36694399999993
3500045380,Campo Grande,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.436110999999983,-54.64777799999996
3500045257,Itaquiraí,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-23.46222199999994,-54.17166699999996
3500045361,Sidrolândia,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.92083299999996,-54.623332999999946
3500045411,Sidrolândia,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.13666699999993,-54.55416699999995
3500045488,Sidrolândia,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.93805599999996,-54.85888899999998
3500045296,Dourados,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.103610999999944,-54.265832999999986
3500045347,São Gabriel do Oeste,,Grupo Bauru,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-19.28444399999995,-54.725832999999966
3500045580,São Gabriel do Oeste,,Grupo Bauru,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-19.537499999999966,-54.52249999999998
3500045570,Chapadão do Sul,,Formação Cachoeirinha,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-18.777499999999975,-52.642777999999964
3500045181,Chapadão do Sul,,Grupo Caiuá,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-18.912499999999966,-52.56388899999996
3500045404,Rio Brilhante,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.423332999999957,-54.776666999999975
3500045529,Miranda,,Depósitos aluvionares,,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.062221999999963,-56.53277799999995
3500045136,Sidrolândia,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.309166999999945,-55.18694399999998
3500045192,Maracaju,,Formação Serra Geral,Formação Botucatu,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-21.59416699999997,-55.098888999999986
3500023355,Sete Quedas,Bauru,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-23.97388799999993,-55.03499999999997
3500027050,Água Clara,Bauru,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.445832999999936,-52.871388999999965
3500045646,Três Lagoas,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-20.97888899999998,-51.77472199999994
3500071450,Glória de Dourados,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-22.396755999999982,-54.22765799999996
3500071055,Chapadão do Sul,Bauru_Caiua,Formação Cachoeirinha,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"Bauru_Caiuá não coincide com a unidade explicitada no mapa, mas a captação pode ser mais profunda",AUDITORIA_HIDROESTRATIGRAFICA_V1,E12,-18.797221999999977,-52.602499999999964
