scale_km2,grid_family,evidence_code,n_points,n_assigned,multi_intersections,fallback_nearest_50m,n_unassigned,fallback_details,rule
100,SCALE_PRIMARY_O00_V1,E01,3877,3877,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E02,3414,3414,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E03,3097,3097,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E04,3213,3213,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E05,3180,3180,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E06,3051,3051,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E07,1106,1106,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E08,1096,1096,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E09,51,51,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E10,2053,2053,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E11,1637,1637,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
100,SCALE_PRIMARY_O00_V1,E12,1823,1823,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
150,SCALE_PRIMARY_O00_V1,E01,3877,3877,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
150,SCALE_PRIMARY_O00_V1,E02,3414,3414,0,0,0,,WITHIN; INTERSECTS para borda; desempate por cell_id; proximidade somente <=50 m
