scale_km2,pih_cell_id,source_hex_id,area_efetiva_ms_km2,evidence_code,evidence_name,n_evidence,n_wells_E01,pct_of_wells,support_state,interpretation
250,PIH-250-0001,HX-19-3,5.8619,E01,Poços canônicos provisórios,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E02,Profundidade positiva informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E03,Aquífero informado no cadastro,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E04,Nível estático disponível,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E05,Nível dinâmico disponível,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E06,Vazão específica não negativa,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E07,Ensaio de bombeamento cadastrado,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E08,Ensaio com metadados mínimos de cadastro,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E09,Transmissividade informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E10,Evidência hidroquímica e físico-química parcial,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E11,Última evidência hidrogeológica datada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0001,HX-19-3,5.8619,E12,Revisão hidroestratigráfica necessária,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E01,Poços canônicos provisórios,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E02,Profundidade positiva informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E03,Aquífero informado no cadastro,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E04,Nível estático disponível,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E05,Nível dinâmico disponível,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E06,Vazão específica não negativa,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E07,Ensaio de bombeamento cadastrado,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E08,Ensaio com metadados mínimos de cadastro,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E09,Transmissividade informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E10,Evidência hidroquímica e físico-química parcial,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E11,Última evidência hidrogeológica datada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0002,HX-20-3,11.8169,E12,Revisão hidroestratigráfica necessária,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0003,HX-25-3,65.7767,E01,Poços canônicos provisórios,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0003,HX-25-3,65.7767,E02,Profundidade positiva informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0003,HX-25-3,65.7767,E03,Aquífero informado no cadastro,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0003,HX-25-3,65.7767,E04,Nível estático disponível,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
