pih_cell_id,source_hex_id,area_nominal_km2,centroide_lon,centroide_lat,area_efetiva_ms_km2,percentual_hexagono_em_ms,celula_borda_estadual,fonte_limite,status,n_record,n_depth_positive,n_depth_present,n_aquifer_present,n_drilling_date_present,n_ne_present,n_nd_present,n_specific_yield_present,n_ph_present,n_ec_present,n_temperature_present,n_chemical_parameter_present,n_chemical_concentration_present,n_unique_wells,analysis_status,n_E01,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,state_E01,pct_E02_of_E01,state_E02,pct_E03_of_E01,state_E03,pct_E04_of_E01,state_E04,pct_E05_of_E01,state_E05,pct_E06_of_E01,state_E06,pct_E07_of_E01,state_E07,pct_E08_of_E01,state_E08,pct_E09_of_E01,state_E09,pct_E10_of_E01,state_E10,pct_E11_of_E01,state_E11,pct_E12_of_E01,state_E12,E02_depth_median_m,E02_depth_p10_m,E02_depth_p90_m,E03_aquifer_n_unique,E04_zero_review_count,E05_zero_review_count,E07_test_types,E09_zero_review_count,E10_available_fields_median,E10_n_pH,E10_n_EC,E10_n_temperature,E10_n_chemical_parameter,E11_age_median_years,E11_age_p25_years,E11_age_p75_years,E12_comparison_statuses,cutoff_date
PIH-1000-0001,HX1000-11-3,1000,-55.334191,-23.953427,513.1979,51.32,Sim,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,9,9,9,8,9,9,9,9,5,3,3,1,1,9,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,9,9,8,9,9,9,4,4,0,5,6,7,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,88.8889,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,44.4444,EVIDENCE_PRESENT,44.4444,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,55.5556,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,77.7778,REVIEW_REQUIRED_PRESENT,92.0,76.0,150.0,2,0,0,Escalonado:2 | Rebaixamento:2,0,3.0,5,3,3,5,36.2435,21.431,37.45025,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:6 | UNKNOWN:1,2026-08-29
PIH-1000-0002,HX1000-12-3,1000,-55.000516,-23.954722,502.5806,50.26,Sim,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,6,6,6,6,6,6,6,6,3,1,2,1,1,6,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,6,6,6,6,6,6,3,3,0,3,4,5,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,50.0,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,83.3333,REVIEW_REQUIRED_PRESENT,150.0,80.0,372.0,3,0,0,Escalonado:2 | Rebaixamento:1,0,2.0,3,1,2,3,42.248999999999995,38.0955,45.09925,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:5,2026-08-29
PIH-1000-0003,HX1000-13-3,1000,-54.666839,-23.955369,131.9311,13.19,Sim,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,1,1,1,1,0,1,1,1,0,0,0,0,0,1,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,1,1,1,1,1,1,1,0,0,0,0,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,REVIEW_REQUIRED_PRESENT,155.0,155.0,155.0,1,0,0,Rebaixamento:1,0,,0,0,0,0,,,,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:1,2026-08-29
PIH-1000-0004,HX1000-14-3,1000,-54.333161,-23.955369,636.5003,63.65,Sim,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,30,29,29,27,29,29,29,27,15,14,12,13,13,30,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,30,29,27,29,29,27,10,10,1,16,14,18,WELLS_PRESENT,96.6667,EVIDENCE_PRESENT,90.0,EVIDENCE_PRESENT,96.6667,EVIDENCE_PRESENT,96.6667,EVIDENCE_PRESENT,90.0,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,3.3333,EVIDENCE_PRESENT,53.3333,EVIDENCE_PRESENT,46.6667,EVIDENCE_PRESENT,60.0,REVIEW_REQUIRED_PRESENT,128.0,72.4,162.0,3,0,0,Escalonado:1 | Rebaixamento:9,0,4.0,15,14,12,16,34.4735,17.11575,39.56625,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:15 | UNKNOWN:3,2026-08-29
PIH-1000-0005,HX1000-15-3,1000,-53.999484,-23.954722,115.8073,11.58,Sim,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,,,0,0,0,,0,,0,0,0,0,,,,,2026-08-29
PIH-1000-0006,HX1000-11-4,1000,-55.499062,-23.686723,433.2633,43.33,Sim,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,,,0,0,0,,0,,0,0,0,0,,,,,2026-08-29
PIH-1000-0007,HX1000-12-4,1000,-55.166043,-23.688334,1000.0,100.0,Não,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,4,4,4,4,4,4,4,4,2,1,1,1,1,4,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,4,4,4,4,4,4,2,2,0,2,3,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,50.0,EVIDENCE_PRESENT,75.0,EVIDENCE_PRESENT,25.0,REVIEW_REQUIRED_PRESENT,103.0,103.0,114.9,2,0,0,Escalonado:1 | Rebaixamento:1,0,3.0,2,1,1,2,24.569,20.787,34.9415,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:1,2026-08-29
PIH-1000-0008,HX1000-13-4,1000,-54.833022,-23.6893,1000.0,100.0,Não,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,2,2,2,2,2,2,2,2,1,1,1,1,1,2,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,2,2,2,2,2,2,1,1,0,1,1,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,REVIEW_REQUIRED_PRESENT,103.5,90.3,116.7,2,0,0,Rebaixamento:1,0,4.0,1,1,1,1,7.847,7.847,7.847,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:1,2026-08-29
PIH-1000-0009,HX1000-14-4,1000,-54.5,-23.689622,1000.0,100.0,Não,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,23,22,22,21,22,21,21,21,9,6,2,5,5,23,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,23,22,21,21,21,21,10,10,0,9,16,7,WELLS_PRESENT,95.6522,EVIDENCE_PRESENT,91.3043,EVIDENCE_PRESENT,91.3043,EVIDENCE_PRESENT,91.3043,EVIDENCE_PRESENT,91.3043,EVIDENCE_PRESENT,43.4783,EVIDENCE_PRESENT,43.4783,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,39.1304,EVIDENCE_PRESENT,69.5652,EVIDENCE_PRESENT,30.4348,REVIEW_REQUIRED_PRESENT,132.5,69.2,155.0,2,0,0,Rebaixamento:10,0,3.0,9,6,2,9,25.0585,17.005,33.46325,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:5 | UNKNOWN:2,2026-08-29
PIH-1000-0010,HX1000-15-4,1000,-54.166978,-23.6893,881.6342,88.16,Sim,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,30,28,28,28,28,28,28,27,9,7,7,7,7,30,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,30,28,28,28,28,27,9,9,0,10,15,12,WELLS_PRESENT,93.3333,EVIDENCE_PRESENT,93.3333,EVIDENCE_PRESENT,93.3333,EVIDENCE_PRESENT,93.3333,EVIDENCE_PRESENT,90.0,EVIDENCE_PRESENT,30.0,EVIDENCE_PRESENT,30.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,33.3333,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,40.0,REVIEW_REQUIRED_PRESENT,142.0,85.7,152.0,4,0,0,Rebaixamento:9,0,3.0,9,7,7,10,30.938,17.005,35.94,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:10 | UNKNOWN:2,2026-08-29
