cell_id,scale_km2,area_effective_km2,n_wells_raw,analysis_status,source_snapshot_overlap_n,pct_source_snapshot_overlap,coordinate_sites_n,coordinate_compression_n,coordinate_compression_pct,review_high_clusters_n,review_high_reduction_n,review_high_reduction_pct,review_all_clusters_n,review_all_reduction_n,review_all_reduction_pct,duplicate_candidate_wells_n,duplicate_candidate_wells_pct,high_duplicate_candidate_wells_n,high_duplicate_candidate_wells_pct,exact_colocation_wells_n,exact_colocation_wells_pct,nn_lt_100m_n,nn_lt_100m_pct,nn_lt_500m_n,nn_lt_500m_pct,nn_lt_1000m_n,nn_lt_1000m_pct,nearest_neighbor_median_m,documentary_domains_mean,documentary_domains_median,zero_domains_n,zero_domains_pct,fourplus_domains_n,fourplus_domains_pct,dated_domains_mean,dated_domains_median,source_core_pairs_comparable_n,source_core_pairs_matching_n,source_core_match_pct,specific_capacity_both_sources_n,specific_capacity_source_echo_n,specific_capacity_source_echo_pct,pumping_test_records_n,chem_sample_records_n,chem_result_records_n,hydraulic_parameter_records_n,chem_sample_records_per_well,hydraulic_parameter_records_per_well
SCALE-150-O00-00001,150,0.03770956728187142,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-150-O00-00002,150,9.71320834119897,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-150-O00-00003,150,8.06372591719992,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-150-O00-00004,150,0.6116221064281853,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-150-O00-00005,150,11.676859991773432,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-150-O00-00006,150,80.47020372363576,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-150-O00-00007,150,0.7073586748186718,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-150-O00-00008,150,16.09665750699803,5,COM_POCO_NO_CONJUNTO_AUDITADO,3.0,60.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,60.0,3.0,60.0,183.68,3.8,4.0,0.0,0.0,4.0,80.0,0.8,1.0,12.0,12.0,100.0,3.0,3.0,100.0,3.0,2.0,3.0,11.0,0.4,2.2
SCALE-150-O00-00009,150,137.08973947735805,1,COM_POCO_NO_CONJUNTO_AUDITADO,1.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12382.82,4.0,4.0,0.0,0.0,1.0,100.0,1.0,1.0,4.0,4.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,3.0,0.0,3.0
SCALE-150-O00-00010,150,149.58939215375895,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-150-O00-00011,150,137.47662820526935,5,COM_POCO_NO_CONJUNTO_AUDITADO,4.0,80.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,3.0,60.0,5.0,100.0,462.59,4.2,4.0,0.0,0.0,5.0,100.0,1.0,1.0,16.0,16.0,100.0,4.0,4.0,100.0,4.0,2.0,3.0,13.0,0.4,2.6
SCALE-150-O00-00012,150,97.5388120157129,1,COM_POCO_NO_CONJUNTO_AUDITADO,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.58,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0
SCALE-150-O00-00013,150,13.61400324169796,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-150-O00-00014,150,0.0956533071309725,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-150-O00-00015,150,54.63767126378023,7,COM_POCO_NO_CONJUNTO_AUDITADO,7.0,100.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,57.142857142857146,6.0,85.71428571428571,6.0,85.71428571428571,84.18,4.142857142857143,4.0,0.0,0.0,7.0,100.0,1.1428571428571428,1.0,28.0,28.0,100.0,7.0,7.0,100.0,7.0,2.0,2.0,22.0,0.2857142857142857,3.142857142857143
SCALE-150-O00-00016,150,149.99999999999324,17,COM_POCO_NO_CONJUNTO_AUDITADO,6.0,35.294117647058826,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.529411764705884,8.0,47.05882352941177,13.0,76.47058823529412,504.61,3.4705882352941178,4.0,1.0,5.882352941176471,11.0,64.70588235294117,0.35294117647058826,0.0,19.0,19.0,100.0,4.0,4.0,100.0,5.0,11.0,12.0,26.0,0.6470588235294118,1.5294117647058822
SCALE-150-O00-00017,150,149.66919281092242,1,COM_POCO_NO_CONJUNTO_AUDITADO,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6912.73,4.0,4.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0
SCALE-150-O00-00018,150,18.85121770980636,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
