cell_id,scale_km2,area_effective_km2,n_wells_raw,source_snapshot_overlap_n,pct_source_snapshot_overlap,coordinate_sites_n,coordinate_compression_n,coordinate_compression_pct,review_high_clusters_n,review_high_reduction_n,review_high_reduction_pct,review_all_clusters_n,review_all_reduction_n,review_all_reduction_pct,duplicate_candidate_wells_n,duplicate_candidate_wells_pct,high_duplicate_candidate_wells_n,high_duplicate_candidate_wells_pct,exact_colocation_wells_n,exact_colocation_wells_pct,nn_lt_100m_n,nn_lt_100m_pct,nn_lt_500m_n,nn_lt_500m_pct,nn_lt_1000m_n,nn_lt_1000m_pct,nearest_neighbor_median_m,documentary_domains_mean,documentary_domains_median,zero_domains_n,zero_domains_pct,fourplus_domains_n,fourplus_domains_pct,dated_domains_mean,dated_domains_median,source_core_pairs_comparable_n,source_core_pairs_matching_n,source_core_match_pct,specific_capacity_both_sources_n,specific_capacity_source_echo_n,specific_capacity_source_echo_pct,pumping_test_records_n,chem_sample_records_n,chem_result_records_n,hydraulic_parameter_records_n,chem_sample_records_per_well,hydraulic_parameter_records_per_well,analysis_status
SCALE-500-O00-00001,500,106.90825499089776,7,5.0,71.42857142857143,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.857142857142854,5.0,71.42857142857143,5.0,71.42857142857143,183.68,4.0,4.0,0.0,0.0,6.0,85.71428571428571,1.0,1.0,20.0,20.0,100.0,5.0,5.0,100.0,5.0,3.0,5.0,17.0,0.42857142857142855,2.4285714285714284,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00002,500,247.19400445221177,1,1.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12382.82,4.0,4.0,0.0,0.0,1.0,100.0,1.0,1.0,4.0,4.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,3.0,0.0,3.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00003,500,152.2739354688134,6,4.0,66.66666666666667,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.333333333333336,3.0,50.0,5.0,83.33333333333333,604.475,4.0,4.0,0.0,0.0,5.0,83.33333333333333,0.8333333333333334,1.0,16.0,16.0,100.0,4.0,4.0,100.0,4.0,2.0,3.0,14.0,0.3333333333333333,2.3333333333333335,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00004,500,0.1840479988647467,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00005,500,45.13364693291343,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00006,500,340.02055298736434,14,6.0,42.857142857142854,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.285714285714286,5.0,35.714285714285715,9.0,64.28571428571429,722.47,3.4285714285714284,4.0,1.0,7.142857142857143,9.0,64.28571428571429,0.42857142857142855,0.0,19.0,19.0,100.0,4.0,4.0,100.0,5.0,9.0,10.0,23.0,0.6428571428571429,1.6428571428571428,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00007,500,26.24536574079363,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00008,500,8.781298135606887,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00009,500,499.1715669157099,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6487.73,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,COM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00010,500,499.9999999999812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00011,500,464.75412792500714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM_POCO_NO_CONJUNTO_AUDITADO
SCALE-500-O00-00012,500,375.7537733335535,7,6.0,85.71428571428571,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.571428571428573,2.0,28.571428571428573,2.0,28.571428571428573,1656.1,4.142857142857143,4.0,0.0,0.0,7.0,100.0,0.8571428571428571,1.0,24.0,24.0,100.0,6.0,6.0,100.0,6.0,2.0,3.0,19.0,0.2857142857142857,2.7142857142857144,COM_POCO_NO_CONJUNTO_AUDITADO
