well_id,latitude,longitude,municipality_declared,sgb2024_unit_aflorante,hydrolithologic_domain,source_snapshots_n,source_snapshot_overlap,source_core_pairs_comparable_n,source_core_pairs_matching_n,source_core_match_pct,exact_coordinate_group,exact_coordinate_colocation,coordinate_site_id,duplicate_candidate_level,duplicate_candidate_partners_n,duplicate_candidate_partners,review_cluster_high_id,review_cluster_all_id,nearest_neighbor_m,nn_lt_100m,nn_lt_500m,nn_lt_1000m,pumping_test_records_n,chem_sample_records_n,chem_result_records_n,hydraulic_parameter_records_n,chem_parameter_types_n,hydraulic_parameter_types_n,chem_source_datasets_n,hydraulic_source_datasets_n,specific_capacity_both_sources,specific_capacity_source_echo,domain_aquifer_context,domain_vertical_documentation,domain_water_level,domain_hydraulic,domain_chemistry,documentary_domains_n,dated_domains_n
3500065054,-22.19166699999994,-54.69222199999996,Dourados,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500065054,NONE,0,,3500065054,3500065054,82.76,TRUE,TRUE,TRUE,1,1,1,3,1,2,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2
3500053084,-20.143332999999927,-56.28333299999997,Miranda,Grupo Cuiaba,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500053084,NONE,0,,3500053084,3500053084,568.37,FALSE,FALSE,TRUE,1,1,2,3,2,2,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2
3500027119,-22.642499999999927,-54.82416699999993,Caarapó,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500027119,NONE,0,,3500027119,3500027119,28.77,TRUE,TRUE,TRUE,1,1,2,3,2,2,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2
3500026917,-20.97083299999997,-51.839166999999975,Três Lagoas,Grupo Caiuá,Granular,2,TRUE,3,3,100.0,,FALSE,3500026917,NONE,0,,3500026917,3500026917,948.92,FALSE,FALSE,TRUE,1,1,4,2,4,2,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2
3500027282,-18.807777999999928,-52.62555599999996,Chapadão do Sul,Formação Cachoeirinha,Granular,2,TRUE,4,4,100.0,,FALSE,3500027282,NONE,0,,3500027282,3500027282,16.63,TRUE,TRUE,TRUE,1,1,2,3,2,2,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2
3500045668,-19.67722199999997,-55.08277799999996,Corguinho,Formação Aquidauana,Granular,2,TRUE,4,4,100.0,,FALSE,3500045668,NONE,0,,3500045668,3500045668,19140.42,FALSE,FALSE,FALSE,1,1,2,3,2,2,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2
3500045682,-23.67972199999997,-54.57472199999995,Iguatemi,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500045682,NONE,0,,3500045682,3500045682,809.95,FALSE,FALSE,TRUE,1,1,2,3,2,2,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2
3500053090,-21.61388899999997,-55.194999999999936,Maracaju,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500053090,NONE,0,,3500053090,3500053090,2062.77,FALSE,FALSE,FALSE,1,1,3,3,3,2,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2
3500065040,-20.46222199999994,-54.61638899999997,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500065040,NONE,0,,3500065040,3500065040,290.34,FALSE,TRUE,TRUE,1,2,2,3,2,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2
3500065045,-20.46861099999996,-54.716388999999936,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500065045,NONE,0,,3500065045,3500065045,277.85,FALSE,TRUE,TRUE,1,2,3,3,3,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2
