indicator_a,source_field_a,indicator_b,source_field_b,n11_both,n10_a_only,n01_b_only,n00_neither,jaccard_presence,phi_presence,a_implies_b_in_acquired_set,b_implies_a_in_acquired_set,causal_interpretation_allowed,independence_demonstrated,method_version
PROFUNDIDADE_POSITIVA,vertical_depth_positive,NIVEL_ESTATICO,hydraulic_static_level_available,3213,201,0,463,0.94112478,0.8100840106724052,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,NIVEL_DINAMICO,hydraulic_dynamic_level_available,3180,234,0,463,0.9314587,0.7866035608339342,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,VAZAO_ESPECIFICA_NAO_NEGATIVA,hydraulic_specific_capacity_nonnegative,3051,363,0,463,0.89367311,0.7077661977192207,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,ENSAIO_CADASTRADO,hydraulic_test_registered,1106,2308,0,463,0.32396016,0.23265802532270483,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,1096,2318,0,463,0.32103105,0.23118705875419837,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,51,3363,0,463,0.01493849,0.042517854590017536,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,2045,1369,8,455,0.59760374,0.377949218024171,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,HIDROQUIMICA_DATADA,hydrochemical_dated,522,2892,8,455,0.15254237,0.12802184053598675,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,EVIDENCIA_DATADA,temporal_any_dated,1627,1787,10,453,0.47517523,0.2987139638584231,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,NIVEL_DATADO,level_measurement_dated,20,3394,0,463,0.00585823,0.026518497597129452,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,ENSAIO_DATADO,test_dated,1579,1835,2,461,0.46223653,0.3023526459097127,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,QUIMICA_DATADA,chemistry_dated,522,2892,8,455,0.15254237,0.12802184053598675,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,1633,1781,0,463,0.47832455,0.3141524154027809,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,PERFIL_LITOLOGICO,explicit_profile_documented,0,3414,0,463,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,INTERVALO_CAPTADO,capture_interval_demonstrated,0,3414,0,463,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,SERIE_TEMPORAL,time_series_demonstrated,0,3414,0,463,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
PROFUNDIDADE_POSITIVA,vertical_depth_positive,INDEPENDENCIA_DEMONSTRADA,independence_demonstrated,0,3414,0,463,0.0,,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
NIVEL_ESTATICO,hydraulic_static_level_available,NIVEL_DINAMICO,hydraulic_dynamic_level_available,3180,33,0,664,0.98972923,0.9710147965777263,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
NIVEL_ESTATICO,hydraulic_static_level_available,VAZAO_ESPECIFICA_NAO_NEGATIVA,hydraulic_specific_capacity_nonnegative,3051,162,0,664,0.94957983,0.8736948123834017,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
NIVEL_ESTATICO,hydraulic_static_level_available,ENSAIO_CADASTRADO,hydraulic_test_registered,1106,2107,0,664,0.34422658,0.2872023422972989,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
NIVEL_ESTATICO,hydraulic_static_level_available,ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,1096,2117,0,664,0.34111422,0.2853865225191928,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
NIVEL_ESTATICO,hydraulic_static_level_available,TRANSMISSIVIDADE_INFORMADA,hydraulic_transmissivity_reported,51,3162,0,664,0.01587302,0.052485734849556966,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
NIVEL_ESTATICO,hydraulic_static_level_available,HIDROQUIMICA_PARCIAL,hydrochemical_partial_evidence,1986,1227,67,597,0.6054878,0.39039088943994493,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
NIVEL_ESTATICO,hydraulic_static_level_available,HIDROQUIMICA_DATADA,hydrochemical_dated,477,2736,53,611,0.14605021,0.0752751381233522,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
NIVEL_ESTATICO,hydraulic_static_level_available,EVIDENCIA_DATADA,temporal_any_dated,1581,1632,56,608,0.48363414,0.31099944364841264,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
NIVEL_ESTATICO,hydraulic_static_level_available,NIVEL_DATADO,level_measurement_dated,20,3193,0,664,0.00622471,0.032735490699437375,False,True,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
NIVEL_ESTATICO,hydraulic_static_level_available,ENSAIO_DATADO,test_dated,1578,1635,3,661,0.49067164,0.3730526110359876,False,False,False,False,PIH_MS_V2.4_SUF_PERGUNTA_V1
