field,modules,source_files,definition,formula_or_rule,unit,how_to_read,does_not_mean,unknown_rule
color_hex,Prioridade de investigação por pergunta,confidence_class_registry.csv | priority_class_registry.csv,Valor auditável de color hex no módulo experimental V2.6.,"Calculado diretamente no universo, pergunta, escala, origem e denominador declarados no arquivo de origem.",texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
confidence_c1_very_low_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a confidence c1 very low n no produto V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
confidence_c2_low_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a confidence c2 low n no produto V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
confidence_c3_moderate_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a confidence c3 moderate n no produto V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
confidence_c4_high_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a confidence c4 high n no produto V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
confidence_c5_very_high_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a confidence c5 very high n no produto V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
confidence_class,Prioridade de investigação por pergunta,cell_question_priority_long.csv | confidence_class_registry.csv,Valor auditável de confidence class no módulo experimental V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
confidence_code,Prioridade de investigação por pergunta,cell_question_priority_long.csv | confidence_class_registry.csv,Contagem ou código controlado associado a confidence code no produto V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
confidence_explanation,Prioridade de investigação por pergunta,cell_question_priority_long.csv,Valor auditável de confidence explanation no módulo experimental V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
confidence_label,Prioridade de investigação por pergunta,cell_question_priority_long.csv | confidence_class_registry.csv,Valor auditável de confidence label no módulo experimental V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
confidence_unknown_n,Prioridade de investigação por pergunta,priority_scale_question_summary.csv,Contagem ou código controlado associado a confidence unknown n no produto V2.6.,Classe separada derivada da concordância exata da prioridade entre cinco escalas e quatro origens.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
context_gate_n,Prioridade de investigação por pergunta,cell_question_priority_long.csv,Contagem ou código controlado associado a context gate n no produto V2.6.,Conjunção de evidência direta e requisitos intermediários explicitados no registro de regras da pergunta.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
context_gate_requirement_codes,Prioridade de investigação por pergunta,priority_question_rules.csv,Valor auditável de context gate requirement codes no módulo experimental V2.6.,Conjunção de evidência direta e requisitos intermediários explicitados no registro de regras da pergunta.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
context_gate_rule,Prioridade de investigação por pergunta,priority_question_rules.csv,Valor auditável de context gate rule no módulo experimental V2.6.,Conjunção de evidência direta e requisitos intermediários explicitados no registro de regras da pergunta.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
cross_scale_priority_exact_pct,Prioridade de investigação por pergunta,cell_question_priority_long.csv,"Percentual associado a cross scale priority exact pct, com denominador explícito no produto V2.6.",Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,%,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
cross_scale_priority_exact_support_n,Prioridade de investigação por pergunta,cell_question_priority_long.csv,Contagem ou código controlado associado a cross scale priority exact support n no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
full_minimum_requirement_codes,Prioridade de investigação por pergunta,priority_question_rules.csv,Valor auditável de full minimum requirement codes no módulo experimental V2.6.,"Calculado diretamente no universo, pergunta, escala, origem e denominador declarados no arquivo de origem.",texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
full_minimum_rule,Prioridade de investigação por pergunta,priority_question_rules.csv,Valor auditável de full minimum rule no módulo experimental V2.6.,"Calculado diretamente no universo, pergunta, escala, origem e denominador declarados no arquivo de origem.",texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
fully_blocked_requirements_n,Prioridade de investigação por pergunta,cell_question_priority_long.csv,Contagem ou código controlado associado a fully blocked requirements n no produto V2.6.,"Requisito não demonstrado nos poços atribuídos à célula, sem inferir ausência física da propriedade.",n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
independence_required_for_network_inference,Prioridade de investigação por pergunta,priority_question_rules.csv,Valor auditável de independence required for network inference no módulo experimental V2.6.,"Calculado diretamente no universo, pergunta, escala, origem e denominador declarados no arquivo de origem.",texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
integrated_priority_calculated,Prioridade de investigação por pergunta,cell_question_priority_long.csv | priority_scale_question_summary.csv | research_priority_1000km2.csv | research_priority_100km2.csv | research_priority_150km2.csv | research_priority_250km2.csv | research_priority_500km2.csv | support_priority_cross_scale.csv | support_priority_origin_scale.csv,Indicador lógico associado a integrated priority calculated nas regras da V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,booleano,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
interpolation_used,Prioridade de investigação por pergunta,cell_question_priority_long.csv,Indicador lógico associado a interpolation used nas regras da V2.6.,"Calculado diretamente no universo, pergunta, escala, origem e denominador declarados no arquivo de origem.",booleano,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
observable_rule,Prioridade de investigação por pergunta,confidence_class_registry.csv | priority_class_registry.csv,Valor auditável de observable rule no módulo experimental V2.6.,"Calculado diretamente no universo, pergunta, escala, origem e denominador declarados no arquivo de origem.",texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
origin_priority_exact_pct,Prioridade de investigação por pergunta,cell_question_priority_long.csv,"Percentual associado a origin priority exact pct, com denominador explícito no produto V2.6.",Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,%,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
origin_priority_exact_support_n,Prioridade de investigação por pergunta,cell_question_priority_long.csv,Contagem ou código controlado associado a origin priority exact support n no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
potential_calculated,Prioridade de investigação por pergunta,cell_question_priority_long.csv,Indicador lógico associado a potential calculated nas regras da V2.6.,"Calculado diretamente no universo, pergunta, escala, origem e denominador declarados no arquivo de origem.",booleano,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
prediction_used,Prioridade de investigação por pergunta,cell_question_priority_long.csv,Indicador lógico associado a prediction used nas regras da V2.6.,"Calculado diretamente no universo, pergunta, escala, origem e denominador declarados no arquivo de origem.",booleano,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_changes_across_origins_n,Prioridade de investigação por pergunta,support_priority_origin_scale.csv,Contagem ou código controlado associado a priority changes across origins n no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_changes_across_scales_n,Prioridade de investigação por pergunta,support_priority_cross_scale.csv,Contagem ou código controlado associado a priority changes across scales n no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_class,Prioridade de investigação por pergunta,cell_question_priority_long.csv | priority_class_registry.csv,Valor auditável de priority class no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_code,Prioridade de investigação por pergunta,cell_question_priority_long.csv | priority_class_registry.csv,Contagem ou código controlado associado a priority code no produto V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,n,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_code_1000km2,Prioridade de investigação por pergunta,support_priority_cross_scale.csv,Valor auditável de priority code 1000km2 no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_code_100km2,Prioridade de investigação por pergunta,support_priority_cross_scale.csv,Valor auditável de priority code 100km2 no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_code_150km2,Prioridade de investigação por pergunta,support_priority_cross_scale.csv,Valor auditável de priority code 150km2 no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_code_250km2,Prioridade de investigação por pergunta,support_priority_cross_scale.csv,Valor auditável de priority code 250km2 no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_code_500km2,Prioridade de investigação por pergunta,support_priority_cross_scale.csv,Valor auditável de priority code 500km2 no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
priority_code_O00,Prioridade de investigação por pergunta,support_priority_origin_scale.csv,Valor auditável de priority code O00 no módulo experimental V2.6.,Classificação categórica não compensatória derivada do déficit documental demonstrado para uma pergunta explícita.,texto,"Ler junto da pergunta, da escala, da classe de confiança, dos bloqueios e dos limites declarados.","Não é potencial aquífero, prioridade absoluta, prioridade integrada, representatividade territorial, peso ou score.","Sem base classificável, permanece UNKNOWN e não é convertido em zero."
