support_id,x_5880,y_5880,hydro_surface_unit,hydro_surface_domain,question_code,priority_code_100km2,priority_code_150km2,priority_code_250km2,priority_code_500km2,priority_code_1000km2,priority_exact_all_scales,priority_changes_across_scales_n,priority_min_code_across_scales,priority_max_code_across_scales,integrated_priority_calculated,method_version
SP5-0001-0083,4567500.0,7752500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0001-0084,4567500.0,7757500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0001-0085,4567500.0,7762500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0002-0082,4572500.0,7747500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0002-0084,4572500.0,7757500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0002-0085,4572500.0,7762500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0002-0086,4572500.0,7767500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0002-0094,4572500.0,7807500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0002-0095,4572500.0,7812500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0002-0096,4572500.0,7817500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0003-0081,4577500.0,7742500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
