scale_km2,evidence_code,variant_a,variant_b,presence_jaccard,presence_mismatch_pct,spearman_counts_support,presence_a_pct,presence_b_pct
100,E01,O00,OX25,0.5735790293277965,11.502380285634276,0.6871939222922759,21.177541304956595,21.26855222626715
100,E01,O00,OY25,0.634959349593496,9.430131615793895,0.7432331060022936,21.177541304956595,21.05852702324279
100,E01,O00,OXY25,0.5139904209730275,13.497619714365724,0.6297368014898341,21.177541304956595,20.869504340520862
100,E01,OX25,OY25,0.5298582995951417,13.007560907308877,0.6448103898834344,21.26855222626715,21.05852702324279
100,E01,OX25,OXY25,0.6409487459105779,9.220106412769532,0.7486756714944703,21.26855222626715,20.869504340520862
100,E01,OY25,OXY25,0.5818806127839409,11.08232987958555,0.6972228278734565,21.05852702324279,20.869504340520862
100,E07,O00,OX25,0.475974025974026,5.649677961355363,0.6214143356572481,7.987958555026603,7.9249509941192935
100,E07,O00,OY25,0.5375086028905712,4.704564547745729,0.6809504757301756,7.987958555026603,7.651918230187622
100,E07,O00,OXY25,0.4065244667503137,6.622794735368244,0.551796051889259,7.987958555026603,7.707924950994119
100,E07,OX25,OY25,0.3958594730238394,6.7418090170820495,0.5383579941634777,7.9249509941192935,7.651918230187622
100,E07,OX25,OXY25,0.5294520547945205,4.809577149257911,0.6733887098165893,7.9249509941192935,7.707924950994119
100,E07,OY25,OXY25,0.48243243243243245,5.362643517222067,0.629664975180922,7.651918230187622,7.707924950994119
100,E09,O00,OX25,0.37244897959183676,0.861103332399888,0.5391024156892993,0.9731167740128814,0.9101092131055727
100,E09,O00,OY25,0.42934782608695654,0.7350882105852702,0.5989228890814191,0.9731167740128814,0.8681041725007002
100,E09,O00,OXY25,0.2755102040816326,0.9941192943153179,0.43067892197913255,0.9731167740128814,0.7770932511901428
100,E09,OX25,OY25,0.3160621761658031,0.9241108933071969,0.4771690782551877,0.9101092131055727,0.8681041725007002
100,E09,OX25,OXY25,0.4968944099378882,0.5670680481657798,0.6640478617461931,0.9101092131055727,0.7770932511901428
