scale_km2,variant,evidence_code,n_cells,occupied_cells,occupied_pct,median_count_occupied,max_count
100,O00,E01,3763,774,20.568695190007972,2.0,147
100,O00,E07,3763,293,7.786340685623173,2.0,56
100,O00,E09,3763,37,0.9832580387988307,1.0,3
100,O00,E10,3763,532,14.137656125431835,2.0,83
100,OX25,E01,3764,775,20.58979808714134,2.0,193
100,OX25,E07,3764,293,7.784272051009563,1.0,77
100,OX25,E09,3764,34,0.9032943676939427,1.0,3
100,OX25,E10,3764,516,13.708820403825717,2.0,109
100,OY25,E01,3767,773,20.520307937350676,2.0,152
100,OY25,E07,3767,279,7.406424210246882,2.0,56
100,OY25,E09,3767,32,0.8494823466949828,1.0,4
100,OY25,E10,3767,531,14.09609769046987,2.0,87
100,OXY25,E01,3766,762,20.23366967604886,2.0,200
100,OXY25,E07,3766,283,7.514604354753053,1.0,73
100,OXY25,E09,3766,30,0.7966011683483802,1.0,4
100,OXY25,E10,3766,517,13.72809346787042,2.0,121
150,O00,E01,2525,657,26.01980198019802,2.0,181
150,O00,E07,2525,265,10.495049504950495,2.0,61
150,O00,E09,2525,34,1.3465346534653466,1.0,4
150,O00,E10,2525,460,18.217821782178216,2.0,124
150,OX25,E01,2529,653,25.820482404112298,2.0,185
150,OX25,E07,2529,262,10.359826018189008,2.0,75
150,OX25,E09,2529,34,1.3444049031237644,1.0,4
150,OX25,E10,2529,463,18.307631474891263,2.0,103
150,OY25,E01,2528,654,25.87025316455696,2.0,212
150,OY25,E07,2528,262,10.36392405063291,2.0,85
150,OY25,E09,2528,34,1.3449367088607596,1.0,4
150,OY25,E10,2528,457,18.077531645569618,2.0,117
150,OXY25,E01,2531,653,25.80007902015014,2.0,185
150,OXY25,E07,2531,262,10.35163966811537,2.0,68
150,OXY25,E09,2531,31,1.2248123271434215,1.0,4
150,OXY25,E10,2531,456,18.01659423152904,2.0,105
250,O00,E01,1537,523,34.02732595966168,3.0,316
250,O00,E07,1537,239,15.549772283669485,2.0,116
250,O00,E09,1537,31,2.0169160702667535,1.0,4
250,O00,E10,1537,374,24.333116460637605,2.0,189
250,OX25,E01,1540,529,34.35064935064935,2.0,285
250,OX25,E07,1540,233,15.12987012987013,2.0,101
250,OX25,E09,1540,31,2.012987012987013,1.0,4
250,OX25,E10,1540,388,25.19480519480519,2.0,178
250,OY25,E01,1538,523,34.00520156046814,2.0,226
250,OY25,E07,1538,227,14.759427828348503,2.0,84
250,OY25,E09,1538,30,1.950585175552666,1.0,5
250,OY25,E10,1538,379,24.642392717815344,2.0,133
250,OXY25,E01,1542,527,34.17639429312581,2.0,205
250,OXY25,E07,1542,232,15.045395590142672,2.0,75
250,OXY25,E09,1542,34,2.204928664072633,1.0,3
250,OXY25,E10,1542,382,24.77302204928664,2.0,130
500,O00,E01,791,354,44.75347661188369,3.0,391
500,O00,E07,791,187,23.640960809102403,3.0,143
500,O00,E09,791,30,3.792667509481669,1.0,4
500,O00,E10,791,277,35.01896333754741,3.0,233
500,OX25,E01,791,365,46.144121365360306,3.0,298
500,OX25,E07,791,189,23.893805309734514,2.0,103
500,OX25,E09,791,27,3.4134007585335016,1.0,5
500,OX25,E10,791,283,35.77749683944374,3.0,187
500,OY25,E01,791,366,46.27054361567636,3.5,264
500,OY25,E07,791,198,25.031605562579013,2.0,94
500,OY25,E09,791,32,4.0455120101137805,1.0,5
500,OY25,E10,791,282,35.65107458912769,3.0,159
500,OXY25,E01,791,379,47.91403286978508,3.0,262
500,OXY25,E07,791,192,24.27307206068268,2.0,93
500,OXY25,E09,791,28,3.5398230088495577,1.0,5
500,OXY25,E10,791,294,37.16814159292036,3.0,151
1000,O00,E01,413,240,58.111380145278446,6.0,474
1000,O00,E07,413,147,35.59322033898305,3.0,174
1000,O00,E09,413,28,6.779661016949152,1.0,8
1000,O00,E10,413,205,49.63680387409201,4.0,291
1000,OX25,E01,413,237,57.384987893462466,5.0,508
1000,OX25,E07,413,145,35.1089588377724,3.0,184
1000,OX25,E09,413,28,6.779661016949152,1.0,8
1000,OX25,E10,413,194,46.973365617433416,4.5,314
1000,OY25,E01,413,240,58.111380145278446,5.0,350
1000,OY25,E07,413,149,36.077481840193705,3.0,124
1000,OY25,E09,413,29,7.021791767554479,1.0,5
1000,OY25,E10,413,196,47.45762711864407,4.0,216
1000,OXY25,E01,410,235,57.3170731707317,5.0,418
1000,OXY25,E07,410,145,35.36585365853659,3.0,151
1000,OXY25,E09,410,28,6.829268292682928,1.0,4
1000,OXY25,E10,410,195,47.5609756097561,4.0,255
