cell_id,scale_km2,variant,area_effective_km2,area_effective_pct_nominal,n_E01,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,gap_E01_median_km,gap_E01_p90_km,gap_E07_median_km,gap_E07_p90_km,gap_E09_median_km,gap_E09_p90_km,gap_E10_median_km,gap_E10_p90_km,hydro_support_points_n,hydro_support_units_n,hydro_support_dominant_pct,hydro_support_entropy,hydro_support_classes_n
SCALE-500-O00-00001,500,O00,106.90825499089776,21.381650998179552,7,7,6,7,7,7,3,3,0,4,5,6,5.500453912749703,7.449483571135804,7.705830736569552,9.14289402896638,98.66917389823342,101.2232391247174,5.500453912749703,7.449483571135804,4,1,100.0,,1
SCALE-500-O00-00002,500,O00,247.19400445221177,49.43880089044235,1,1,1,1,1,1,1,1,0,0,1,1,8.34454947925978,10.60343719380289,8.34454947925978,10.60343719380289,81.01724070598058,87.3132560028468,14.988698238992043,17.28154984977956,9,1,100.0,,1
SCALE-500-O00-00003,500,O00,152.2739354688134,30.454787093762683,6,6,6,6,6,6,3,3,0,3,4,5,4.68394090386554,9.768087381125376,5.994935883322109,11.535502283718849,61.05005610048785,66.33538993035857,4.68394090386554,9.768087381125376,5,1,100.0,,1
SCALE-500-O00-00004,500,O00,0.1840479988647467,0.03680959977294934,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-500-O00-00005,500,O00,45.13364693291343,9.026729386582685,0,0,0,0,0,0,0,0,0,0,0,0,4.885797547178212,5.228684853536899,4.885797547178212,5.228684853536899,5.996569885968266,9.967614549845482,5.996569885968266,8.107467130883789,3,1,100.0,,1
SCALE-500-O00-00006,500,O00,340.02055298736434,68.00411059747287,14,13,11,13,13,11,3,3,0,10,5,12,4.397443980497942,6.590271985178747,8.092460292130546,12.386198620336499,16.719284693448024,24.197162123857417,4.648994411392769,6.590271985178747,14,2,78.57142857142857,0.74959525725948,1
SCALE-500-O00-00007,500,O00,26.24536574079363,5.249073148158726,0,0,0,0,0,0,0,0,0,0,0,0,10.71155061740192,10.995783093435817,16.233326893419182,17.70759056534463,29.905998343408886,30.342497128342888,10.71155061740192,10.995783093435817,2,1,100.0,,1
SCALE-500-O00-00008,500,O00,8.781298135606887,1.7562596271213773,0,0,0,0,0,0,0,0,0,0,0,0,13.404580581604382,13.404580581604382,16.490692861442334,16.490692861442334,107.11474959127094,107.11474959127094,13.404580581604382,13.404580581604382,1,1,100.0,,1
SCALE-500-O00-00009,500,O00,499.1715669157099,99.83431338314197,1,1,1,1,1,1,0,0,0,1,0,0,10.676405930553694,17.719935041582296,13.564723040934542,20.18447370031345,92.30956951311774,101.09370857752484,12.11773242910202,18.623906505007074,21,1,100.0,,1
SCALE-500-O00-00010,500,O00,499.9999999999812,99.99999999999623,0,0,0,0,0,0,0,0,0,0,0,0,14.641836476050795,18.577814373573016,15.039116212957017,18.68679918299518,70.04848838293273,76.31800288733851,14.641836476050795,18.781836599394637,18,1,100.0,,1
SCALE-500-O00-00011,500,O00,464.75412792500714,92.95082558500143,0,0,0,0,0,0,0,0,0,0,0,0,13.740756527364248,16.00127637281333,13.976319916350336,16.59902972392205,46.75699950894986,56.310049484548514,18.12409966141931,23.181218357803598,20,1,100.0,,1
SCALE-500-O00-00012,500,O00,375.7537733335535,75.15075466671071,7,7,7,7,7,7,4,3,0,2,5,2,5.803610052285607,10.322427714964878,6.000651282351698,10.362325609797184,24.969541440938265,32.14770784899752,6.5121388060939145,16.16660491864861,16,1,100.0,,1
SCALE-500-O00-00013,500,O00,499.9999999999812,99.99999999999623,34,34,34,34,34,34,14,14,1,11,21,10,4.900372607174801,8.997597197480458,6.143031342153527,12.293783904031399,13.355632434681823,21.02324205312872,5.40131960138167,8.997597197480458,20,1,100.0,,1
