evidence_code,scale_a_km2,scale_b_km2,grid_family,support_points_n,spearman_density_per100km2,presence_jaccard,presence_mismatch_pct,presence_a_pct,presence_b_pct
E01,100,150,SCALE_PRIMARY_O00_V1,14284,0.6456229765435648,0.5291889483065954,14.792775133015962,21.177541304956595,26.869224306916827
E01,100,250,SCALE_PRIMARY_O00_V1,14284,0.616298294862897,0.4793116074697913,19.910389246709606,21.177541304956595,35.38924670960515
E01,100,500,SCALE_PRIMARY_O00_V1,14284,0.5782998174008057,0.4112230215827338,28.647437692523102,21.177541304956595,47.48669840380846
E01,100,1000,SCALE_PRIMARY_O00_V1,14284,0.5150850145555215,0.33255007273134163,41.76001120134416,21.177541304956595,62.19546345561467
E01,150,250,SCALE_PRIMARY_O00_V1,14284,0.6532297500386374,0.5574430823117338,17.691122934752173,26.869224306916827,35.38924670960515
E01,150,500,SCALE_PRIMARY_O00_V1,14284,0.6218350125638513,0.4946524064171123,25.14001680201624,26.869224306916827,47.48669840380846
E01,150,1000,SCALE_PRIMARY_O00_V1,14284,0.5754063709969834,0.41544281263907434,36.782413889666756,26.869224306916827,62.19546345561467
E01,250,500,SCALE_PRIMARY_O00_V1,14284,0.6819051744760147,0.5992974871656309,20.76449173900868,35.38924670960515,47.48669840380846
E01,250,1000,SCALE_PRIMARY_O00_V1,14284,0.6486158489027003,0.5378420123565755,29.326519182301876,35.38924670960515,62.19546345561467
E01,500,1000,SCALE_PRIMARY_O00_V1,14284,0.70124558152313,0.6684771033013844,21.79361523382806,47.48669840380846,62.19546345561467
E02,100,150,SCALE_PRIMARY_O00_V1,14284,0.6320307403684627,0.5114713216957606,13.714645757490898,18.412209465135817,24.01988238588631
E02,100,250,SCALE_PRIMARY_O00_V1,14284,0.5939840271506687,0.4534552845528455,18.82525903108373,18.412209465135817,31.650798095771492
E02,100,500,SCALE_PRIMARY_O00_V1,14284,0.5529268737069135,0.38286249414702667,27.681321758611034,18.412209465135817,43.61523382805937
E02,100,1000,SCALE_PRIMARY_O00_V1,14284,0.481241667658952,0.2991185339828346,42.306076729207504,18.412209465135817,60.00420050406049
E02,150,250,SCALE_PRIMARY_O00_V1,14284,0.6334582990409616,0.5336547733847637,16.92803136376365,24.01988238588631,31.650798095771492
E02,150,500,SCALE_PRIMARY_O00_V1,14284,0.6016797810360608,0.46868349042262086,24.46793615233828,24.01988238588631,43.61523382805937
E02,150,1000,SCALE_PRIMARY_O00_V1,14284,0.5454816333313958,0.38335638543107425,37.45449453934472,24.01988238588631,60.00420050406049
E02,250,500,SCALE_PRIMARY_O00_V1,14284,0.6557786452017695,0.5660597232337946,20.85550266031924,31.650798095771492,43.61523382805937
E02,250,1000,SCALE_PRIMARY_O00_V1,14284,0.6142085756786881,0.49862637362637363,30.663679641556985,31.650798095771492,60.00420050406049
E02,500,1000,SCALE_PRIMARY_O00_V1,14284,0.6696937598706172,0.6316833866166905,23.38980677681322,43.61523382805937,60.00420050406049
E03,100,150,SCALE_PRIMARY_O00_V1,14284,0.6319565492695851,0.5064171122994653,12.923550826099131,17.047045645477457,22.3956874824979
E03,100,250,SCALE_PRIMARY_O00_V1,14284,0.5919240186811946,0.4478688524590164,17.684122094651357,17.047045645477457,29.326519182301876
E03,100,500,SCALE_PRIMARY_O00_V1,14284,0.5482291440921583,0.37180544105523494,26.673200784094092,17.047045645477457,41.19994399327919
E03,100,1000,SCALE_PRIMARY_O00_V1,14284,0.47509410319880807,0.28384642814691546,42.18006160739289,17.047045645477457,58.56902828339401
