pih_cell_id,scale_km2,area_effective_km2,n_E01,metric_crs,classification_status,nn_global_median_km,nn_global_p90_km,mean_center_offset_km,mean_center_offset_norm_eqradius,nn_within_median_km,nn_within_p90_km,convex_hull_area_ratio,support_units_2p5km_n,support_area_2p5km_pct,redundancy_proxy_2p5km,entropy_norm_2p5km,dominance_2p5km_pct,support_units_5km_n,support_area_5km_pct,redundancy_proxy_5km,entropy_norm_5km,dominance_5km_pct,support_units_10km_n,support_area_10km_pct,redundancy_proxy_10km,entropy_norm_10km,dominance_10km_pct,gap_support_points_n,gap_support_fallback,gap_E01_median_km,gap_E01_p90_km,gap_E01_max_km,gap_E02_median_km,gap_E02_p90_km,gap_E02_max_km,gap_E03_median_km,gap_E03_p90_km,gap_E03_max_km,gap_E04_median_km,gap_E04_p90_km,gap_E04_max_km,gap_E05_median_km,gap_E05_p90_km,gap_E05_max_km,gap_E06_median_km,gap_E06_p90_km,gap_E06_max_km,gap_E07_median_km,gap_E07_p90_km,gap_E07_max_km,gap_E08_median_km,gap_E08_p90_km,gap_E08_max_km,gap_E09_median_km,gap_E09_p90_km,gap_E09_max_km,gap_E10_median_km,gap_E10_p90_km,gap_E10_max_km,gap_E11_median_km,gap_E11_p90_km,gap_E11_max_km,gap_E12_median_km,gap_E12_p90_km,gap_E12_max_km,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,state_E01,pct_E02_of_E01,state_E02,pct_E03_of_E01,state_E03,pct_E04_of_E01,state_E04,pct_E05_of_E01,state_E05,pct_E06_of_E01,state_E06,pct_E07_of_E01,state_E07,pct_E08_of_E01,state_E08,pct_E09_of_E01,state_E09,pct_E10_of_E01,state_E10,pct_E11_of_E01,state_E11,pct_E12_of_E01,state_E12
PIH-500-0001,500,1.3767911461973263,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,1,NONE,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,4.189654751836326,8.434365639881156,8.434365639881156,8.434365639881156,8.434365639881156,8.434365639881156,8.434365639881156,101.32002217254279,101.32002217254279,101.32002217254279,4.189654751836326,4.189654751836326,4.189654751836326,8.434365639881156,8.434365639881156,8.434365639881156,4.189654751836326,4.189654751836326,4.189654751836326,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-500-0002,500,51.244544587050804,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,2,NONE,8.895505036144096,10.176667811968656,10.496958505924797,8.895505036144096,10.176667811968656,10.496958505924797,8.895505036144096,10.176667811968656,10.496958505924797,8.895505036144096,10.176667811968656,10.496958505924797,8.895505036144096,10.176667811968656,10.496958505924797,8.895505036144096,10.176667811968656,10.496958505924797,8.895505036144096,10.176667811968656,10.496958505924797,8.895505036144096,10.176667811968656,10.496958505924797,83.90453414852624,85.89291533411958,86.39001063051792,16.065059117296318,16.92614781993974,17.141419995600593,8.895505036144096,10.176667811968656,10.496958505924797,8.895505036144096,10.176667811968656,10.496958505924797,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-500-0003,500,6.906416574041039,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,0,REPRESENTATIVE_POINT,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,4.892950867873647,6.896674945404768,6.896674945404768,6.896674945404768,6.896674945404768,6.896674945404768,6.896674945404768,57.73482048401346,57.73482048401346,57.73482048401346,4.892950867873647,4.892950867873647,4.892950867873647,6.8064424348579,6.8064424348579,6.8064424348579,6.8064424348579,6.8064424348579,6.8064424348579,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-500-0004,500,134.92626993450455,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,5,NONE,5.985747754653842,7.128456419609781,7.597968796561372,5.985747754653842,7.128456419609781,7.597968796561372,5.985747754653842,7.128456419609781,7.597968796561372,5.985747754653842,7.128456419609781,7.597968796561372,5.985747754653842,7.128456419609781,7.597968796561372,5.985747754653842,7.128456419609781,7.597968796561372,10.257877670688476,11.578648089382146,12.439293505865166,10.257877670688476,11.578648089382146,12.439293505865166,19.87671722760731,22.65426548230863,23.683599859644225,5.985747754653842,7.128456419609781,7.597968796561372,8.292813285758827,10.813049718398064,12.078368077342454,5.985747754653842,7.128456419609781,7.597968796561372,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-500-0005,500,0.9150114212509249,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,0,REPRESENTATIVE_POINT,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.253533397857663,7.956011118807804,7.956011118807804,7.956011118807804,7.956011118807804,7.956011118807804,7.956011118807804,106.1540732211079,106.1540732211079,106.1540732211079,7.253533397857663,7.253533397857663,7.253533397857663,7.948371865601396,7.948371865601396,7.948371865601396,7.948371865601396,7.948371865601396,7.948371865601396,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-500-0006,500,474.0069873568118,9,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,0.1805471785644251,7.592621112795609,8.631019691414014,0.7026590949128616,0.1805471785644251,7.592621112795609,0.15782391874588267,5,5.97209152417988,0.4444444444444444,0.8096568334164151,55.55555555555556,4,17.296917771709378,0.5555555555555556,0.8288713632524444,55.55555555555556,3,43.26531910972353,0.6666666666666667,0.6223659728744494,77.77777777777779,15,NONE,4.7004174842436806,8.825080730149951,10.676405930553694,4.7004174842436806,8.825080730149951,10.676405930553694,4.7004174842436806,8.825080730149951,10.676405930553694,4.7004174842436806,8.825080730149951,10.676405930553694,4.7004174842436806,8.825080730149951,10.676405930553694,4.7004174842436806,8.825080730149951,10.676405930553694,6.977295833257948,12.145907755101039,13.737902803050975,6.977295833257948,12.145907755101039,13.737902803050975,95.9220339036797,100.96716296382272,101.09370857752484,7.723010927195543,13.64730065073736,15.756509703970952,6.977295833257948,12.145907755101039,13.737902803050975,6.911766490506237,12.145907755101039,13.737902803050975,9,8,9,9,9,4,4,0,5,6,7,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,88.8889,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,44.4444,EVIDENCE_PRESENT,44.4444,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,55.5556,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,77.7778,REVIEW_REQUIRED_PRESENT
PIH-500-0007,500,484.48562253118945,6,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,0.6028295282628631,1.3293101072592228,11.550751214172125,0.9301322858968119,0.6028295282628631,1.3293101072592228,0.006064728206722672,4,4.01631583041485,0.33333333333333337,0.8962406251802889,50.0,2,5.789072401402814,0.6666666666666667,0.6500224216483541,83.33333333333334,1,5.789072401402808,0.8333333333333334,,100.0,19,NONE,10.891837942592412,16.11592719036668,19.520205721606793,10.891837942592412,16.11592719036668,19.520205721606793,10.891837942592412,16.11592719036668,19.520205721606793,10.891837942592412,16.11592719036668,19.520205721606793,10.891837942592412,16.11592719036668,19.520205721606793,10.891837942592412,16.11592719036668,19.520205721606793,10.891837942592412,16.172092582580145,19.76087649341769,10.891837942592412,16.172092582580145,19.76087649341769,71.03134041211497,80.94180712893748,81.13725391100832,13.909916776855932,18.010417479224472,19.520205721606793,10.891837942592412,16.139231824082955,19.66788713007211,10.891837942592412,16.11592719036668,19.520205721606793,6,6,6,6,6,3,3,0,3,4,5,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,50.0,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,83.3333,REVIEW_REQUIRED_PRESENT
PIH-500-0008,500,301.0441539691237,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,13,NONE,13.871411933810593,16.41653475965163,18.231307342587453,13.871411933810593,16.41653475965163,18.231307342587453,13.871411933810593,16.41653475965163,18.231307342587453,13.871411933810593,16.41653475965163,18.231307342587453,13.871411933810593,16.41653475965163,18.231307342587453,13.871411933810593,16.41653475965163,18.231307342587453,13.871411933810593,17.045977700138412,18.991286226923457,19.95667767394726,24.641331527600283,25.600585217987003,47.210035103589014,56.03464515656754,56.23521178982818,18.6095122082847,24.15663559969909,25.056292348796447,19.87831762182162,24.569300198246104,25.600585217987003,13.871411933810593,17.83497655471035,18.991286226923457,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-500-0009,500,165.15496562998194,3,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,3.792182370407868,15.247052677960536,3.2946060969333493,0.45439402932489414,3.792182370407868,15.247052677960536,0.033004363391472176,3,7.219361321233972,0.0,0.9999999999999998,33.33333333333333,3,26.286897559888,0.0,0.9999999999999998,33.33333333333333,2,37.932332808301425,0.33333333333333337,0.9182958340544894,66.66666666666666,8,NONE,4.219831514567448,8.931017243845215,10.227120591529602,4.219831514567448,8.931017243845215,10.227120591529602,4.219831514567448,8.931017243845215,10.227120591529602,4.219831514567448,8.931017243845215,10.227120591529602,4.219831514567448,8.931017243845215,10.227120591529602,4.219831514567448,8.931017243845215,10.227120591529602,5.138216927315101,8.931017243845215,10.227120591529602,6.000651282351698,13.871549569950199,16.60971029571294,20.543061219664978,29.147671068100358,31.48879352840031,9.355121517796634,15.68563520434597,20.310144992418056,5.748231902214809,13.871549569950199,16.60971029571294,7.401286607259746,10.346029372019743,10.623483193163407,3,3,3,3,3,3,2,0,0,2,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,66.6667,EVIDENCE_PRESENT,33.3333,REVIEW_REQUIRED_PRESENT
PIH-500-0010,500,426.026657563223,29,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,0.44033131064814734,1.29016586471094,4.944319319702306,0.4245834484169331,0.44033131064814734,1.29016586471094,0.21021167602334082,11,15.703571397435063,0.6206896551724138,0.8729606239965684,24.137931034482758,7,35.88279134027485,0.7586206896551724,0.8363187269300948,31.03448275862069,5,74.06314235857995,0.8275862068965517,0.8697147542009336,37.93103448275862,19,NONE,3.20826478891877,5.988999346129785,8.628873799196178,3.20826478891877,5.988999346129785,8.628873799196178,3.20826478891877,5.988999346129785,8.628873799196178,3.20826478891877,5.988999346129785,8.628873799196178,3.20826478891877,5.988999346129785,8.628873799196178,3.20826478891877,5.988999346129785,8.628873799196178,5.25752986464408,8.409230971832582,10.8839534626205,5.25752986464408,8.409230971832582,10.8839534626205,9.90738103232241,14.325090304085885,15.297230107556606,4.130075623818728,6.319701673712492,8.628873799196178,5.003267906640046,6.951325750282717,10.8839534626205,5.003267906640046,8.855017661152473,9.987228545153377,28,26,28,28,26,10,10,1,15,14,17,WELLS_PRESENT,96.5517,EVIDENCE_PRESENT,89.6552,EVIDENCE_PRESENT,96.5517,EVIDENCE_PRESENT,96.5517,EVIDENCE_PRESENT,89.6552,EVIDENCE_PRESENT,34.4828,EVIDENCE_PRESENT,34.4828,EVIDENCE_PRESENT,3.4483,EVIDENCE_PRESENT,51.7241,EVIDENCE_PRESENT,48.2759,EVIDENCE_PRESENT,58.6207,REVIEW_REQUIRED_PRESENT
