scale_km2,variant,area_nominal_km2,orientation,side_m,hex_width_m,row_spacing_m,x_shift_fraction_width,y_shift_fraction_row_spacing,x_shift_m,y_shift_m,crs,clipping,purpose
250,O00,250,regular hexagonal pointy-top,9809.436521275706,16990.44244847122,14714.15478191356,0.0,0.0,0.0,0.0,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
250,OX25,250,regular hexagonal pointy-top,9809.436521275706,16990.44244847122,14714.15478191356,0.25,0.0,4247.610612117805,0.0,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
250,OY25,250,regular hexagonal pointy-top,9809.436521275706,16990.44244847122,14714.15478191356,0.0,0.25,0.0,3678.53869547839,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
250,OXY25,250,regular hexagonal pointy-top,9809.436521275706,16990.44244847122,14714.15478191356,0.25,0.25,4247.610612117805,3678.53869547839,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
500,O00,500,regular hexagonal pointy-top,13872.638167626057,24028.11414134754,20808.957251439086,0.0,0.0,0.0,0.0,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
500,OX25,500,regular hexagonal pointy-top,13872.638167626057,24028.11414134754,20808.957251439086,0.25,0.0,6007.028535336885,0.0,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
500,OY25,500,regular hexagonal pointy-top,13872.638167626057,24028.11414134754,20808.957251439086,0.0,0.25,0.0,5202.239312859771,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
500,OXY25,500,regular hexagonal pointy-top,13872.638167626057,24028.11414134754,20808.957251439086,0.25,0.25,6007.028535336885,5202.239312859771,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
1000,O00,1000,regular hexagonal pointy-top,19618.87304255141,33980.88489694244,29428.30956382712,0.0,0.0,0.0,0.0,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
1000,OX25,1000,regular hexagonal pointy-top,19618.87304255141,33980.88489694244,29428.30956382712,0.25,0.0,8495.22122423561,0.0,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
1000,OY25,1000,regular hexagonal pointy-top,19618.87304255141,33980.88489694244,29428.30956382712,0.0,0.25,0.0,7357.07739095678,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
1000,OXY25,1000,regular hexagonal pointy-top,19618.87304255141,33980.88489694244,29428.30956382712,0.25,0.25,8495.22122423561,7357.07739095678,EPSG:5880,interseção com limite MS IBGE 2025,ensaio MAUP de origem; não é malha oficial PIH
