scale_km2,variant,evidence_code,n_cells,occupied_cells,occupied_pct,median_count_occupied,max_count,n_points_assigned
250,O00,E01,1537,523,34.02732595966168,3.0,316,3877
250,O00,E07,1537,239,15.549772283669485,2.0,116,1106
250,O00,E09,1537,31,2.0169160702667535,1.0,4,51
250,O00,E10,1537,374,24.333116460637605,2.0,189,2053
250,OX25,E01,1540,529,34.35064935064935,2.0,285,3877
250,OX25,E07,1540,233,15.12987012987013,2.0,101,1106
250,OX25,E09,1540,31,2.012987012987013,1.0,4,51
250,OX25,E10,1540,388,25.194805194805195,2.0,178,2053
250,OY25,E01,1538,523,34.00520156046814,2.0,226,3877
250,OY25,E07,1538,227,14.759427828348505,2.0,84,1106
250,OY25,E09,1538,30,1.9505851755526658,1.0,5,51
250,OY25,E10,1538,379,24.642392717815344,2.0,133,2053
250,OXY25,E01,1542,527,34.17639429312581,2.0,205,3877
250,OXY25,E07,1542,232,15.045395590142672,2.0,75,1106
250,OXY25,E09,1542,34,2.204928664072633,1.0,3,51
250,OXY25,E10,1542,382,24.77302204928664,2.0,130,2053
500,O00,E01,791,354,44.75347661188369,3.0,391,3877
500,O00,E07,791,187,23.640960809102403,3.0,143,1106
500,O00,E09,791,30,3.7926675094816686,1.0,4,51
500,O00,E10,791,277,35.01896333754741,3.0,233,2053
500,OX25,E01,791,365,46.144121365360306,3.0,298,3877
500,OX25,E07,791,189,23.893805309734514,2.0,103,1106
500,OX25,E09,791,27,3.413400758533502,1.0,5,51
500,OX25,E10,791,283,35.77749683944374,3.0,187,2053
500,OY25,E01,791,366,46.27054361567636,3.5,264,3877
500,OY25,E07,791,198,25.031605562579013,2.0,94,1106
500,OY25,E09,791,32,4.04551201011378,1.0,5,51
500,OY25,E10,791,282,35.65107458912769,3.0,159,2053
500,OXY25,E01,791,379,47.91403286978508,3.0,262,3877
500,OXY25,E07,791,192,24.27307206068268,2.0,93,1106
500,OXY25,E09,791,28,3.5398230088495577,1.0,5,51
500,OXY25,E10,791,294,37.16814159292036,3.0,151,2053
1000,O00,E01,413,240,58.11138014527845,6.0,474,3877
1000,O00,E07,413,147,35.59322033898305,3.0,174,1106
1000,O00,E09,413,28,6.779661016949152,1.0,8,51
1000,O00,E10,413,205,49.63680387409201,4.0,291,2053
1000,OX25,E01,413,237,57.38498789346247,5.0,508,3877
1000,OX25,E07,413,145,35.1089588377724,3.0,184,1106
1000,OX25,E09,413,28,6.779661016949152,1.0,8,51
1000,OX25,E10,413,194,46.973365617433416,4.5,314,2053
1000,OY25,E01,413,240,58.11138014527845,5.0,350,3877
1000,OY25,E07,413,149,36.077481840193705,3.0,124,1106
1000,OY25,E09,413,29,7.021791767554479,1.0,5,51
1000,OY25,E10,413,196,47.45762711864407,4.0,216,2053
1000,OXY25,E01,410,235,57.31707317073171,5.0,418,3877
1000,OXY25,E07,410,145,35.36585365853659,3.0,151,1106
1000,OXY25,E09,410,28,6.829268292682927,1.0,4,51
1000,OXY25,E10,410,195,47.5609756097561,4.0,255,2053
