pih_cell_id,scale_km2,area_effective_km2,n_E01,metric_crs,classification_status,nn_global_median_km,nn_global_p90_km,mean_center_offset_km,mean_center_offset_norm_eqradius,nn_within_median_km,nn_within_p90_km,convex_hull_area_ratio,support_units_2p5km_n,support_area_2p5km_pct,redundancy_proxy_2p5km,entropy_norm_2p5km,dominance_2p5km_pct,support_units_5km_n,support_area_5km_pct,redundancy_proxy_5km,entropy_norm_5km,dominance_5km_pct,support_units_10km_n,support_area_10km_pct,redundancy_proxy_10km,entropy_norm_10km,dominance_10km_pct,gap_support_points_n,gap_support_fallback,gap_E01_median_km,gap_E01_p90_km,gap_E01_max_km,gap_E02_median_km,gap_E02_p90_km,gap_E02_max_km,gap_E03_median_km,gap_E03_p90_km,gap_E03_max_km,gap_E04_median_km,gap_E04_p90_km,gap_E04_max_km,gap_E05_median_km,gap_E05_p90_km,gap_E05_max_km,gap_E06_median_km,gap_E06_p90_km,gap_E06_max_km,gap_E07_median_km,gap_E07_p90_km,gap_E07_max_km,gap_E08_median_km,gap_E08_p90_km,gap_E08_max_km,gap_E09_median_km,gap_E09_p90_km,gap_E09_max_km,gap_E10_median_km,gap_E10_p90_km,gap_E10_max_km,gap_E11_median_km,gap_E11_p90_km,gap_E11_max_km,gap_E12_median_km,gap_E12_p90_km,gap_E12_max_km,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,state_E01,pct_E02_of_E01,state_E02,pct_E03_of_E01,state_E03,pct_E04_of_E01,state_E04,pct_E05_of_E01,state_E05,pct_E06_of_E01,state_E06,pct_E07_of_E01,state_E07,pct_E08_of_E01,state_E08,pct_E09_of_E01,state_E09,pct_E10_of_E01,state_E10,pct_E11_of_E01,state_E11,pct_E12_of_E01,state_E12
PIH-250-0001,250,5.649946956949988,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,0,REPRESENTATIVE_POINT,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.347089620065928,9.38737660248512,9.38737660248512,9.38737660248512,9.38737660248512,9.38737660248512,9.38737660248512,95.1742825143032,95.1742825143032,95.1742825143032,9.347089620065928,9.347089620065928,9.347089620065928,9.38737660248512,9.38737660248512,9.38737660248512,9.347089620065928,9.347089620065928,9.347089620065928,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-250-0002,250,11.735909905059325,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,0,REPRESENTATIVE_POINT,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,77.40638609023489,77.40638609023489,77.40638609023489,10.911226966054167,10.911226966054167,10.911226966054167,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,10.567930260384905,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-250-0003,250,65.32213194739319,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,2,NONE,7.011078325371882,7.480590702323474,7.597968796561372,7.011078325371882,7.480590702323474,7.597968796561372,7.011078325371882,7.480590702323474,7.597968796561372,7.011078325371882,7.480590702323474,7.597968796561372,7.011078325371882,7.480590702323474,7.597968796561372,7.011078325371882,7.480590702323474,7.597968796561372,10.272778817673046,10.284699735260702,10.287679964657617,10.272778817673046,10.284699735260702,10.287679964657617,18.293819001789196,19.560137582443687,19.87671722760731,7.011078325371882,7.480590702323474,7.597968796561372,7.373422639630551,8.108935156533171,8.292813285758827,7.011078325371882,7.480590702323474,7.597968796561372,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-250-0004,250,33.79258891374016,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,1,NONE,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,5.985747754653842,12.439293505865166,12.439293505865166,12.439293505865166,12.439293505865166,12.439293505865166,12.439293505865166,23.683599859644225,23.683599859644225,23.683599859644225,5.985747754653842,5.985747754653842,5.985747754653842,12.078368077342454,12.078368077342454,12.078368077342454,5.985747754653842,5.985747754653842,5.985747754653842,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-250-0005,250,137.94173182620978,7,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,0.1805471785644251,1.654748109165952,4.306797191287677,0.649952353102924,0.1805471785644251,1.654748109165952,0.01322000838008342,3,11.46258194245456,0.5714285714285714,0.72483409150576,71.42857142857143,2,23.21755121867034,0.7142857142857143,0.8631205685666311,71.42857142857143,1,45.39673358864594,0.8571428571428572,,100.0,6,NONE,4.468804226762895,7.267132000429312,7.723010927195543,4.468804226762895,7.267132000429312,7.723010927195543,4.468804226762895,7.267132000429312,7.723010927195543,4.468804226762895,7.267132000429312,7.723010927195543,4.468804226762895,7.267132000429312,7.723010927195543,4.468804226762895,7.267132000429312,7.723010927195543,7.300734788721031,8.9404573463706,9.446549052860046,7.300734788721031,8.9404573463706,9.446549052860046,98.63136258660585,101.15871709283378,101.32002217254279,4.468804226762895,7.267132000429312,7.723010927195543,7.300734788721031,8.9404573463706,9.446549052860046,5.500453912749703,7.673592335689829,7.723010927195543,7,6,7,7,7,3,3,0,4,5,6,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,85.7143,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,42.8571,EVIDENCE_PRESENT,42.8571,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,57.1429,EVIDENCE_PRESENT,71.4286,EVIDENCE_PRESENT,85.7143,REVIEW_REQUIRED_PRESENT
PIH-250-0006,250,237.00213374705075,1,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,12.225965166507159,12.225965166507159,4.1375011596200855,0.4763618101035776,,,,1,2.63710705941177,0.0,,100.0,1,10.54842823764708,0.0,,100.0,1,20.405190068497024,0.0,,100.0,8,NONE,5.997234525303538,9.37385006393611,10.496958505924797,5.997234525303538,9.37385006393611,10.496958505924797,5.997234525303538,9.37385006393611,10.496958505924797,5.997234525303538,9.37385006393611,10.496958505924797,5.997234525303538,9.37385006393611,10.496958505924797,5.997234525303538,9.37385006393611,10.496958505924797,5.997234525303538,9.37385006393611,10.496958505924797,5.997234525303538,9.37385006393611,10.496958505924797,85.96701387940689,90.94748496426106,91.00623749216227,15.344512418832409,17.35161477686904,17.84206926649542,5.997234525303538,9.37385006393611,10.496958505924797,5.997234525303538,9.37385006393611,10.496958505924797,1,1,1,1,1,1,1,0,0,1,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,EVIDENCE_PRESENT,100.0,REVIEW_REQUIRED_PRESENT
PIH-250-0007,250,222.2704049412099,6,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,0.6028295282628631,1.3293101072592228,7.355267094138282,0.8744451312254886,0.6028295282628631,1.3293101072592228,0.013219365040944904,4,8.752113414682704,0.33333333333333337,0.8962406251802889,50.0,2,12.35065030708228,0.6666666666666667,0.6500224216483541,83.33333333333334,1,12.350650307082251,0.8333333333333334,,100.0,10,NONE,9.650083705929735,11.290454227434799,13.640374766510668,9.650083705929735,11.290454227434799,13.640374766510668,9.650083705929735,11.290454227434799,13.640374766510668,9.650083705929735,11.290454227434799,13.640374766510668,9.650083705929735,11.290454227434799,13.640374766510668,9.650083705929735,11.290454227434799,13.640374766510668,9.685084638991636,11.290454227434799,13.640374766510668,9.685084638991636,11.290454227434799,13.640374766510668,68.72804826485492,76.06663381869141,76.4518931477302,9.650083705929735,11.317408428469326,13.909916776855932,9.685084638991636,11.290454227434799,13.640374766510668,9.685084638991636,11.290454227434799,13.640374766510668,6,6,6,6,6,3,3,0,3,4,5,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,50.0,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,83.3333,REVIEW_REQUIRED_PRESENT
PIH-250-0008,250,131.38357668509576,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,4,NONE,12.572327466867156,14.346362869583173,14.549913270628563,12.572327466867156,14.346362869583173,14.549913270628563,12.572327466867156,14.346362869583173,14.549913270628563,12.572327466867156,14.346362869583173,14.549913270628563,12.572327466867156,14.346362869583173,14.549913270628563,12.572327466867156,14.346362869583173,14.549913270628563,13.399143906838734,15.672921300887172,16.44499674391999,14.685936311893434,19.343500436874095,20.585716305282993,53.4259795392319,56.021010007553656,56.06191545459531,12.911578135276141,17.39163252698786,18.6095122082847,14.605076497953599,19.255541362490362,20.49675086154179,13.361089532507048,15.612993685435766,16.359385864703697,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
PIH-250-0009,250,20.59714190410746,1,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,18.110770254848703,18.110770254848703,3.7221456907034596,1.4536666397500677,,,,1,8.731661381394344,0.0,,100.0,1,10.849954956119353,0.0,,100.0,1,24.851302363375666,0.0,,100.0,1,NONE,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,25.0420748680226,25.0420748680226,25.0420748680226,40.92866658515702,40.92866658515702,40.92866658515702,23.04187303753281,23.04187303753281,23.04187303753281,24.952035706329877,24.952035706329877,24.952035706329877,8.94584236531198,8.94584236531198,8.94584236531198,1,1,1,1,1,1,0,0,0,0,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,REVIEW_REQUIRED_PRESENT
PIH-250-0010,250,12.236852779523144,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,1,NONE,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,4.885797547178212,10.960375715814786,10.960375715814786,10.960375715814786,8.635191442112669,8.635191442112669,8.635191442112669,4.885797547178212,4.885797547178212,4.885797547178212,8.635191442112669,8.635191442112669,8.635191442112669,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
