question_code,requirement_code,requirement_name,dimension,wells_n,blocked_wells_n,blocked_wells_pct,fully_blocked_all_wells,observable_support_scale_instances_n,any_blocked_support_scale_instances_n,any_blocked_support_scale_instances_pct,fully_blocked_support_scale_instances_n,fully_blocked_support_scale_instances_pct,observable_support_points_n,fully_blocked_all_observable_support_points_n,fully_blocked_all_observable_support_points_pct,fully_blocked_all_observable_support,physical_absence_inferred,method_version
Q01,Q01_R01,COORDENADA_VALIDA,ESPACIAL,3877,0,0.0,False,27585,0,0.0,0,0.0,9470,0,0.0,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,Q01_R02,NIVEL_ESTATICO,HIDRAULICA,3877,664,17.126644,False,27585,14304,51.854269,2872,10.411456,9470,429,4.530095,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,Q01_R03,DATA_NIVEL,TEMPORAL,3877,3857,99.484137,False,27585,27551,99.876745,26157,94.823274,9470,8569,90.485744,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,Q01_R04,PROFUNDIDADE_POSITIVA,VERTICAL,3877,463,11.942223,False,27585,11176,40.514773,2202,7.982599,9470,325,3.43189,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,Q01_R05,INTERVALO_CAPTADO,VERTICAL,3877,3877,100.0,True,27585,27585,100.0,27585,100.0,9470,9470,100.0,True,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,Q01_R06,HIDROESTRATIGRAFIA_CONSISTENTE,HIDROESTRATIGRAFICA,3877,2244,57.879804,False,27585,24837,90.038064,12677,45.956136,9470,3553,37.518479,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,Q01_R07,SEM_INVALIDO_OBJETIVO,QUALIDADE_DOCUMENTAL,3877,3,0.077379,False,27585,143,0.518398,0,0.0,9470,0,0.0,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,Q02_R01,COORDENADA_VALIDA,ESPACIAL,3877,0,0.0,False,27585,0,0.0,0,0.0,9470,0,0.0,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,Q02_R02,INTERVALO_CAPTADO,VERTICAL,3877,3877,100.0,True,27585,27585,100.0,27585,100.0,9470,9470,100.0,True,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,Q02_R03,HIDROESTRATIGRAFIA_CONSISTENTE,HIDROESTRATIGRAFICA,3877,2244,57.879804,False,27585,24837,90.038064,12677,45.956136,9470,3553,37.518479,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,Q02_R04,ENSAIO_METADADOS_MINIMOS,HIDRAULICA,3877,2781,71.73072,False,27585,25561,92.662679,13618,49.36741,9470,3257,34.392819,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,Q02_R05,DATA_ENSAIO,TEMPORAL,3877,2296,59.221047,False,27585,23973,86.905927,10940,39.659235,9470,2374,25.068638,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,Q02_R06,METODO_INTERPRETATIVO,HIDRAULICA,3877,3875,99.948414,False,27585,27585,100.0,27426,99.4236,9470,9353,98.76452,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,Q02_R07,PARAMETRO_HIDRAULICO,HIDRAULICA,3877,3826,98.68455,False,27585,27585,100.0,25433,92.198659,9470,8227,86.87434,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,Q02_R08,UNIDADE_HIDRAULICA_VERIFICADA,HIDRAULICA,3877,3877,100.0,True,27585,27585,100.0,27585,100.0,9470,9470,100.0,True,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,Q02_R09,SEM_INVALIDO_OBJETIVO,QUALIDADE_DOCUMENTAL,3877,3,0.077379,False,27585,143,0.518398,0,0.0,9470,0,0.0,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,Q03_R01,COORDENADA_VALIDA,ESPACIAL,3877,0,0.0,False,27585,0,0.0,0,0.0,9470,0,0.0,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,Q03_R02,INTERVALO_CAPTADO,VERTICAL,3877,3877,100.0,True,27585,27585,100.0,27585,100.0,9470,9470,100.0,True,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,Q03_R03,HIDROESTRATIGRAFIA_CONSISTENTE,HIDROESTRATIGRAFICA,3877,2244,57.879804,False,27585,24837,90.038064,12677,45.956136,9470,3553,37.518479,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,Q03_R04,EVIDENCIA_HIDROQUIMICA,HIDROQUIMICA,3877,1824,47.046686,False,27585,20653,74.870401,6409,23.233641,9470,1324,13.980993,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,Q03_R05,DATA_HIDROQUIMICA,TEMPORAL,3877,3347,86.329636,False,27585,26467,95.947073,16617,60.23926,9470,4384,46.293559,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,Q03_R06,PARAMETRO_IDENTIFICADO,HIDROQUIMICA,3877,2110,54.423523,False,27585,22066,79.99275,7767,28.156607,9470,1755,18.532207,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,Q03_R07,UNIDADE_QUIMICA_VERIFICADA,HIDROQUIMICA,3877,3877,100.0,True,27585,27585,100.0,27585,100.0,9470,9470,100.0,True,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,Q03_R08,QA_ANALITICO_COMPLETO,HIDROQUIMICA,3877,3877,100.0,True,27585,27585,100.0,27585,100.0,9470,9470,100.0,True,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,Q03_R09,SEM_INVALIDO_OBJETIVO,QUALIDADE_DOCUMENTAL,3877,3,0.077379,False,27585,143,0.518398,0,0.0,9470,0,0.0,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,Q04_R01,COORDENADA_VALIDA,ESPACIAL,3877,0,0.0,False,27585,0,0.0,0,0.0,9470,0,0.0,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,Q04_R02,PROFUNDIDADE_POSITIVA,VERTICAL,3877,463,11.942223,False,27585,11176,40.514773,2202,7.982599,9470,325,3.43189,False,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
