question_code,scale_a_km2,scale_b_km2,support_points_n,exact_state_agreement_n,exact_state_agreement_pct,direct_presence_jaccard,direct_presence_mismatch_n,direct_presence_mismatch_pct,spearman_state_code,method_version
Q01,100,150,14284,11955,83.695043,0.50515996,1918,13.427611,0.6109333148599327,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,100,250,14284,11149,78.052366,0.44997898,2617,18.321199,0.564402855137404,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,100,500,14284,9858,69.014282,0.37505988,3914,27.401288,0.4929104123282093,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,100,1000,14284,7878,55.152618,0.29179403,6024,42.173061,0.3947369732980818,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,150,250,14284,11430,80.019602,0.52328822,2395,16.767012,0.6101396690358801,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,150,500,14284,10315,72.213666,0.45683621,3492,24.446934,0.5410748600219536,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,150,1000,14284,8552,59.871185,0.37237027,5370,37.594511,0.4476347923630208,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,250,500,14284,10849,75.952114,0.55061692,3023,21.16354,0.598147942898174,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,250,1000,14284,9512,66.591991,0.48469743,4445,31.118734,0.5293784044806796,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q01,500,1000,14284,10626,74.390927,0.62162162,3388,23.718846,0.5971702430385456,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,100,150,14284,11926,83.492019,0.50302234,1891,13.238589,0.6124787136009072,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,100,250,14284,11128,77.905349,0.44694052,2585,18.097172,0.5646487674088075,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,100,500,14284,9838,68.874265,0.37563286,3823,26.764212,0.49621542730701024,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,100,1000,14284,7839,54.879586,0.290161,5952,41.669,0.39877407122062924,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,150,250,14284,11417,79.928591,0.52201258,2356,16.493979,0.6110391699995341,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,150,500,14284,10297,72.087651,0.45775656,3408,23.858863,0.5445464804083128,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,150,1000,14284,8495,59.472137,0.36996207,5315,37.209465,0.45249652381042077,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,250,500,14284,10817,75.728087,0.55177132,2948,20.638477,0.6031202704240236,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,250,1000,14284,9455,66.192943,0.48264502,4397,30.782694,0.5343094192942227,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q02,500,1000,14284,10544,73.816858,0.61909628,3355,23.487819,0.6043194675983168,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,100,150,14284,11846,82.931952,0.49018386,1636,11.453374,0.6165846623050122,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,100,250,14284,11000,77.009241,0.43542248,2225,15.576869,0.5740452284429644,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,100,500,14284,9605,67.243069,0.34688645,3566,24.964996,0.5058804094979528,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,100,1000,14284,7559,52.91935,0.26570939,5574,39.022683,0.4135302053604918,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,150,250,14284,11253,78.780454,0.49952313,2099,14.694763,0.6174248471167928,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,150,500,14284,10017,70.127415,0.42709078,3206,22.444693,0.5562778224551981,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,150,1000,14284,8143,57.007841,0.33873709,5058,35.410249,0.46760617373417473,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,250,500,14284,10568,73.984878,0.52303197,2775,19.427331,0.613458838182769,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,250,1000,14284,9050,63.357603,0.4455716,4263,29.844581,0.5504834734406276,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q03,500,1000,14284,10242,71.702604,0.5868219,3336,23.354803,0.605378326313542,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,100,150,14284,12002,84.024083,0.51147132,1959,13.714646,0.6098499625476927,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,100,250,14284,11201,78.41641,0.45345528,2689,18.825259,0.561210914777854,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,100,500,14284,9929,69.511341,0.38286249,3954,27.681322,0.49197222076327096,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,100,1000,14284,7959,55.719686,0.29911853,6043,42.306077,0.39328822227150767,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,150,250,14284,11502,80.523663,0.53365477,2418,16.928031,0.609532340142333,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,150,500,14284,10404,72.83674,0.46868349,3495,24.467936,0.5412542272183012,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,150,1000,14284,8669,60.690283,0.38335639,5350,37.454495,0.44615959181023934,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,250,500,14284,10964,76.757211,0.56605972,2979,20.855503,0.6000469761743519,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,250,1000,14284,9649,67.551106,0.49862637,4380,30.66368,0.5300175420889148,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q04,500,1000,14284,10737,75.16802,0.63168339,3341,23.389807,0.597122889350665,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q05,100,150,14284,11727,82.098852,0.43217535,1373,9.612153,0.6144803617575649,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q05,100,250,14284,10860,76.029123,0.38220065,1909,13.364604,0.5733760858324438,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q05,100,500,14284,9365,65.562868,0.29952349,3087,21.611593,0.5146659183348625,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q05,100,1000,14284,7231,50.623075,0.21607033,5083,35.58527,0.4164515438620359,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q05,150,250,14284,11061,77.436292,0.44187444,1858,13.007561,0.6185270890994944,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q05,150,500,14284,9747,68.237188,0.37042716,2874,20.120414,0.5592788501784405,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q05,150,1000,14284,7768,54.382526,0.28418803,4690,32.83394,0.4714925976174932,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q05,250,500,14284,10196,71.380566,0.45110929,2672,18.706245,0.6111966317296503,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q05,250,1000,14284,8668,60.683282,0.39431509,4006,28.045365,0.5591504848017302,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
Q05,500,1000,14284,9539,66.781014,0.5094713,3470,24.292915,0.6111878187792099,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
