scale_km2,origin,question_code,support_points_n,state_no_wells_n,state_wells_without_direct_n,state_direct_present_n,state_no_wells_pct,state_wells_without_direct_pct,state_direct_present_pct,control_total_ok,method_version
100,O00,Q01,14284,11259,485,2540,78.822459,3.395407,17.782134,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,O00,Q02,14284,11259,535,2490,78.822459,3.745449,17.432092,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,O00,Q03,14284,11259,950,2075,78.822459,6.650798,14.526743,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,O00,Q04,14284,11259,395,2630,78.822459,2.765332,18.412209,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,O00,Q05,14284,11259,1558,1467,78.822459,10.907309,10.270232,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OX25,Q01,14284,11246,517,2521,78.731448,3.619434,17.649118,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OX25,Q02,14284,11246,571,2467,78.731448,3.99748,17.271073,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OX25,Q03,14284,11246,1018,2020,78.731448,7.126855,14.141697,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OX25,Q04,14284,11246,439,2599,78.731448,3.073369,18.195183,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OX25,Q05,14284,11246,1555,1483,78.731448,10.886306,10.382246,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OY25,Q01,14284,11276,484,2524,78.941473,3.388407,17.67012,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OY25,Q02,14284,11276,543,2465,78.941473,3.801456,17.257071,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OY25,Q03,14284,11276,934,2074,78.941473,6.538785,14.519742,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OY25,Q04,14284,11276,390,2618,78.941473,2.730328,18.328199,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OY25,Q05,14284,11276,1549,1459,78.941473,10.844301,10.214226,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OXY25,Q01,14284,11303,472,2509,79.130496,3.304397,17.565108,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OXY25,Q02,14284,11303,521,2460,79.130496,3.647438,17.222067,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OXY25,Q03,14284,11303,968,2013,79.130496,6.776813,14.092691,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OXY25,Q04,14284,11303,390,2591,79.130496,2.730328,18.139177,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,OXY25,Q05,14284,11303,1536,1445,79.130496,10.75329,10.116214,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,O00,Q01,14284,10446,544,3294,73.130776,3.808457,23.060767,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
