unit,area_km2,n_E01,E01_density_per_1000km2,n_E02,pct_E02_of_E01,n_E03,pct_E03_of_E01,n_E04,pct_E04_of_E01,n_E05,pct_E05_of_E01,n_E06,pct_E06_of_E01,n_E07,pct_E07_of_E01,n_E08,pct_E08_of_E01,n_E09,pct_E09_of_E01,n_E10,pct_E10_of_E01,n_E11,pct_E11_of_E01,n_E12,pct_E12_of_E01
Depósitos aluvionares,25494.831247864422,23,0.9021436453683763,18,78.26086956521739,14,60.869565217391305,18,78.26086956521739,18,78.26086956521739,18,78.26086956521739,7,30.434782608695652,7,30.434782608695652,2,8.695652173913043,11,47.82608695652174,12,52.17391304347826,23,100.0
Embasamento Indiferenciado,15977.562385507877,42,2.6286863406707925,40,95.23809523809524,28,66.66666666666667,37,88.0952380952381,37,88.0952380952381,35,83.33333333333333,16,38.095238095238095,16,38.095238095238095,0,0.0,20,47.61904761904762,25,59.523809523809526,27,64.28571428571429
Formação Aquidauana,14941.116542751855,113,7.563022460648557,107,94.69026548672566,62,54.86725663716814,90,79.64601769911505,90,79.64601769911505,87,76.99115044247787,47,41.5929203539823,46,40.70796460176991,0,0.0,40,35.39823008849557,55,48.67256637168141,72,63.716814159292035
Formação Botucatu,20768.560894567352,158,7.607652778740664,138,87.34177215189874,129,81.64556962025317,133,84.17721518987342,129,81.64556962025317,129,81.64556962025317,64,40.50632911392405,60,37.9746835443038,6,3.7974683544303796,64,40.50632911392405,90,56.962025316455694,37,23.417721518987342
Formação Cachoeirinha,2112.5851476416437,58,27.454514704293707,49,84.48275862068965,47,81.03448275862068,46,79.3103448275862,46,79.3103448275862,43,74.13793103448276,10,17.24137931034483,10,17.24137931034483,0,0.0,37,63.793103448275865,21,36.206896551724135,56,96.55172413793103
Formação Furnas,4382.366366832952,75,17.114041529622497,73,97.33333333333333,70,93.33333333333333,72,96.0,72,96.0,71,94.66666666666667,36,48.0,36,48.0,1,1.3333333333333333,23,30.666666666666668,54,72.0,6,8.0
Formação Palermo,43.941366421895324,1,22.757599078705823,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,1,100.0,1,100.0,1,100.0
Formação Pantanal,75612.279243078,23,0.3041833975941885,21,91.30434782608695,12,52.17391304347826,19,82.6086956521739,19,82.6086956521739,17,73.91304347826087,4,17.391304347826086,4,17.391304347826086,0,0.0,14,60.869565217391305,9,39.130434782608695,23,100.0
Formação Ponta Grossa,1848.67307640244,34,18.39156984217284,30,88.23529411764706,26,76.47058823529412,29,85.29411764705883,28,82.3529411764706,27,79.41176470588235,14,41.1764705882353,14,41.1764705882353,0,0.0,8,23.529411764705884,24,70.58823529411765,8,23.529411764705884
Formação Serra Geral,50682.87005918666,1660,32.752683462114085,1450,87.34939759036145,1353,81.50602409638554,1360,81.92771084337349,1341,80.78313253012048,1282,77.2289156626506,412,24.819277108433734,411,24.759036144578314,15,0.9036144578313253,917,55.24096385542169,621,37.40963855421687,394,23.734939759036145
Formação Xaraiés,343.75923352279045,2,5.818025539283164,1,50.0,1,50.0,1,50.0,1,50.0,1,50.0,1,50.0,1,50.0,0,0.0,0,0.0,1,50.0,2,100.0
Grupo Bauru,12528.337567810395,250,19.95476244528531,165,66.0,144,57.6,141,56.4,139,55.6,130,52.0,40,16.0,40,16.0,0,0.0,107,42.8,71,28.4,155,62.0
Grupo Caiuá,119664.62021003172,1305,10.90547897707362,1201,92.03065134099617,1122,85.97701149425288,1156,88.5823754789272,1150,88.12260536398468,1103,84.52107279693486,386,29.578544061302683,382,29.272030651340994,23,1.7624521072796935,765,58.62068965517241,569,43.60153256704981,937,71.80076628352491
Grupo Corumbá,4809.995188364966,36,7.484414971366586,34,94.44444444444444,21,58.333333333333336,34,94.44444444444444,33,91.66666666666667,33,91.66666666666667,18,50.0,18,50.0,1,2.7777777777777777,16,44.44444444444444,24,66.66666666666667,36,100.0
Grupo Cuiaba,7297.786607315828,97,13.291701336232578,86,88.65979381443299,67,69.0721649484536,76,78.35051546391753,76,78.35051546391753,74,76.28865979381443,50,51.54639175257732,50,51.54639175257732,3,3.0927835051546393,30,30.927835051546392,60,61.855670103092784,46,47.422680412371136
Grupo Rio Ivaí,805.1540399989029,0,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
