domain,area_km2,support_points_n,evidence_code,same_stratum_evidence_n,same_stratum_gap_median_km,same_stratum_gap_p90_km,same_stratum_gap_max_km,any_evidence_gap_median_km,any_evidence_gap_p90_km,p90_additional_distance_when_stratified_km,status
Cárstica (K),6223.492370278222,244,E01,49,16.387882028812356,33.356372316679554,150.23097246660745,10.331887817740167,20.93714094303407,12.419231373645484,OK
Cárstica (K),6223.492370278222,244,E07,29,18.571914798224974,44.1703967844715,150.553241139689,16.087480956442544,29.442558124302234,14.727838660169265,OK
Cárstica (K),6223.492370278222,244,E09,2,43.58305996352607,95.90390241181044,183.8542361224862,34.063154813539704,72.04194907377719,23.861953338033246,OK
Cárstica (K),6223.492370278222,244,E10,19,23.18849702435341,73.92230898470167,150.23097246660745,13.874640236527522,25.554396312788814,48.36791267191286,OK
Fraturada (Fr),72888.48110362275,2912,E01,1788,7.949521465565609,40.94472726195754,146.07715577768232,7.142343880005573,26.488102992752125,14.456624269205413,OK
Fraturada (Fr),72888.48110362275,2912,E07,468,18.24052782020528,61.261280454025375,179.36113375836257,14.669445843479423,37.752138817621976,23.5091416364034,OK
Fraturada (Fr),72888.48110362275,2912,E09,17,61.9396587054499,131.8017614448605,392.30088291285244,50.15184755780594,91.77678705100959,40.0249743938509,OK
Fraturada (Fr),72888.48110362275,2912,E10,964,12.334860184930307,46.40300466597341,157.4805073709377,10.510825760300765,33.62921879800898,12.773785867964435,OK
Granular (Gr),278202.4657075,11128,E01,2040,15.832979484314434,95.52876387552521,203.87847785348941,15.239208618273166,90.84940607543854,4.679357800086677,OK
Granular (Gr),278202.4657075,11128,E07,609,28.688236042795186,114.85874115988042,203.87847785348941,26.453187258610942,100.41616453537263,14.442576624507794,OK
Granular (Gr),278202.4657075,11128,E09,32,86.10152970943568,242.17782065111206,355.32074834028924,67.71415015745549,135.23765997749413,106.94016067361792,OK
Granular (Gr),278202.4657075,11128,E10,1070,20.253863298575475,106.37260342735419,212.68637341097053,19.169036795141942,98.78625124267579,7.586352184678404,OK
