unit,area_km2,support_points_n,evidence_code,same_stratum_evidence_n,same_stratum_gap_median_km,same_stratum_gap_p90_km,same_stratum_gap_max_km,any_evidence_gap_median_km,any_evidence_gap_p90_km,p90_additional_distance_when_stratified_km,status
Depósitos aluvionares,25494.831247864422,1008,E01,23,118.31073066674128,217.21463887898818,366.0289629355439,51.65745650128475,133.42264306317603,83.79199581581216,OK
Depósitos aluvionares,25494.831247864422,1008,E07,7,241.4610233310644,337.6390625530183,395.56998403872205,61.727111565220376,139.3314072226006,198.30765533041767,OK
Depósitos aluvionares,25494.831247864422,1008,E09,2,574.4977153710372,657.6062581125792,735.9399908516548,89.54431972813862,155.954529651576,501.65172846100324,OK
Depósitos aluvionares,25494.831247864422,1008,E10,11,540.8068985472877,636.7405829641347,712.3136341281988,57.197040583996085,140.5069397030923,496.23364326104235,OK
Embasamento Indiferenciado,15977.562385507877,642,E01,42,31.221979467579054,60.43339589232853,256.0624450827262,23.62643880968492,53.78568153966287,6.647714352665659,OK
Embasamento Indiferenciado,15977.562385507877,642,E07,16,58.25280169617122,115.35218152070598,285.627831861473,33.86884210503329,62.825963611222434,52.52621790948355,OK
Embasamento Indiferenciado,15977.562385507877,642,E09,0,,,,78.46162587700664,124.5838350960347,,NO_EVIDENCE_IN_STRATUM
Embasamento Indiferenciado,15977.562385507877,642,E10,20,37.077526590131185,64.13067450091991,256.0624450827262,28.84787508033445,58.50682808756015,5.623846413359757,OK
Formação Aquidauana,14941.116542751855,598,E01,113,11.973723617202664,28.76613150099949,72.55605385617525,10.07728745185881,19.395783513023606,9.370347987975883,OK
Formação Aquidauana,14941.116542751855,598,E07,47,27.794537074888964,157.46196237224646,219.96693616585233,15.074814242577133,24.88973843394678,132.5722239382997,OK
Formação Aquidauana,14941.116542751855,598,E09,0,,,,62.50013690106512,88.97829634215996,,NO_EVIDENCE_IN_STRATUM
Formação Aquidauana,14941.116542751855,598,E10,40,15.795805944042986,73.01094298918501,135.11940890138825,13.432605128312765,25.82333691796716,47.18760607121785,OK
Formação Botucatu,20768.560894567352,822,E01,158,12.945517958063848,32.20717984659493,63.210161296801964,10.822326514629765,26.266179727036334,5.941000119558598,OK
Formação Botucatu,20768.560894567352,822,E07,64,26.384020261729017,114.23271714862,158.80937032821603,18.61396827299173,55.02759241324412,59.205124735375875,OK
