scale_km2,domain,domain_area_km2,support_points_n,cells_intersecting_domain,cells_where_domain_dominant,domain_area_in_mixed_cells_pct,domain_area_in_non_dominant_cells_pct,domain_area_weighted_cell_purity_pct,E01_same_domain_support_coverage_pct,E01_apparent_total_support_coverage_pct,E01_cross_domain_masking_pct,E01_masking_share_of_apparent_pct,E07_same_domain_support_coverage_pct,E07_apparent_total_support_coverage_pct,E07_cross_domain_masking_pct,E07_masking_share_of_apparent_pct,E09_same_domain_support_coverage_pct,E09_apparent_total_support_coverage_pct,E09_cross_domain_masking_pct,E09_masking_share_of_apparent_pct,E10_same_domain_support_coverage_pct,E10_apparent_total_support_coverage_pct,E10_cross_domain_masking_pct,E10_masking_share_of_apparent_pct
100,Cárstica (K),6223.492370278222,244,173,59,80.32550585975589,24.918082764266416,71.44609583589289,17.62295081967213,24.59016393442623,6.967213114754098,28.333333333333332,11.885245901639344,13.934426229508196,2.0491803278688523,14.705882352941176,2.0491803278688523,2.459016393442623,0.4098360655737705,16.666666666666668,7.786885245901639,12.295081967213115,4.508196721311475,36.666666666666664
100,Fraturada (Fr),72888.48110362275,2912,1336,723,54.667527935193725,15.616352935663935,81.5866860849183,35.57692307692308,39.49175824175824,3.9148351648351647,9.91304347826087,13.08379120879121,15.247252747252748,2.1634615384615383,14.18918918918919,1.6140109890109893,2.0604395604395602,0.4464285714285714,21.666666666666668,24.725274725274726,27.403846153846157,2.6785714285714284,9.774436090225564
100,Granular (Gr),278202.4657075,11128,3350,2981,19.87964088001377,2.817162121893994,95.31172391704574,15.393601725377426,16.31020848310568,0.9166067577282531,5.619834710743802,5.625449317038102,5.957943925233645,0.3324946081955428,5.580693815987933,0.620057512580877,0.6560028756290438,0.03594536304816679,5.47945205479452,10.630841121495326,11.205966930265996,0.5751258087706687,5.132317562149158
150,Cárstica (K),6223.492370278222,244,131,38,87.93015491093382,31.940879083981056,67.18944633925605,16.39344262295082,27.86885245901639,11.475409836065573,41.1764705882353,15.163934426229508,18.852459016393443,3.6885245901639343,19.565217391304348,2.459016393442623,3.278688524590164,0.819672131147541,25.0,7.786885245901639,17.21311475409836,9.426229508196721,54.76190476190476
150,Fraturada (Fr),72888.48110362275,2912,940,470,58.82162683446286,18.546996836865876,79.64593880161723,43.13186813186813,48.11126373626374,4.979395604395604,10.34975017844397,17.27335164835165,20.36401098901099,3.090659340659341,15.177065767284992,1.7513736263736264,2.4381868131868134,0.6868131868131868,28.169014084507044,30.18543956043956,33.894230769230774,3.708791208791209,10.94224924012158
150,Granular (Gr),278202.4657075,11128,2280,2017,22.560809740675175,2.61665106020574,94.86711482958383,20.22825305535586,21.288641265276777,1.06038820992092,4.981004643309413,7.827102803738317,8.159597411933861,0.3324946081955428,4.07488986784141,0.9255930984902948,1.00647016534867,0.08087706685837527,8.035714285714286,14.261322789360174,15.079079798705965,0.8177570093457943,5.423122765196663
250,Cárstica (K),6223.492370278222,244,94,25,91.1342463457866,29.95335787050326,63.52194356965458,25.81967213114754,40.16393442622951,14.344262295081966,35.714285714285715,19.262295081967213,22.540983606557376,3.278688524590164,14.545454545454545,4.508196721311475,5.327868852459016,0.819672131147541,15.384615384615385,14.344262295081966,32.37704918032787,18.0327868852459,55.69620253164557
250,Fraturada (Fr),72888.48110362275,2912,621,285,67.89724374156081,19.771894939003673,77.21737258365319,53.02197802197802,60.16483516483516,7.142857142857142,11.872146118721462,24.793956043956044,29.567307692307693,4.773351648351648,16.144018583042975,2.9876373626373627,3.6744505494505497,0.6868131868131868,18.69158878504673,36.98489010989011,43.85302197802198,6.868131868131869,15.661707126076742
250,Granular (Gr),278202.4657075,11128,1416,1227,26.48033810476123,3.1942941483912812,94.19451126769134,27.057872034507547,28.801222142343637,1.7433501078360891,6.053042121684867,11.502516175413371,12.33824586628325,0.8357296908698778,6.773488710852148,1.4468008626887132,1.4917325664989216,0.04493170381020848,3.0120481927710845,18.80841121495327,20.003594536304817,1.1951833213515457,5.9748427672955975
500,Cárstica (K),6223.492370278222,244,62,12,99.57493098665967,36.163966433256846,57.17984090112066,36.885245901639344,56.14754098360656,19.262295081967213,34.306569343065696,31.967213114754102,35.24590163934426,3.278688524590164,9.30232558139535,6.557377049180328,11.065573770491802,4.508196721311475,40.74074074074074,26.639344262295083,47.13114754098361,20.491803278688526,43.47826086956522
