support_id,unit,unit_assignment_status,domain,domain_assignment_status,x_5880,y_5880
SP5-0001-0083,Formação Pantanal,OK,Granular (Gr),OK,4567500.0,7752500.0
SP5-0001-0084,Formação Pantanal,OK,Granular (Gr),OK,4567500.0,7757500.0
SP5-0001-0085,Formação Pantanal,OK,Granular (Gr),OK,4567500.0,7762500.0
SP5-0002-0082,Formação Pantanal,OK,Granular (Gr),OK,4572500.0,7747500.0
SP5-0002-0084,Formação Pantanal,OK,Granular (Gr),OK,4572500.0,7757500.0
SP5-0002-0085,Formação Pantanal,OK,Granular (Gr),OK,4572500.0,7762500.0
SP5-0002-0086,Formação Pantanal,OK,Granular (Gr),OK,4572500.0,7767500.0
SP5-0002-0094,Formação Pantanal,OK,Granular (Gr),OK,4572500.0,7807500.0
SP5-0002-0095,Formação Pantanal,OK,Granular (Gr),OK,4572500.0,7812500.0
SP5-0002-0096,Formação Pantanal,OK,Granular (Gr),OK,4572500.0,7817500.0
SP5-0003-0081,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7742500.0
SP5-0003-0082,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7747500.0
SP5-0003-0083,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7752500.0
SP5-0003-0084,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7757500.0
SP5-0003-0085,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7762500.0
SP5-0003-0086,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7767500.0
SP5-0003-0087,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7772500.0
SP5-0003-0093,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7802500.0
SP5-0003-0094,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7807500.0
SP5-0003-0095,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7812500.0
SP5-0003-0096,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7817500.0
SP5-0003-0097,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7822500.0
SP5-0003-0098,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7827500.0
SP5-0003-0099,Formação Pantanal,OK,Granular (Gr),OK,4577500.0,7832500.0
SP5-0004-0076,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7717500.0
SP5-0004-0077,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7722500.0
SP5-0004-0078,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7727500.0
SP5-0004-0080,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7737500.0
SP5-0004-0081,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7742500.0
SP5-0004-0082,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7747500.0
SP5-0004-0083,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7752500.0
SP5-0004-0084,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7757500.0
SP5-0004-0085,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7762500.0
SP5-0004-0086,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7767500.0
SP5-0004-0087,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7772500.0
SP5-0004-0092,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7797500.0
SP5-0004-0093,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7802500.0
SP5-0004-0094,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7807500.0
SP5-0004-0095,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7812500.0
SP5-0004-0096,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7817500.0
SP5-0004-0097,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7822500.0
SP5-0004-0098,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7827500.0
SP5-0004-0099,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7832500.0
SP5-0004-0100,Formação Pantanal,OK,Granular (Gr),OK,4582500.0,7837500.0
