well_id,municipality,hydro_unit,domain,layer_code,layer_name,latest_evidence_date,latest_evidence_age_years,dated_domains_n,time_series_status
3500065054,Dourados,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2016-10-24,9.845513597130672,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500053084,Miranda,Grupo Cuiaba,Fraturada,T04,Evidência hidrogeológica datada,2009-09-22,16.93395483822392,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500027119,Caarapó,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2009-08-27,17.00514042040562,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500026917,Três Lagoas,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2008-01-08,18.63967090357776,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500027282,Chapadão do Sul,Formação Cachoeirinha,Granular,T04,Evidência hidrogeológica datada,2010-05-10,16.304236226616563,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500045668,Corguinho,Formação Aquidauana,Granular,T04,Evidência hidrogeológica datada,2010-10-03,15.90450180359624,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500045682,Iguatemi,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2014-02-18,12.525924556972422,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500053090,Maracaju,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2008-06-12,18.212557410487552,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500065040,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2016-01-21,10.60391383806649,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500065045,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2016-02-01,10.573796860989617,2,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
