hydro_unit,n_wells,depth_positive_pct,formation_documented_pct,penetration_documented_pct,hydraulic_condition_documented_pct,capture_type_documented_pct,top_base_raw_pct,diameter_documented_pct,test_dated_pct,chemistry_dated_pct,level_measurement_dated_pct,dated_any_pct,multi_domain_dated_pct,rimas_registered_n,latest_evidence_age_median_years,latest_evidence_age_p90_years,series_demonstrated_n
Depósitos aluvionares,23,78.26086956521739,30.434782608695656,26.08695652173913,21.73913043478261,26.08695652173913,0.0,21.73913043478261,52.17391304347826,21.73913043478261,0.0,52.17391304347826,21.73913043478261,0,17.36106833131413,39.43872906356736,0
Embasamento Indiferenciado,42,95.23809523809523,61.904761904761905,2.380952380952381,0.0,2.380952380952381,0.0,0.0,57.14285714285714,14.285714285714285,0.0,59.523809523809526,11.904761904761903,0,23.655516540380706,33.7107538142467,0
Formação Aquidauana,113,94.69026548672566,47.78761061946903,5.3097345132743365,4.424778761061947,4.424778761061947,3.5398230088495577,10.619469026548673,48.67256637168141,6.1946902654867255,0.0,48.67256637168141,6.1946902654867255,0,44.12410932462679,57.65484575316399,0
Formação Botucatu,158,87.34177215189874,44.936708860759495,34.177215189873415,29.746835443037973,27.21518987341772,5.063291139240507,30.37974683544304,55.06329113924051,14.556962025316455,2.5316455696202533,56.9620253164557,12.658227848101266,4,23.88823863597473,41.523919040089815,0
Formação Cachoeirinha,58,84.48275862068965,32.758620689655174,12.068965517241379,12.068965517241379,12.068965517241379,1.7241379310344827,10.344827586206897,32.758620689655174,15.517241379310345,0.0,36.206896551724135,12.068965517241379,0,18.708118578752472,37.364216924372165,0
Formação Furnas,75,97.33333333333334,68.0,6.666666666666667,4.0,6.666666666666667,2.666666666666667,4.0,72.0,5.333333333333334,1.3333333333333335,72.0,5.333333333333334,1,26.12237075367735,44.344510838689374,0
Formação Palermo,1,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0,22.073006290341347,22.073006290341347,0
Formação Pantanal,23,91.30434782608695,34.78260869565217,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,4.3478260869565215,39.130434782608695,17.391304347826086,0.0,39.130434782608695,17.391304347826086,0,17.051684839524427,29.9713204241018,0
Formação Ponta Grossa,34,88.23529411764706,70.58823529411765,8.823529411764707,5.88235294117647,5.88235294117647,2.941176470588235,2.941176470588235,70.58823529411765,2.941176470588235,0.0,70.58823529411765,2.941176470588235,0,21.218779304160932,41.56142836608554,0
Formação Serra Geral,1660,87.34939759036145,31.807228915662648,7.83132530120482,6.626506024096386,4.698795180722891,10.783132530120481,8.55421686746988,35.8433734939759,12.771084337349398,0.18072289156626506,37.40963855421687,11.204819277108435,2,23.02579792877335,44.43623072342348,0
Formação Xaraiés,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0,23.44469770084259,23.44469770084259,0
Grupo Bauru,250,66.0,22.400000000000002,12.0,9.6,12.8,9.2,9.6,24.0,9.6,0.4,28.4,5.2,2,23.4419597938356,47.469831687166746,0
Grupo Caiuá,1305,92.03065134099617,38.31417624521073,12.413793103448276,12.796934865900383,10.881226053639846,6.81992337164751,12.413793103448276,42.758620689655174,16.551724137931036,0.8429118773946359,43.60153256704981,15.785440613026818,13,21.514473260915693,45.70935748167313,0
Grupo Corumbá,36,94.44444444444444,52.77777777777778,0.0,0.0,0.0,0.0,2.7777777777777777,61.111111111111114,13.88888888888889,0.0,66.66666666666666,8.333333333333332,0,27.407818093458452,43.53080487621237,0
Grupo Cuiaba,97,88.65979381443299,61.855670103092784,10.309278350515463,8.24742268041237,10.309278350515463,7.216494845360824,7.216494845360824,61.855670103092784,13.402061855670103,0.0,61.855670103092784,13.402061855670103,0,25.4912831885665,45.71072643517663,0
