well_id,siagas_aquifer,sgb2024_unit_aflorante,sgb2024_unit_subjacente,sgb2024_hydrolithologic_unit_afl,sgb2024_domain,geology_sgb_unit,geology_sgb_sigla,comparison_status,comparison_reason,manual_review_required
3500065054,Guarani,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500053084,Coluvionar,Grupo Cuiaba,,(5) NPcu,,"Litofácies Cuiabá, xisto",NPcuxt,UNKNOWN,"nome SIAGAS ausente, genérico ou não definido",True
3500027119,Serra geral,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500026917,Serra geral,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500027282,Bauru,Formação Cachoeirinha,Formação Botucatu,(5) ENch,,Formação Cachoeirinha,ENch,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500045668,Aquidauana,Formação Aquidauana,,(4) C2P1a,,Formação Aquidauana,C2P1a,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500045682,Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500053090,Guarani,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,POSSIVELMENTE CONSISTENTE,SIAGAS usa sistema Guarani e SGB registra Formação Botucatu aflorante/subjacente,False
3500065040,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500065045,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500065046,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500065047,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500065060,Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500065072,Serra geral,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500023027,Guarani,Formação Palermo,,(6) P1p,,Formação Palermo,P1p,NÃO COMPARÁVEL DIRETAMENTE,Guarani é nome de sistema aquífero e não tem correspondência direta demonstrada com a unidade cartográfica neste ponto,True
3500065009,Serra geral,Formação Serra Geral,Formação Botucatu,(4) K1_beta_sg,,Grupo Serra Geral,K1sg,CONSISTENTE,correspondência nominal com unidade SGB aflorante/subjacente,False
3500068739,Bauru,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,"o aquífero informado não coincide com a unidade aflorante/subjacente explicitada, mas um poço pode captar unidade mais profunda; não é contradição demonstrada",True
3500071611,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
3500071605,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Grupo Caiuá,K2c,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
3500071514,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,(4) K2c,,Formação Santo Anastácio,K2sa,POSSIVELMENTE CONSISTENTE,SIAGAS agrupa Bauru/Caiuá,False
