result_id,sample_id,well_id,source_dataset,parameter,value,unit,quality_status
CUR_CHEM_3500065054_1,CUR_CHEM_3500065054,3500065054,SIAGAS_MS_20260814,Solidos dissolvidos totais,151.4,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500065040_1,CUR_CHEM_3500065040,3500065040,SIAGAS_MS_20260814,Solidos dissolvidos totais,81,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500065045_1,CUR_CHEM_3500065045,3500065045,SIAGAS_MS_20260814,Solidos dissolvidos totais,117,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500065046_1,CUR_CHEM_3500065046,3500065046,SIAGAS_MS_20260814,Solidos dissolvidos totais,71,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500065047_1,CUR_CHEM_3500065047,3500065047,SIAGAS_MS_20260814,Solidos dissolvidos totais,240,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500065060_1,CUR_CHEM_3500065060,3500065060,SIAGAS_MS_20260814,Solidos dissolvidos totais,155,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500065072_1,CUR_CHEM_3500065072,3500065072,SIAGAS_MS_20260814,Solidos dissolvidos totais,138,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500023027_1,CUR_CHEM_3500023027,3500023027,SIAGAS_MS_20260814,Solidos dissolvidos totais,259.32,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500065009_1,CUR_CHEM_3500065009,3500065009,SIAGAS_MS_20260814,Solidos dissolvidos totais,84.9,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500027154_1,CUR_CHEM_3500027154,3500027154,SIAGAS_MS_20260814,Solidos dissolvidos totais,271.8,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500027162_1,CUR_CHEM_3500027162,3500027162,SIAGAS_MS_20260814,Solidos dissolvidos totais,149.9,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500027173_1,CUR_CHEM_3500027173,3500027173,SIAGAS_MS_20260814,Solidos dissolvidos totais,112.8,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500027176_1,CUR_CHEM_3500027176,3500027176,SIAGAS_MS_20260814,Solidos dissolvidos totais,29.3,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500027212_1,CUR_CHEM_3500027212,3500027212,SIAGAS_MS_20260814,Solidos dissolvidos totais,84.9,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500027286_1,CUR_CHEM_3500027286,3500027286,SIAGAS_MS_20260814,Solidos dissolvidos totais,194,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
CUR_CHEM_3500027294_1,CUR_CHEM_3500027294,3500027294,SIAGAS_MS_20260814,Solidos dissolvidos totais,74.2,SOURCE_UNIT_NOT_VERIFIED,RAW_RESULT
