well_id,latitude,longitude,inside_ms_ibge2025,declared_municipality,spatial_municipality,municipality_match,exact_coordinate_group,nearest_other_well_id,nearest_neighbor_m,coordinate_quality_status,coordinate_quality_reasons
3500065054,-22.19166699999994,-54.69222199999996,True,Dourados,Dourados,True,,3500071958,82.76,OK,nenhuma anomalia objetiva identificada nesta etapa
3500053084,-20.143332999999927,-56.28333299999997,True,Miranda,Miranda,True,,3500053085,568.37,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027119,-22.642499999999927,-54.82416699999993,True,Caarapó,Caarapó,True,,3500022693,28.77,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026917,-20.97083299999997,-51.839166999999975,True,Três Lagoas,Três Lagoas,True,,3500045713,948.92,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027282,-18.807777999999928,-52.62555599999996,True,Chapadão do Sul,Chapadão do Sul,True,,3500073433,16.63,OK,nenhuma anomalia objetiva identificada nesta etapa
3500045668,-19.677221999999972,-55.08277799999996,True,Corguinho,Corguinho,True,,3500072691,19140.42,OK,nenhuma anomalia objetiva identificada nesta etapa
3500045682,-23.67972199999997,-54.57472199999995,True,Iguatemi,Iguatemi,True,,3500022708,809.95,OK,nenhuma anomalia objetiva identificada nesta etapa
3500053090,-21.613888999999972,-55.194999999999936,True,Maracaju,Maracaju,True,,3500069945,2062.77,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065040,-20.46222199999994,-54.61638899999997,True,Campo Grande,Campo Grande,True,,3500073243,290.34,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065045,-20.468610999999953,-54.716388999999936,True,Campo Grande,Campo Grande,True,,3500065033,277.85,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065046,-20.44222199999996,-54.67277799999994,True,Campo Grande,Campo Grande,True,,3500022485,422.07,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065047,-20.484166999999957,-54.74916699999994,True,Campo Grande,Campo Grande,True,,3500065043,144.26,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065060,-22.338888999999938,-53.84249999999997,True,Ivinhema,Ivinhema,True,,3500045256,65.41,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065072,-20.361943999999937,-51.426943999999935,True,Selvíria,Selvíria,True,,3500073407,88.58,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023027,-18.64027699999997,-54.35972199999998,True,Coxim,Coxim,True,,3500027287,21919.73,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065009,-22.944166999999936,-55.634721999999954,True,Aral Moreira,Aral Moreira,True,,3500023156,42.25,OK,nenhuma anomalia objetiva identificada nesta etapa
3500068739,-20.012241999999958,-53.29814399999998,True,Ribas do Rio Pardo,Ribas do Rio Pardo,True,,3500072725,4253.82,OK,nenhuma anomalia objetiva identificada nesta etapa
3500071611,-22.542666999999938,-54.306221999999934,True,Jateí,Jateí,True,,3500073574,1916.89,OK,nenhuma anomalia objetiva identificada nesta etapa
3500071605,-23.967555999999945,-55.01655599999998,True,Sete Quedas,Sete Quedas,True,,3500023354,1947.58,OK,nenhuma anomalia objetiva identificada nesta etapa
3500071514,-20.84818299999995,-51.74865599999998,True,Três Lagoas,Três Lagoas,True,,3500073461,150.73,OK,nenhuma anomalia objetiva identificada nesta etapa
3500070919,-23.53314699999993,-54.06936699999994,True,Itaquiraí,Itaquiraí,True,,3500045203,264.1,OK,nenhuma anomalia objetiva identificada nesta etapa
3500070840,-21.15839699999998,-55.828307999999936,True,Nioaque,Nioaque,True,,3500073701,147.64,OK,nenhuma anomalia objetiva identificada nesta etapa
3500069727,-22.08438899999993,-54.83758299999994,True,Itaporã,Itaporã,True,,3500027005,44.81,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026934,-22.464721999999938,-54.17444399999994,True,Glória de Dourados,Glória de Dourados,True,,3500070755,176.26,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026935,-22.277221999999938,-53.371110999999985,True,Nova Andradina,Nova Andradina,True,,3500073571,410.23,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026939,-22.284999999999968,-53.37944399999998,True,Nova Andradina,Nova Andradina,True,,3500072861,15.42,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026957,-22.59555599999993,-54.81555599999996,True,Caarapó,Caarapó,True,,3500026956,119.48,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026979,-21.94805599999995,-54.36694399999993,True,Dourados,Dourados,True,,3500073950,2670.12,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026997,-19.700832999999932,-51.16999999999996,True,Paranaíba,Paranaíba,True,,3500023323,186.5,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027019,-21.452777999999967,-54.381110999999976,True,Nova Alvorada do Sul,Nova Alvorada do Sul,True,,3500069885,54.78,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027044,-20.765555999999947,-51.66555599999998,True,Três Lagoas,Três Lagoas,True,,3500045659,122.92,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027149,-21.654166999999973,-55.100832999999966,True,Maracaju,Maracaju,True,,3500071565,5410.51,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027154,-19.513332999999932,-54.04833299999996,True,Camapuã,Camapuã,True,,3500065025,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027162,-21.807777999999928,-54.549721999999974,True,Rio Brilhante,Rio Brilhante,True,,3500023259,67.8,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027173,-20.776943999999958,-51.66416699999996,True,Três Lagoas,Três Lagoas,True,,3500022582,84.26,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027176,-20.77249999999998,-51.737499999999955,True,Três Lagoas,Três Lagoas,True,,3500023297,119.51,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027212,-22.94888899999995,-55.622221999999965,True,Aral Moreira,Aral Moreira,True,,3500065010,84.26,OK,nenhuma anomalia objetiva identificada nesta etapa
