well_id,dataset,field,value,flag_type,severity,reason,automatic_correction
3500071469,SIAGAS_MS_20260814,num_vazao_especifica,-0.039,OBJECTIVE_INVALID,INVALID,valor negativo para parâmetro que requer revisão,NONE
3500071469,SIAGAS_MS_20260814,ne|nd,NE=10.11; ND=5.09,HYDRAULIC_RELATION_REVIEW,REVIEW,ND menor que NE sob convenção de profundidade; coincide com vazão específica negativa nos registros detectados,NONE
3500071633,SIAGAS_MS_20260814,coordinates,"-20.517803,-54.683775000000004",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500069734,SIAGAS_MS_20260814,coordinates,"-22.221275,-54.813456",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023237,SIAGAS_MS_20260814,coordinates,"-19.251943999999998,-54.326388",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023171,SIAGAS_MS_20260814,coordinates,"-22.159166,-53.771387999999995",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023266,SIAGAS_MS_20260814,coordinates,"-21.768055,-54.5675",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500067322,SIAGAS_MS_20260814,coordinates,"-18.516389,-53.1575",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023081,SIAGAS_MS_20260814,coordinates,"-21.122222,-56.495555",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500022779,SIAGAS_MS_20260814,coordinates,"-22.018611,-57.017222000000004",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500022722,SIAGAS_MS_20260814,coordinates,"-23.067777,-54.188611",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023108,SIAGAS_MS_20260814,coordinates,"-22.655555,-53.86",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023267,SIAGAS_MS_20260814,coordinates,"-21.768055,-54.5675",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023235,SIAGAS_MS_20260814,coordinates,"-19.4025,-54.584444000000005",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023051,SIAGAS_MS_20260814,coordinates,"-22.254444,-53.340555",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500022784,SIAGAS_MS_20260814,coordinates,"-22.018611,-57.017222000000004",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500071019,SIAGAS_MS_20260814,num_vazao_especifica,-1.675,OBJECTIVE_INVALID,INVALID,valor negativo para parâmetro que requer revisão,NONE
3500071019,SIAGAS_MS_20260814,ne|nd,NE=10.77; ND=7.42,HYDRAULIC_RELATION_REVIEW,REVIEW,ND menor que NE sob convenção de profundidade; coincide com vazão específica negativa nos registros detectados,NONE
3500023234,SIAGAS_MS_20260814,coordinates,"-19.4025,-54.584444000000005",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500072379,SIAGAS_MS_20260814,coordinates,"-20.479581000000003,-54.758325",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500026978,SIAGAS_MS_20260814,coordinates,"-21.890278,-54.492222",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500073149,SIAGAS_MS_20260814,coordinates,"-20.517803,-54.683775000000004",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500067319,SIAGAS_MS_20260814,coordinates,"-18.887222,-53.004444",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500067321,SIAGAS_MS_20260814,coordinates,"-18.516389,-53.1575",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023238,SIAGAS_MS_20260814,coordinates,"-19.251943999999998,-54.326388",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500027269,SIAGAS_MS_20260814,coordinates,"-20.453332999999997,-55.425",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500070928,SIAGAS_MS_20260814,coordinates,"-20.479581000000003,-54.758325",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500070831,SIAGAS_MS_20260814,num_vazao_especifica,-0.076,OBJECTIVE_INVALID,INVALID,valor negativo para parâmetro que requer revisão,NONE
3500070831,SIAGAS_MS_20260814,ne|nd,NE=13.9; ND=3.9,HYDRAULIC_RELATION_REVIEW,REVIEW,ND menor que NE sob convenção de profundidade; coincide com vazão específica negativa nos registros detectados,NONE
3500067320,SIAGAS_MS_20260814,coordinates,"-18.887222,-53.004444",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023172,SIAGAS_MS_20260814,coordinates,"-22.159166,-53.771387999999995",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023179,SIAGAS_MS_20260814,coordinates,"-22.178333,-52.718333",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023109,SIAGAS_MS_20260814,coordinates,"-22.651666,-53.857777",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500022936,SIAGAS_MS_20260814,coordinates,"-22.156388000000003,-53.779166",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023030,SIAGAS_MS_20260814,coordinates,"-23.067777,-54.188611",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023083,SIAGAS_MS_20260814,coordinates,"-21.122222,-56.495555",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500022938,SIAGAS_MS_20260814,coordinates,"-22.156388000000003,-53.779166",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023374,SIAGAS_MS_20260814,coordinates,"-22.655555,-53.86",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023375,SIAGAS_MS_20260814,coordinates,"-22.651666,-53.857777",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023178,SIAGAS_MS_20260814,coordinates,"-22.178333,-52.718333",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500022553,SIAGAS_MS_20260814,coordinates,"-22.254444,-53.340555",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500022612,SIAGAS_MS_20260814,coordinates,"-18.923888,-54.847222",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500022802,SIAGAS_MS_20260814,coordinates,"-20.453332999999997,-55.425",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500023006,SIAGAS_MS_20260814,coordinates,"-18.923888,-54.847222",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500072835,SIAGAS_MS_20260814,coordinates,"-22.221275,-54.813456",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500026976,SIAGAS_MS_20260814,coordinates,"-21.890278,-54.492222",EXACT_COORDINATE_SHARED,REVIEW,coordenada idêntica compartilhada por IDs distintos,NONE
3500071741,SIAGAS_MS_20260814,num_vazao_especifica,0.0,ZERO_REQUIRES_REVIEW,REVIEW,"zero preservado, não convertido em ausência",NONE
3500022467,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022467,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022468,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022468,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022469,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022469,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022470,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022470,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022471,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022471,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022472,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022472,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022473,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022473,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022474,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022474,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022475,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022475,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022476,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022476,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022477,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022477,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
3500022478,SGB_HIDRO_MS_2024_POCOS,profundida,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado; provável ausência administrativa em parte dos registros,NONE
3500022478,SGB_HIDRO_MS_2024_POCOS,Cond_Eletr,0.0,ZERO_REQUIRES_REVIEW,REVIEW,zero preservado e não assumido como medição válida,NONE
