well_id,source_current_present,source_sgb2024_present,latitude,longitude,municipality_declared,municipality_spatial,coordinate_quality_status,nearest_neighbor_m,exact_coordinate_group,nature,situation,use_water,siagas_aquifer,sgb2024_unit_aflorante,sgb2024_unit_subjacente,aquifer_comparison_status,geology_sgb_unit,geology_sgb_sigla,depth_current_m,depth_sgb2024_profundi_1_m,depth_sgb2024_profundida_m,static_level_current_m,static_level_sgb2024_m,dynamic_level_current_m,dynamic_level_sgb2024_m,specific_capacity_current,specific_capacity_sgb2024,test_type_sgb2024,test_date_sgb2024,interpretation_method_sgb2024,transmissivity_sgb2024,permeability_sgb2024,storage_coefficient_sgb2024,stabilized_yield_sgb2024,pump_type_sgb2024,ph_current,electrical_conductivity_current,electrical_conductivity_sgb2024,temperature_current,temperature_sgb2024,turbidity_current,turbidity_sgb2024,chemical_parameter_current,chemical_concentration_current,drilling_date_current,registration_date_current,installation_date_current,drilling_date_sgb2024,analysis_date_sgb2024,collection_date_sgb2024,drilling_method_sgb2024,driller_sgb2024,formation_sgb2024,penetration_type_sgb2024,hydraulic_condition_sgb2024,capture_type_sgb2024,atlas_qlog_record,atlas_explicit_profile,rimas_flag_current
3500065054,True,True,-22.19166699999994,-54.69222199999996,Dourados,Dourados,OK,82.76,,Poço tubular,Bombeando,Abastecimento doméstico,Guarani,Formação Serra Geral,Formação Botucatu,POSSIVELMENTE CONSISTENTE,Grupo Serra Geral,K1sg,600,600.0,0.0,67,67.0,166.56,166.56,0.428,0.428,Continuo,2014-09-29,,,,,42.58,,8.19999981,,0.0,,,,,Solidos dissolvidos totais,151.4,2014-09-28,2018-08-06,2014-09-28,2014-09-28,25/10/2016,24/10/2016,,,,Parcial,Semi-Confinado,,0.75,False,False
3500053084,True,True,-20.143332999999927,-56.28333299999997,Miranda,Miranda,OK,568.37,,Poço tubular,Bombeando,Abastecimento múltiplo,Coluvionar,Grupo Cuiaba,,UNKNOWN,"Litofácies Cuiabá, xisto",NPcuxt,30,30.0,0.0,12,12.0,22,22.0,0.3,0.3,Rebaixamento,2009-01-01,,,,,3.0,Bomba submersa,7.25,,0.0,23,23,"1,34","1,34",,,2009-01-01,2015-11-12,,2009-01-01,22/09/2009,22/09/2009,,,Formação Pantanal,Total,Livre,Única,0.75,False,False
3500027119,True,True,-22.642499999999927,-54.82416699999993,Caarapó,Caarapó,OK,28.77,,Poço tubular,Bombeando,Abastecimento urbano,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,Grupo Caiuá,K2c,150,150.0,0.0,23,23.0,99,99.0,0.176,0.176,Rebaixamento,2009-08-27,,,,,13.4,Bomba submersa,7.88999987,,0.0,13.3000002,"13,3","0,05","0,05",,,1984-07-10,2015-10-05,1984-07-10,1984-07-10,24/08/2009,20/07/2009,,HIDROSSOMAT LTDA,Formação Serra Geral,Total,Livre,Única,0.75,False,False
3500026917,True,True,-20.97083299999997,-51.839166999999975,Três Lagoas,Três Lagoas,OK,948.92,,Poço tubular,Bombeando,Irrigação,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,Formação Santo Anastácio,K2sa,34,34.0,0.0,7,7.0,9,9.0,,0.0,Rebaixamento,2008-01-01,,,,,0.0,Bomba submersa,6.51000023,70,70.0,31,31,"0,25","0,25",,,2004-01-01,2015-10-06,,2004-01-01,08/01/2008,08/01/2008,,,"Formação Serra Geral, Grupo São Bento",Parcial,Semi-Livre,Simultânea,0.75,False,False
3500027282,True,True,-18.807777999999928,-52.62555599999996,Chapadão do Sul,Chapadão do Sul,OK,16.63,,Poço tubular,Bombeando,Abastecimento urbano,Bauru,Formação Cachoeirinha,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,Formação Cachoeirinha,ENch,100,100.0,0.0,57,57.0,71,71.0,1.214,1.214,Rebaixamento,2009-10-06,,,,,17.0,Bomba submersa,4.48000002,,0.0,2.70000005,"2,7","0,55","0,55",,,2001-08-01,2015-10-08,,2001-08-01,11/05/2010,10/05/2010,,SANESUL S/A,Formação Cachoeirinha,Total,Livre,Única,0.75,False,False
3500045668,True,True,-19.677221999999972,-55.08277799999996,Corguinho,Corguinho,OK,19140.42,,,Bombeando,,Aquidauana,Formação Aquidauana,,CONSISTENTE,Formação Aquidauana,C2P1a,90,90.0,0.0,54,54.0,70,70.0,0.5,0.5,Rebaixamento,2010-09-18,,,,,8.0,Bomba submersa,5.78999996,,0.0,,,"1,1","1,1",,,2010-01-01,2015-09-23,,2010-01-01,04/10/2010,03/10/2010,Rotopneumatico,HIDRO SONDAS,Formação Aquidauana,Total,Livre,Única,0.75,False,False
3500045682,True,True,-23.67972199999997,-54.57472199999995,Iguatemi,Iguatemi,OK,809.95,,Poço tubular,Bombeando,,Caiua,Grupo Caiuá,Formação Botucatu,CONSISTENTE,Grupo Caiuá,K2c,160,160.0,0.0,6.5,6.5,144,144.0,0.176,0.176,Rebaixamento,2008-01-01,,,,,24.2,Bomba submersa,5.80000019,,0.0,6,6,"0,55","0,55",,,2008-01-01,2015-10-02,,2008-01-01,19/02/2014,18/02/2014,Rotopneumatico,SANESUL,Grupo Caiuá,Total,Livre,Única,0.75,False,False
3500053090,True,True,-21.613888999999972,-55.194999999999936,Maracaju,Maracaju,OK,2062.77,,Poço tubular,Bombeando,Abastecimento múltiplo,Guarani,Formação Serra Geral,Formação Botucatu,POSSIVELMENTE CONSISTENTE,Grupo Serra Geral,K1sg,105,105.0,0.0,17,17.0,20,20.0,3.333,3.333,Rebaixamento,2008-01-01,,,,,10.0,Bomba submersa,7.01999998,5.02,5.02,24,24,"0,36","0,36",,,2008-01-01,2015-11-13,,2008-01-01,12/06/2008,12/06/2008,Percussao c/cacamba,,Formação Botucatu,Parcial,Confinado,Única,0.75,False,False
3500065040,True,True,-20.46222199999994,-54.61638899999997,Campo Grande,Campo Grande,OK,290.34,,Poço tubular,Bombeando,Abastecimento doméstico,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,96,96.0,0.0,7,7.0,51,51.0,0.514,0.514,Rebaixamento,2014-11-12,,,,,22.63,,7.32000017,,0.0,23.6000004,"23,6",,,Solidos dissolvidos totais,81,2014-11-12,2018-07-30,2014-11-12,2014-11-12,22/01/2016,21/01/2016,,,,Parcial,Livre,,0.75,False,False
3500065045,True,True,-20.468610999999953,-54.716388999999936,Campo Grande,Campo Grande,OK,277.85,,Poço tubular,Bombeando,"Outros (lazer,etc.)",Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,48,48.0,0.0,15,15.0,28,28.0,0.385,0.385,Rebaixamento,2016-01-22,,,,,5.0,,6.59000015,22.2,22.2,24,24,,,Solidos dissolvidos totais,117,2016-10-16,2018-08-02,2016-10-16,2016-10-16,02/02/2016,01/02/2016,,,,Parcial,Livre,,0.75,False,False
3500065046,True,True,-20.44222199999996,-54.67277799999994,Campo Grande,Campo Grande,OK,422.07,,Poço tubular,Bombeando,"Outros (lazer,etc.)",Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,90,90.0,0.0,26.3,26.3,32.27,32.27,0.99,0.99,Rebaixamento,2016-04-14,,"56,3",,,5.91,,6.46000004,12.82,12.82,23.3999996,"23,4",,,Solidos dissolvidos totais,71,1994-01-01,2018-08-03,1994-01-01,1994-01-01,13/12/2016,12/12/2016,,,,Parcial,Livre,,0.75,False,False
3500065047,True,True,-20.484166999999957,-54.74916699999994,Campo Grande,Campo Grande,OK,144.26,,Poço tubular,Bombeando,Abastecimento industrial,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,100,100.0,0.0,12.8,12.8,84,84.0,0.214,0.214,Rebaixamento,2016-06-10,,,,,15.23,,6.0999999,19.35,19.35,25,25,,,Solidos dissolvidos totais,240,2016-06-11,2018-08-03,2016-06-11,2016-06-11,30/09/2016,29/09/2016,,,,Parcial,Livre,,0.75,False,False
3500065060,True,True,-22.338888999999938,-53.84249999999997,Ivinhema,Ivinhema,OK,65.41,,Poço tubular,Bombeando,Abastecimento industrial,Caiua,Grupo Caiuá,Formação Botucatu,CONSISTENTE,Grupo Caiuá,K2c,100,100.0,0.0,12.75,12.75,58.08,58.08,0.383,0.383,Rebaixamento,2016-07-09,,"8,53",,,17.36,,5.69999981,22.7,22.7,14,14,,,Solidos dissolvidos totais,155,2003-09-01,2018-08-06,2003-09-01,2003-09-01,15/06/2016,14/06/2016,,,,Parcial,Livre,,0.75,False,False
3500065072,True,True,-20.361943999999937,-51.426943999999935,Selvíria,Selvíria,OK,88.58,,Poço tubular,Bombeando,Abastecimento doméstico,Serra geral,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,Formação Santo Anastácio,K2sa,96,96.0,0.0,18,18.0,64,64.0,1.228,1.228,Rebaixamento,2016-02-02,,"64,78",,,56.5,,7.80000019,,0.0,11.1000004,"11,1",,,Solidos dissolvidos totais,138,1990-08-06,2018-08-09,1990-08-06,1990-08-06,17/02/2016,16/02/2016,,,,Parcial,Livre,,0.75,False,False
3500023027,True,True,-18.64027699999997,-54.35972199999998,Coxim,Coxim,OK,21919.73,,Poço tubular,Equipado,,Guarani,Formação Palermo,,NÃO COMPARÁVEL DIRETAMENTE,Formação Palermo,P1p,78.5,78.5,0.0,12,12.0,25,25.0,1.454,1.454,Rebaixamento,1990-02-10,,,,,18.9,,7.42000008,289,289.0,27.3999996,"27,4",,,Solidos dissolvidos totais,259.32,1990-02-10,2008-09-08,1990-02-10,1990-02-10,02/08/2004,02/08/2004,Rotativo,NOPAR,Formação Caiuá,,,,0.75,False,False
3500065009,True,True,-22.944166999999936,-55.634721999999954,Aral Moreira,Aral Moreira,OK,42.25,,Poço tubular,Bombeando,"Outros (lazer,etc.)",Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,130,130.0,0.0,3.65,3.65,22.26,22.26,2.507,2.507,Continuo,1980-07-07,,,,,46.65,,7.0999999,,0.0,,,,,Solidos dissolvidos totais,84.9,1980-07-07,2018-07-24,1980-07-07,1980-07-07,27/01/2016,26/01/2016,,,,Parcial,Livre,Única,0.75,False,False
3500068739,True,True,-20.012241999999958,-53.29814399999998,Ribas do Rio Pardo,Ribas do Rio Pardo,OK,4253.82,,Poço de monitoramento,Poço RIMAS equipado c medidor automático de nível,Sem uso,Bauru,Grupo Caiuá,Formação Botucatu,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA,Grupo Caiuá,K2c,74,74.0,0.0,34.23,34.23,49.18,49.18,0.423,0.423,Rebaixamento,2023-04-26,,0,,,6.32,Bomba submersa,6.38999987,73,0.0,,,"14,20",,,,2023-04-26,2023-07-24,2023-04-26,2023-04-26,,,,Toninho Poços Artesianos Ltda.,Formação Caiuá,Parcial,Livre,Única,0.75,False,False
3500071611,True,False,-22.542666999999938,-54.306221999999934,Jateí,Jateí,OK,1916.89,,Poço tubular,Bombeando,Pecuária,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,POSSIVELMENTE CONSISTENTE,Grupo Caiuá,K2c,70,,,23.16,,36,,1.505,,,,,,,,,,5.36000013,19.66,,24.1000004,,,,,,2019-10-30,2024-07-31,,,,,,,,,,,0.75,False,False
3500071605,True,False,-23.967555999999945,-55.01655599999998,Sete Quedas,Sete Quedas,OK,1947.58,,Poço tubular,Bombeando,Abastecimento industrial,Bauru_Caiua,Grupo Caiuá,Formação Botucatu,POSSIVELMENTE CONSISTENTE,Grupo Caiuá,K2c,100,,,22,,57,,4.408,,,,,,,,,,6.69999981,,,16,,,,,,2015-08-20,2024-07-31,,,,,,,,,,,0.75,False,False
