field,modules,source_files,definition,formula_or_rule,unit,how_to_read,does_not_mean,unknown_rule
E01_apparent_total_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | scale_by_hydrolithologic_domain.csv,"Percentual dos suportes do estrato cujas células contêm a evidência selecionada, independentemente da unidade de origem da evidência.",100 × suportes cuja célula tem qualquer evidência do código ÷ total de suportes do estrato.,%,Representa a cobertura aparente que a agregação produziria sem estratificação.,Pode mascarar ausência de evidência do próprio estrato.,UNKNOWN sem suporte avaliável.
E01_cross_domain_masking_pct,Estratificação hidrogeológica,scale_by_hydrolithologic_domain.csv | stratified_scale_summary.csv,"Percentual dos suportes do estrato em que a célula aparenta conter a evidência, mas não contém evidência atribuída ao mesmo estrato.",100 × suportes com evidência total presente e evidência do mesmo estrato ausente ÷ total de suportes do estrato.,%,Mede mascaramento documental produzido pela agregação espacial.,Não é taxa de erro geológico nem prova de atribuição equivocada do poço.,Zero significa que esse tipo de mascaramento não foi detectado sob aquela escala e regra.
E01_cross_unit_masking_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | stratified_scale_summary.csv,"Percentual dos suportes do estrato em que a célula aparenta conter a evidência, mas não contém evidência atribuída ao mesmo estrato.",100 × suportes com evidência total presente e evidência do mesmo estrato ausente ÷ total de suportes do estrato.,%,Mede mascaramento documental produzido pela agregação espacial.,Não é taxa de erro geológico nem prova de atribuição equivocada do poço.,Zero significa que esse tipo de mascaramento não foi detectado sob aquela escala e regra.
E01_density_per_1000km2,Estratificação hidrogeológica,evidence_by_hydro_unit.csv | evidence_by_hydrolithologic_domain.csv,Densidade descritiva de E01 padronizada por área.,1000 × n_E01 ÷ área_km².,poços por 1000 km²,Permite comparar intensidade cadastral entre unidades de áreas diferentes.,Não mede potencial hídrico nem qualidade do conhecimento.,"Zero é ausência de E01 cadastrado na unidade, não ausência de água."
E01_empty_cells_pct,Estudo de escalas,scale_candidate_decision_matrix.csv | scale_candidate_summary.csv,Percentual de células sem E01 na malha.,100 × células com n_E01 = 0 ÷ número total de células.,%,Descreve esparsidade cadastral na escala selecionada.,Célula sem E01 não significa área sem água subterrânea.,Não se converte em prioridade automaticamente.
E01_masking_share_of_apparent_pct,Estratificação hidrogeológica,scale_by_hydro_unit.csv | scale_by_hydrolithologic_domain.csv,Fração da cobertura aparente que corresponde a mascaramento entre estratos.,100 × cross_stratum_masking_pct ÷ apparent_total_support_coverage_pct.,%,Mostra quanto da presença aparente desaparece quando se exige compatibilidade de estrato.,Não mede erro do mapa de base.,UNKNOWN quando a cobertura aparente é zero.
E01_occupied_cells_pct,Estudo de escalas,scale_candidate_decision_matrix.csv | scale_candidate_summary.csv,Percentual das células da malha que contêm ao menos uma feição da evidência indicada.,100 × células com contagem > 0 ÷ número total de células.,%,Mostra quanto a presença cadastral se espalha entre unidades areais naquela escala.,É fortemente dependente do tamanho e da origem da malha. Não mede aumento real do conhecimento quando a célula cresce.,Zero somente se nenhuma célula contiver a evidência.
E01_origin_jaccard_min,Estudo de escalas,scale_candidate_decision_matrix.csv,Coeficiente de Jaccard para concordância de presença entre duas representações.,"J = |A ∩ B| ÷ |A ∪ B|, usando os mesmos pontos de suporte.",0 a 1,1 significa presença/ausência idêntica onde ao menos uma representação possui presença. Valores menores indicam maior sensibilidade.,Não compara magnitude das contagens e não valida uma escala.,UNKNOWN se a união estiver vazia.
E01_origin_mismatch_max_pct,Estudo de escalas,scale_candidate_decision_matrix.csv,Percentual de pontos de suporte em que duas representações discordam no estado presença/ausência.,100 × número de suportes com estado diferente ÷ número total de suportes.,%,"Quanto maior, maior a sensibilidade espacial entre escalas ou origens.",Não é taxa de erro contra uma verdade de campo.,UNKNOWN sem suporte comum.
E01_same_domain_support_coverage_pct,Estratificação hidrogeológica,scale_by_hydrolithologic_domain.csv | stratified_scale_summary.csv,Percentual dos pontos de suporte do estrato que estão em células contendo a evidência selecionada atribuída ao mesmo estrato.,100 × suportes do estrato com evidência do mesmo estrato na célula ÷ total de suportes do estrato.,%,É uma cobertura documental condicionada ao estrato.,Não é percentual do aquífero fisicamente conhecido nem probabilidade de ocorrência de água.,Zero pode refletir ausência documental. UNKNOWN se o estrato não tiver suporte avaliável.
