cell_id,scale_km2,variant,area_effective_km2,support_points_n,n_wells,grid_family,cutoff_date,method_version,weight_used,score_used,integrated_priority_calculated,q01_priority_code,q01_priority_class,q01_priority_label,q01_confidence_code,q01_confidence_class,q01_confidence_label,q01_direct_evidence_n,q01_context_gate_n,q01_minimum_documentary_n,q01_review_evidence_n,q01_unknown_evidence_n,q01_fully_blocked_requirements_n,q01_cross_scale_priority_exact_pct,q01_origin_priority_exact_pct,q01_top_blocking_requirements,q01_recommended_actions,q01_independence_state,q01_representativeness_state,q01_recommendation,q02_priority_code,q02_priority_class,q02_priority_label,q02_confidence_code,q02_confidence_class,q02_confidence_label,q02_direct_evidence_n,q02_context_gate_n,q02_minimum_documentary_n,q02_review_evidence_n,q02_unknown_evidence_n,q02_fully_blocked_requirements_n,q02_cross_scale_priority_exact_pct,q02_origin_priority_exact_pct,q02_top_blocking_requirements,q02_recommended_actions,q02_independence_state,q02_representativeness_state,q02_recommendation,q03_priority_code,q03_priority_class,q03_priority_label,q03_confidence_code,q03_confidence_class,q03_confidence_label,q03_direct_evidence_n,q03_context_gate_n,q03_minimum_documentary_n,q03_review_evidence_n,q03_unknown_evidence_n,q03_fully_blocked_requirements_n,q03_cross_scale_priority_exact_pct,q03_origin_priority_exact_pct,q03_top_blocking_requirements,q03_recommended_actions,q03_independence_state,q03_representativeness_state,q03_recommendation,q04_priority_code,q04_priority_class,q04_priority_label,q04_confidence_code,q04_confidence_class,q04_confidence_label,q04_direct_evidence_n,q04_context_gate_n,q04_minimum_documentary_n,q04_review_evidence_n,q04_unknown_evidence_n,q04_fully_blocked_requirements_n,q04_cross_scale_priority_exact_pct,q04_origin_priority_exact_pct,q04_top_blocking_requirements,q04_recommended_actions,q04_independence_state,q04_representativeness_state,q04_recommendation,q05_priority_code,q05_priority_class,q05_priority_label,q05_confidence_code,q05_confidence_class,q05_confidence_label,q05_direct_evidence_n,q05_context_gate_n,q05_minimum_documentary_n,q05_review_evidence_n,q05_unknown_evidence_n,q05_fully_blocked_requirements_n,q05_cross_scale_priority_exact_pct,q05_origin_priority_exact_pct,q05_top_blocking_requirements,q05_recommended_actions,q05_independence_state,q05_representativeness_state,q05_recommendation
SCALE-250-O00-00001,250,O00,42.22208797804191,2,0,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1,False,False,False,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,
SCALE-250-O00-00002,250,O00,79.95336442654187,3,0,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1,False,False,False,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,100.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,100.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,100.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,100.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,100.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,
SCALE-250-O00-00003,250,O00,44.59421695416327,1,6,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1,False,False,False,2,P2,Alta,5,C5,Muito alta,6,0,0,6,6,3,100.0,100.0,Q01_R03=6|Q01_R05=6|Q01_R06=6,Associar data explícita à medição de nível.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,Medir nível de água com data explícita e validar o contexto construtivo e hidroestratigráfico do poço.,2,P2,Alta,5,C5,Muito alta,6,0,0,6,6,5,100.0,100.0,Q02_R02=6|Q02_R03=6|Q02_R06=6|Q02_R07=6|Q02_R08=6,Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.|Documentar o método de interpretação do ensaio.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,Executar ou documentar ensaio hidráulico com metadados mínimos e validar o aquífero captado.,2,P2,Alta,5,C5,Muito alta,3,0,0,6,6,4,100.0,100.0,Q03_R02=6|Q03_R03=6|Q03_R07=6|Q03_R08=6|Q03_R05=5,Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.|Verificar a unidade do resultado hidroquímico.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Realizar amostragem hidroquímica documentada e validar parâmetro, unidade, data e aquífero captado.",2,P2,Alta,5,C5,Muito alta,6,0,0,6,6,3,100.0,100.0,Q04_R03=6|Q04_R04=6|Q04_R05=6,Adquirir ou digitalizar o perfil litológico explícito.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Documentar perfil vertical, profundidade, intervalo captado e atribuição hidroestratigráfica.",2,P2,Alta,5,C5,Muito alta,4,0,0,6,6,5,100.0,100.0,Q05_R02=6|Q05_R04=6|Q05_R05=6|Q05_R06=6|Q05_R07=6,Adquirir observações repetidas da mesma variável no mesmo poço.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Estabelecer série da mesma variável com datas, contexto do poço e controle de independência."
SCALE-250-O00-00004,250,O00,1.1465258621609975,0,0,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1,False,False,False,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,,,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,,,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,,,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,,,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,,,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,
SCALE-250-O00-00005,250,O00,65.06256314639975,3,0,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1,False,False,False,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,
SCALE-250-O00-00006,250,O00,140.77232647644962,5,1,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1,False,False,False,2,P2,Alta,2,C2,Baixa,1,0,0,1,1,3,0.0,60.0,Q01_R03=1|Q01_R05=1|Q01_R06=1,Associar data explícita à medição de nível.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,Medir nível de água com data explícita e validar o contexto construtivo e hidroestratigráfico do poço.,2,P2,Alta,2,C2,Baixa,1,0,0,1,1,7,0.0,100.0,Q02_R02=1|Q02_R03=1|Q02_R04=1|Q02_R05=1|Q02_R06=1,"Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.|Documentar tipo de ensaio, duração, vazão e observações mínimas.",UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,Executar ou documentar ensaio hidráulico com metadados mínimos e validar o aquífero captado.,2,P2,Alta,4,C4,Alta,1,0,0,1,1,5,60.0,100.0,Q03_R02=1|Q03_R03=1|Q03_R05=1|Q03_R07=1|Q03_R08=1,Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.|Registrar a data de coleta ou análise hidroquímica.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Realizar amostragem hidroquímica documentada e validar parâmetro, unidade, data e aquífero captado.",2,P2,Alta,2,C2,Baixa,1,0,0,1,1,3,0.0,60.0,Q04_R03=1|Q04_R04=1|Q04_R05=1,Adquirir ou digitalizar o perfil litológico explícito.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Documentar perfil vertical, profundidade, intervalo captado e atribuição hidroestratigráfica.",1,P1,Crítica,2,C2,Baixa,0,0,0,1,1,6,0.0,60.0,Q05_R02=1|Q05_R03=1|Q05_R04=1|Q05_R05=1|Q05_R06=1,Adquirir observações repetidas da mesma variável no mesmo poço.|Registrar ao menos um evento hidrogeológico com data explícita.|Documentar topo e base do intervalo efetivamente captado.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Estabelecer série da mesma variável com datas, contexto do poço e controle de independência."
SCALE-250-O00-00007,250,O00,0.6029202399150849,1,0,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1,False,False,False,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,0.0,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,
SCALE-250-O00-00008,250,O00,75.40810211860533,3,8,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1,False,False,False,2,P2,Alta,4,C4,Alta,8,0,0,7,8,3,66.66666666666667,100.0,Q01_R03=8|Q01_R05=8|Q01_R06=8,Associar data explícita à medição de nível.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,Medir nível de água com data explícita e validar o contexto construtivo e hidroestratigráfico do poço.,2,P2,Alta,4,C4,Alta,8,0,0,7,8,5,66.66666666666667,100.0,Q02_R02=8|Q02_R03=8|Q02_R06=8|Q02_R07=8|Q02_R08=8,Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.|Documentar o método de interpretação do ensaio.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,Executar ou documentar ensaio hidráulico com metadados mínimos e validar o aquífero captado.,2,P2,Alta,4,C4,Alta,5,0,0,7,8,4,66.66666666666667,100.0,Q03_R02=8|Q03_R03=8|Q03_R07=8|Q03_R08=8|Q03_R05=6,Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.|Verificar a unidade do resultado hidroquímico.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Realizar amostragem hidroquímica documentada e validar parâmetro, unidade, data e aquífero captado.",2,P2,Alta,4,C4,Alta,8,0,0,7,8,3,66.66666666666667,100.0,Q04_R03=8|Q04_R04=8|Q04_R05=8,Adquirir ou digitalizar o perfil litológico explícito.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Documentar perfil vertical, profundidade, intervalo captado e atribuição hidroestratigráfica.",2,P2,Alta,2,C2,Baixa,5,0,0,7,8,5,0.0,66.66666666666667,Q05_R02=8|Q05_R04=8|Q05_R05=8|Q05_R06=8|Q05_R07=8,Adquirir observações repetidas da mesma variável no mesmo poço.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Estabelecer série da mesma variável com datas, contexto do poço e controle de independência."
SCALE-250-O00-00009,250,O00,249.68895632656444,9,1,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1,False,False,False,2,P2,Alta,2,C2,Baixa,1,0,0,1,1,3,0.0,88.88888888888889,Q01_R03=1|Q01_R05=1|Q01_R06=1,Associar data explícita à medição de nível.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,Medir nível de água com data explícita e validar o contexto construtivo e hidroestratigráfico do poço.,2,P2,Alta,2,C2,Baixa,1,0,0,1,1,5,0.0,88.88888888888889,Q02_R02=1|Q02_R03=1|Q02_R06=1|Q02_R07=1|Q02_R08=1,Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.|Documentar o método de interpretação do ensaio.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,Executar ou documentar ensaio hidráulico com metadados mínimos e validar o aquífero captado.,1,P1,Crítica,2,C2,Baixa,0,0,0,1,1,7,0.0,44.44444444444444,Q03_R02=1|Q03_R03=1|Q03_R04=1|Q03_R05=1|Q03_R06=1,Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.|Adquirir amostra ou resultado hidroquímico identificável.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Realizar amostragem hidroquímica documentada e validar parâmetro, unidade, data e aquífero captado.",2,P2,Alta,2,C2,Baixa,1,0,0,1,1,3,0.0,88.88888888888889,Q04_R03=1|Q04_R04=1|Q04_R05=1,Adquirir ou digitalizar o perfil litológico explícito.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Documentar perfil vertical, profundidade, intervalo captado e atribuição hidroestratigráfica.",2,P2,Alta,2,C2,Baixa,1,0,0,1,1,5,0.0,66.66666666666667,Q05_R02=1|Q05_R04=1|Q05_R05=1|Q05_R06=1|Q05_R07=1,Adquirir observações repetidas da mesma variável no mesmo poço.|Documentar topo e base do intervalo efetivamente captado.|Revisar e validar a unidade hidroestratigráfica captada.,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,"Estabelecer série da mesma variável com datas, contexto do poço e controle de independência."
SCALE-250-O00-00010,250,O00,249.99999999998994,11,0,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1,False,False,False,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,54.54545454545455,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,54.54545454545455,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,54.54545454545455,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,54.54545454545455,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,,0,UNKNOWN,Não classificável,0,UNKNOWN,Não classificável,0,0,0,0,0,0,0.0,54.54545454545455,,,UNKNOWN_NAO_DEMONSTRADA,UNKNOWN_NAO_DEMONSTRADA,
