cell_id,scale_km2,grid_family,area_effective_km2,question_code,question_name,n_wells,direct_evidence_n,direct_evidence_pct_of_wells,cell_state_code,cell_state_label,support_points_n,cross_scale_exact_state_support_n,cross_scale_exact_state_support_pct,cross_scale_direct_all_support_n,cross_scale_direct_some_support_n,cross_scale_direct_none_support_n,origin_exact_state_support_n,origin_exact_state_support_pct,origin_direct_all_support_n,origin_direct_some_support_n,origin_direct_none_support_n,hydro_surface_units_n,hydro_surface_domains_n,hydro_context_state,hydro_dominant_unit,hydro_dominant_domain,top_blocking_requirements,method_version
SCALE-100-O00-00001,100,SCALE_PRIMARY_O00_V1,3.20677090125609,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0,,0,0,0,0,,0,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00002,100,SCALE_PRIMARY_O00_V1,3.7979795954532496,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,1,0,0.0,0,1,0,0,0.0,0,1,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00003,100,SCALE_PRIMARY_O00_V1,11.28635204867119,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0,,0,0,0,0,,0,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00004,100,SCALE_PRIMARY_O00_V1,27.21466601528667,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,1,0,0.0,0,1,0,1,100.0,0,0,1,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00005,100,SCALE_PRIMARY_O00_V1,9.14571950806331,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0,,0,0,0,0,,0,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00006,100,SCALE_PRIMARY_O00_V1,0.006958828283467723,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0,,0,0,0,0,,0,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00007,100,SCALE_PRIMARY_O00_V1,35.65785500927633,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,2,0,0.0,0,2,0,0,0.0,0,2,0,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Depósitos aluvionares,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00008,100,SCALE_PRIMARY_O00_V1,79.9841520167457,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,2,0,0.0,0,2,0,0,0.0,0,2,0,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Depósitos aluvionares,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00009,100,SCALE_PRIMARY_O00_V1,14.252572993378221,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,1,0,0.0,0,1,0,1,100.0,0,0,1,1,1,UMA_UNIDADE_SUPERFICIAL,Depósitos aluvionares,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00010,100,SCALE_PRIMARY_O00_V1,21.195599559885636,Q01,Nível e profundidade da água,7,7,100.0,2,EVIDENCIA_DIRETA_PRESENTE,0,0,,0,0,0,0,,0,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,Q01_R03=7|Q01_R05=7|Q01_R06=7,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
