scale_km2,question_code,origin_a,origin_b,support_points_n,exact_state_agreement_n,exact_state_agreement_pct,direct_presence_jaccard,direct_presence_mismatch_n,direct_presence_mismatch_pct,spearman_state_code,method_version
100,Q01,O00,OX25,14284,12482,87.384486,0.54865361,1475,10.326239,0.6596333649239077,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q01,O00,OY25,14284,12791,89.547746,0.60966306,1228,8.597032,0.7200346690157572,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q01,O00,OXY25,14284,12191,85.347242,0.49688704,1697,11.880426,0.5999131003078249,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q01,OX25,OY25,14284,12233,85.641277,0.49348727,1711,11.978437,0.6116927556509688,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q01,OX25,OXY25,14284,12833,89.841781,0.61528581,1198,8.387006,0.7250176062014434,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q01,OY25,OXY25,14284,12560,87.930552,0.56498756,1399,9.794175,0.6707016232909109,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q01,O00,OX25,14284,12220,85.550266,0.58236715,1729,12.104453,0.6736044039462452,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q01,O00,OY25,14284,12370,86.600392,0.62328596,1511,10.578269,0.7070631282440596,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q01,O00,OXY25,14284,11853,82.980958,0.5329102,1987,13.910669,0.6214275257532982,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q01,OX25,OY25,14284,11915,83.41501,0.53594306,1956,13.693643,0.6297760309074456,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q01,OX25,OXY25,14284,12444,87.118454,0.6287365,1478,10.347242,0.7177528194373651,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q01,OY25,OXY25,14284,12285,86.005321,0.59268413,1648,11.537384,0.6874529153448514,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q01,O00,OX25,14284,11719,82.042845,0.59690909,2217,15.520863,0.6715093050984915,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q01,O00,OY25,14284,12146,85.032204,0.65196078,1846,12.923551,0.7212589538560705,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q01,O00,OXY25,14284,11381,79.676561,0.55703153,2501,17.509101,0.6274242765991664,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q01,OX25,OY25,14284,11408,79.865584,0.56064356,2485,17.397088,0.6278025996754831,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q01,OX25,OXY25,14284,12130,84.92019,0.65162253,1868,13.077569,0.7232624923099021,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q01,OY25,OXY25,14284,11739,82.182862,0.60228509,2193,15.352842,0.6744578496124058,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q01,O00,OX25,14284,11574,81.027723,0.67078133,2427,16.991039,0.6800612647684441,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q01,O00,OY25,14284,11817,82.728927,0.70514238,2133,14.932792,0.7132744328933006,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q01,O00,OXY25,14284,11083,77.590311,0.62928227,2846,19.924391,0.6311366006091175,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q01,OX25,OY25,14284,11224,78.577429,0.64687294,2682,18.776253,0.6457630392322592,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q01,OX25,OXY25,14284,11826,82.791935,0.70558171,2189,15.324839,0.7147466808971894,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
