scale_km2,question_code,support_points_n,origins_n,exact_state_all_origins_n,exact_state_all_origins_pct,direct_all_origins_n,direct_all_origins_pct,direct_some_origins_n,direct_some_origins_pct,direct_no_origin_n,direct_no_origin_pct,final_origin_selected,method_version
100,Q01,14284,4,11206,78.451414,1304,9.129095,2590,18.132176,10390,72.738729,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q01,14284,4,10642,74.50294,1781,12.468496,3072,21.506581,9431,66.024923,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q01,14284,4,9950,69.658359,2501,17.509101,3877,27.142257,7906,55.348642,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q01,14284,4,9536,66.760011,4079,28.556427,4301,30.110613,5904,41.33296,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q01,14284,4,10066,70.470456,6082,42.579109,4070,28.493419,4132,28.927471,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q02,14284,4,11185,78.304397,1269,8.884066,2553,17.873145,10462,73.242789,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q02,14284,4,10622,74.362924,1743,12.202464,3032,21.226547,9509,66.570989,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q02,14284,4,9928,69.504341,2463,17.243069,3788,26.519182,8033,56.237749,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q02,14284,4,9523,66.669,4022,28.157379,4217,29.522543,6045,42.320078,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q02,14284,4,9942,69.602352,5929,41.507981,4085,28.598432,4270,29.893587,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q03,14284,4,11097,77.688323,1049,7.343881,2154,15.07981,11081,77.576309,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q03,14284,4,10477,73.347802,1426,9.983198,2695,18.867264,10163,71.149538,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q03,14284,4,9705,67.943153,1989,13.924671,3433,24.033884,8862,62.041445,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q03,14284,4,9108,63.763652,3310,23.172781,4120,28.843461,6854,47.983758,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q03,14284,4,9268,64.883786,4956,34.696164,4346,30.425651,4982,34.878185,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q04,14284,4,11232,78.633436,1355,9.486138,2658,18.608233,10271,71.905629,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q04,14284,4,10692,74.852982,1850,12.951554,3147,22.031644,9287,65.016802,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q04,14284,4,10065,70.463456,2651,18.559227,3890,27.233268,7743,54.207505,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q04,14284,4,9632,67.432092,4192,29.347522,4335,30.348642,5757,40.303836,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q04,14284,4,10246,71.730608,6287,44.014282,3899,27.296276,4098,28.689443,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q05,14284,4,10967,76.778213,635,4.445533,1793,12.552506,11856,83.00196,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q05,14284,4,10296,72.08065,912,6.384766,2289,16.024923,11083,77.590311,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q05,14284,4,9453,66.178941,1363,9.542145,3142,21.99664,9779,68.461215,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q05,14284,4,8618,60.33324,2477,17.341081,3994,27.961355,7813,54.697564,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q05,14284,4,8502,59.521143,3954,27.681322,4657,32.602912,5673,39.715766,False,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
