field,modules,source_files,definition,formula_or_rule,unit,how_to_read,does_not_mean,unknown_rule
municipality_declared,Conhecimento hidrogeológico efetivo V2.2 | Registro e auditoria,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Município declarado no cadastro do poço.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,texto,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
municipality_spatial,Conhecimento hidrogeológico efetivo V2.2 | Registro e auditoria,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Município obtido pela associação espacial auditada.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,texto,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
method_version,Conhecimento hidrogeológico efetivo V2.2 | Registro e auditoria,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Identificador da versão da regra que produziu o registro.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,texto,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
spatial_coordinate_valid,Conhecimento hidrogeológico efetivo V2.2 | Dimensão espacial,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de coordenada válida segundo as regras objetivas vigentes.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
spatial_coordinate_review,Conhecimento hidrogeológico efetivo V2.2 | Dimensão espacial,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de coordenada preservada com alerta de revisão.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
spatial_municipality_agreement,Conhecimento hidrogeológico efetivo V2.2 | Dimensão espacial,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de concordância entre município declarado e município espacial.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
spatial_nearest_neighbor_m,Conhecimento hidrogeológico efetivo V2.2 | Dimensão espacial,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,"Distância ao poço canônico mais próximo, usada somente como contexto espacial.",Preservado ou derivado diretamente pelas regras documentadas da V2.2.,m,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
spatial_state,Conhecimento hidrogeológico efetivo V2.2 | Dimensão espacial,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado descritivo da dimensão espacial.,Regra categórica determinística definida na metodologia V2.2.,categoria,Ler junto aos indicadores e aos códigos de incerteza da mesma dimensão.,"Não é nota, peso, potencial aquífero ou prioridade.",UNKNOWN é mantido como resultado quando a evidência não demonstra o estado.
hydrostrat_comparison_status_source,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado original da comparação entre aquífero SIAGAS e referência SGB 2024.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,categoria,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrostrat_manual_review_required,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de revisão manual requerida pela auditoria hidroestratigráfica.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrostrat_state,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Estado descritivo da dimensão hidroestratigráfica.,Regra categórica determinística definida na metodologia V2.2.,categoria,Ler junto aos indicadores e aos códigos de incerteza da mesma dimensão.,"Não é nota, peso, potencial aquífero ou prioridade.",UNKNOWN é mantido como resultado quando a evidência não demonstra o estado.
vertical_depth_positive,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de profundidade total positiva documentada.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
vertical_top_base_raw_coherent,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de topo e base brutos positivos com base maior que topo.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
