field,modules,source_files,definition,formula_or_rule,unit,how_to_read,does_not_mean,unknown_rule
any_blocked_scales_n,Estabilidade e sensibilidade,support_requirement_persistence.csv,Contagem associada a any blocked scales n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
any_blocked_support_scale_instances_n,Estabilidade e sensibilidade,blocker_requirement_summary.csv,Contagem associada a any blocked support scale instances n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
any_blocked_support_scale_instances_pct,Estabilidade e sensibilidade,blocker_requirement_summary.csv,"Percentual associado a any blocked support scale instances pct, com denominador explícito no produto V2.5.",Calculado diretamente no universo e denominador declarados no arquivo de origem.,%,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
any_blocker_persistence_pct,Estabilidade e sensibilidade,support_requirement_persistence.csv,"Percentual associado a any blocker persistence pct, com denominador explícito no produto V2.5.",Persistência calculada somente nas escalas em que a célula do suporte contém ao menos um poço.,%,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
area_effective_km2,Estabilidade e sensibilidade,cell_stability_sensitivity_long.csv | stability_sensitivity_1000km2.csv | stability_sensitivity_100km2.csv | stability_sensitivity_150km2.csv | stability_sensitivity_250km2.csv | stability_sensitivity_500km2.csv,Valor auditável de area effective km2 no módulo V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,texto,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
area_fraction_calculated,Estabilidade e sensibilidade,hydro_context_scale_summary.csv,Valor auditável de area fraction calculated no módulo V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,texto,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
blocked_wells_n,Estabilidade e sensibilidade,blocker_requirement_summary.csv,Contagem associada a blocked wells n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
blocked_wells_pct,Estabilidade e sensibilidade,blocker_requirement_summary.csv,"Percentual associado a blocked wells pct, com denominador explícito no produto V2.5.",Calculado diretamente no universo e denominador declarados no arquivo de origem.,%,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cell_direct_evidence_n,Estabilidade e sensibilidade,support_scale_question_long.csv,Contagem associada a cell direct evidence n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cell_id,Estabilidade e sensibilidade,cell_stability_sensitivity_long.csv | stability_sensitivity_1000km2.csv | stability_sensitivity_100km2.csv | stability_sensitivity_150km2.csv | stability_sensitivity_250km2.csv | stability_sensitivity_500km2.csv | support_scale_question_long.csv,Valor auditável de cell id no módulo V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,texto,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cell_n_wells,Estabilidade e sensibilidade,support_scale_question_long.csv,Valor auditável de cell n wells no módulo V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,texto,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cell_state_code,Estabilidade e sensibilidade,cell_stability_sensitivity_long.csv,Estado categórico de cell state code nas regras documentais da V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,texto,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cell_state_label,Estabilidade e sensibilidade,cell_stability_sensitivity_long.csv,Estado categórico de cell state label nas regras documentais da V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,texto,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cells_multiple_surface_units_n,Estabilidade e sensibilidade,hydro_context_scale_summary.csv,Contagem associada a cells multiple surface units n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cells_n,Estabilidade e sensibilidade,hydro_context_scale_summary.csv,Contagem associada a cells n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cells_one_surface_unit_n,Estabilidade e sensibilidade,hydro_context_scale_summary.csv,Contagem associada a cells one surface unit n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cells_unknown_surface_context_n,Estabilidade e sensibilidade,hydro_context_scale_summary.csv,Contagem associada a cells unknown surface context n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
control_total_ok,Estabilidade e sensibilidade,origin_scale_question_counts.csv,Valor auditável de control total ok no módulo V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,texto,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cross_scale_direct_all_support_n,Estabilidade e sensibilidade,cell_stability_sensitivity_long.csv,Contagem associada a cross scale direct all support n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cross_scale_direct_none_support_n,Estabilidade e sensibilidade,cell_stability_sensitivity_long.csv,Contagem associada a cross scale direct none support n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cross_scale_direct_some_support_n,Estabilidade e sensibilidade,cell_stability_sensitivity_long.csv,Contagem associada a cross scale direct some support n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cross_scale_exact_state_support_n,Estabilidade e sensibilidade,cell_stability_sensitivity_long.csv,Contagem associada a cross scale exact state support n no universo explicitado pelo produto V2.5.,Concordância exata entre estados documentais no suporte fixo de 5 km.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cross_scale_exact_state_support_pct,Estabilidade e sensibilidade,cell_stability_sensitivity_long.csv,"Percentual associado a cross scale exact state support pct, com denominador explícito no produto V2.5.",Concordância exata entre estados documentais no suporte fixo de 5 km.,%,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
cutoff_date,Estabilidade e sensibilidade,stability_sensitivity_1000km2.csv | stability_sensitivity_100km2.csv | stability_sensitivity_150km2.csv | stability_sensitivity_250km2.csv | stability_sensitivity_500km2.csv,Valor auditável de cutoff date no módulo V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,texto,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
dimension,Estabilidade e sensibilidade,blocker_requirement_summary.csv | support_requirement_persistence.csv,Valor auditável de dimension no módulo V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,texto,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
direct_all_origins_n,Estabilidade e sensibilidade,origin_scale_question_summary.csv,Contagem associada a direct all origins n no universo explicitado pelo produto V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,n,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
direct_all_origins_pct,Estabilidade e sensibilidade,origin_scale_question_summary.csv,"Percentual associado a direct all origins pct, com denominador explícito no produto V2.5.",Calculado diretamente no universo e denominador declarados no arquivo de origem.,%,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
direct_all_scales,Estabilidade e sensibilidade,support_question_cross_scale.csv,Indicador lógico associado a direct all scales nas regras da V2.5.,Calculado diretamente no universo e denominador declarados no arquivo de origem.,booleano,"Ler com a pergunta, a escala, a origem, o suporte e o denominador explícitos.","Não é potencial, prioridade, representatividade territorial, peso ou score.","Sem escala observável ou suporte classificado, permanece UNKNOWN e não é convertido em zero."
